Counts_envelope_Crest_factor,Counts_envelope_Crest_factor.1,Counts_envelope_Crest_factor.2,Counts_envelope_Crest_factor.3,Counts_envelope_Crest_factor.4,Counts_envelope_Crest_factor.5,Counts_envelope_Crest_factor.6,Counts_envelope_Crest_factor.7,Counts_envelope_Crest_factor.8,Counts_envelope_Crest_factor.9,Counts_envelope_Crest_factor.10,Counts_envelope_Crest_factor
6.077612996846578,3.0754618006138843,4.555869950979174,4.4638512809081385,3.478955940382236,3.6994009081377066,7.817167337613598,4.79788699945349,1.9437019790809311,1.737552835994166,1.5991466905480305,11.171291105140892
2.3935507441919417,1.4603376767100005,3.051053527822767,2.008459061771846,1.0883793107633302,1.3735278742504389,2.02258241949434,1.877802203220895,1.3217126234793164,1.1498714962439944,1.5204508642461454,2.258435236434374
1.8937467055162127,1.3178875744401248,1.5462371046663597,3.337590187553653,1.1064254817452874,1.3725045977797845,1.404673396518454,1.980327420356044,1.1751834773183547,1.19542871473155,1.1472586128461368,1.6659496156939737
2.3419974084985724,1.3001347743652552,1.3216501803603604,1.359307049778454,1.1360728445262722,1.37148132130913,1.3502800282421872,4.050218762684761,1.193886023623288,1.2409859332191056,1.023602192786342,2.3340480822714067
1.78497926466862,1.2823819742903857,1.097063256054361,1.358433708254413,1.30521338386381,1.2701290020094187,1.3273528872241311,1.7650166559622298,1.3129229697873563,1.286543151706661,1.0207585291054355,1.4746277293539456
1.633738248204773,1.264629174215516,1.211694802239185,1.358458569317884,1.3348562979459324,1.1687766827097077,1.304425746206075,1.217613838492671,1.285867439872438,1.1851871858435488,1.3451983703401755,1.35829441550436
1.8011718579892035,1.2468763741406466,1.1951931595769056,1.7100571447146362,1.3644992120280548,1.2464280004278918,1.281498605188019,1.5873365827882076,1.2979249191189284,1.1839351818809998,1.6696382115749155,1.5434350802473509
2.0913062372980664,1.2291235740657769,1.1786915169146264,1.4597021774503265,1.3941421261101772,1.5989488613618097,1.1299337692993494,2.1302474299315914,1.2192320127316163,1.1826831779184508,1.00619454483993,1.493303329366053
1.5473328126674584,1.2113707739909074,1.162189874252347,1.6202166165714875,1.2420257707479312,1.5431794993249643,1.1878919577493268,1.398290145274387,1.1405391063443049,1.181431173955902,2.032663113584232,1.7526189725556791
1.814176677981031,1.1936179739160375,1.3025883576714388,1.4774547029164178,1.0899094153856852,1.4874101372881188,1.245850146199304,1.416497015962334,1.1635342928502503,1.180179169993353,1.7018057500315542,1.873831561887629
1.6143692599956931,1.175865173841168,1.243804877515632,2.1886020132406765,1.3949118443059711,2.693328627845037,1.3038083346492813,1.9921815120923825,2.4682636612617594,1.178927166030804,1.7737029652629637,1.6928026306406163
1.743451776724816,1.1581123737662986,1.1850213973598251,1.6622408051068762,1.819679811492416,1.8543648794249687,1.3617665230992586,2.317096421774606,1.198280930383955,1.177675162068255,1.5819347860866335,2.101663952378632
1.7560265191320013,1.140359573691429,1.2666988205373535,1.4764299868395303,1.18485303879348,4.094609032698455,1.926592973273892,1.7022188019294124,1.278128424672611,1.176423158105706,1.461928216233351,2.0153045099461546
1.557154101109932,1.1226067736165597,1.1071779053296602,2.0088725562953496,1.2404371766973044,1.8217898911811687,1.8096982498065428,2.014387102695993,1.8107975030694825,1.175171154143157,1.5878545556167254,2.213457616689682
1.8354028420974084,1.1048539735416898,1.3106421758047724,1.0957708560639807,1.1877665374791642,1.940519281464605,1.692803526339194,1.283006661732162,1.4705138499814052,1.1739191501806083,1.844803545203033,1.970337692682012
