Rise-Time_envelope_Clearance_factor,Rise-Time_envelope_Clearance_factor.1,Rise-Time_envelope_Clearance_factor.2,Rise-Time_envelope_Clearance_factor.3,Rise-Time_envelope_Clearance_factor.4,Rise-Time_envelope_Clearance_factor.5,Rise-Time_envelope_Clearance_factor.6,Rise-Time_envelope_Clearance_factor.7,Rise-Time_envelope_Clearance_factor.8,Rise-Time_envelope_Clearance_factor.9,Rise-Time_envelope_Clearance_factor.10,Rise-Time_envelope_Clearance_factor
35.71404625053457,4.198461681687175,7.929733484272321,11.242308425118946,7.131031331703987,8.595511495254925,32.25301563092517,9.01230592209163,6.53258767544519,5.694663454077635,3.2478721763676828,67.36858366409571
3.342253661698773,2.21304571978738,4.842583280076891,2.627447484681409,1.1891020732577202,1.3248965831761956,1.704053055706219,6.013014297974439,2.6876742544487047,1.1977649140699962,1.3247985506631623,3.60427858534201
4.354712369058464,1.0022100638497795,1.7554330758814622,2.5855114184509174,1.3472211153818712,1.85980420173286,1.548786968314434,2.077924388679769,1.3891089354405977,1.1512155947530074,1.1795924303196428,2.462996065609047
8.193138878608442,1.0173217405500323,1.7399686288953458,1.6495332981537312,1.4099497585968164,2.394711820289525,1.3500206881655772,6.790375376990746,1.7175028932146386,1.1046662754360184,1.2600226432664736,3.8728849733601343
7.355392689406456,1.0324334172502851,1.7245041819092295,1.9497441858906448,1.027648304277905,1.7108586810188675,1.3762083044096782,2.2706911936293617,1.6534292600400746,1.0581169561190296,1.004098640870264,5.125021155345151
7.639343980623163,1.047545093950538,1.5962443736701435,1.1827847369652154,1.3772777121878514,1.0270055417482105,1.4023959206537793,1.6728221871677702,1.254660930368172,1.5574182733816655,1.98274731518138,6.650563186800106
7.345940319665165,1.0626567706507908,1.5431578250305162,1.5461825222282095,1.7269071200977977,1.254052056052482,1.4285835368978803,2.635407429550981,1.243607015512774,1.5526484003259555,2.9613959894924955,6.795910641097536
8.198617130012407,1.0777684473510436,1.4900712763908888,1.7646100291059674,2.076536528007744,1.3101644572576563,1.1292446027604772,2.0661994048787946,1.693678184346449,1.547878527270246,1.7369252610165573,6.265731355488612
2.3933234650527715,1.0928801240512964,1.4369847277512615,1.4123727015386238,1.6710350517925785,1.3252730772191712,1.104035561895316,1.584490689006898,2.143749353180124,1.5431086542145362,7.074930563303095,8.009374392729494
9.109199577971577,1.107991800751549,1.3001891503640677,1.3239235858314642,1.265533575577413,1.3403816971806863,1.0788265210301544,1.85710910055362,1.255883238476488,1.5383387811588265,5.88126997499666,7.086827003883999
1.7185943789666682,1.1231034774518018,1.3194372802469958,2.4132146215438715,2.320280393432984,2.571540739788916,1.0536174801649931,4.792245365652654,1.9212746409882,1.5335689081031167,3.5695293530550174,9.29278849932569
1.975832510152636,1.1382151541520549,1.338685410129924,1.6846167078248755,1.7972618393999051,7.776477727291097,1.0284084392998318,2.4241874372328525,1.3125048551642202,1.528799035047407,4.155973326693673,15.536684886632557
1.920933908731512,1.1533268308523077,1.2239215626332527,1.9832161059298337,1.1608563892334132,4.018075331629337,2.6491103144002235,4.979034919197463,1.446046043406062,1.5240291619916972,5.868873072650857,10.252943381611304
2.596329772559257,1.1684385075525603,1.2341432180224798,5.931021372726389,1.211454024290981,5.180845543645436,2.4547955148544647,3.9565270176192144,1.419419673419431,1.5192592889359873,4.1630333618733895,10.165502196206091
1.9547787163089747,1.183550184252813,1.4966105018463196,1.273889070865024,1.238359503494202,4.392018818646321,2.2604807153087063,4.648134594084961,1.7669188243406138,1.5144894158802775,4.302180997811521,11.454749002304045
6.833882608086451,1.1984059936202835,1.4359505713578666,3.790328173960194,1.2652649826974227,1.245318404838553,2.0661659157629475,3.8823706150266943,1.3072604145677642,1.5097195428245678,3.885508150666963,14.009065886766686
