Duration_envelope_Central_moment_3rd_order,Duration_envelope_Central_moment_3rd_order.1,Duration_envelope_Central_moment_3rd_order.2,Duration_envelope_Central_moment_3rd_order.3,Duration_envelope_Central_moment_3rd_order.4,Duration_envelope_Central_moment_3rd_order.5,Duration_envelope_Central_moment_3rd_order.6,Duration_envelope_Central_moment_3rd_order.7,Duration_envelope_Central_moment_3rd_order.8,Duration_envelope_Central_moment_3rd_order.9,Duration_envelope_Central_moment_3rd_order.10,Duration_envelope_Central_moment_3rd_order
277834431.5083292,35857864.59927635,385196276.4407824,157376403.006403,185397295.1204576,91616373.26570554,18540215117.92536,126253890.76203153,6129733.732558872,4799033.837317762,7584441.862621733,4153246952.676593
5557847.779979455,-1147722.0873731102,192632486.624085,10687849.467117064,30659.270442746303,953524.626206422,5738528.127615287,3956059.573528057,-64864.16165936129,-115062.0270436321,9457797.951870373,5760651.296731546
3222709.518224091,-1.3969838619232178e-09,68696.80738757402,67633026.43014029,0.0,22037766.89146756,526699.8532494899,31653.48753086682,-1814650.848627854,142292.78530923452,0.0,508569.034464195
205893.04161984703,-1.302396412938833e-09,34348.40369378684,-1002934.5912916614,55309.41754955448,43122009.15672869,4838870.543618991,27484660.99085274,-729176.1791784866,399647.5976621011,0.0,6970638.160563153
-1330875.0657501533,-1.2078089639544487e-09,-3.4924596548080444e-10,4118639.293455778,-1.3969838619232178e-09,21561004.578364342,3144997.613826074,55013.93313669989,-151726.08428114443,657002.4100149677,0.0,-3605963.3701674375
-3067347.205611994,-1.1132215149700642e-09,8.73114913702011e-10,22466.988125923064,250326.4298719928,0.0,1451124.6840331578,-194059.04724054824,-4.6566128730773926e-09,-3135760.6874169013,77527778.3888628,-3609790.8265106254
-3136672.128444765,-1.018634065985679e-09,-281872.069634507,10158494.662118733,500652.85974398704,1.164153218269348e-09,-242748.24575975884,21814.454501117893,-2630492.225690498,-2907493.8444096423,155055556.7777256,-1415528.6007875514
-1525098.3314422038,-9.240466170012951e-10,-563744.1392690149,2284421.268435053,750979.2896159813,8386116.089831121,0.0,3094170.297005529,-1315246.112845249,-2679227.001402383,3.8198777474462986e-11,-772013.2086063101
-2264831.003459909,-8.294591680169106e-10,-845616.2089035228,12153120.58079444,375489.6448079907,3492031.6708981013,-1.3969838619232178e-09,-183613.4384479212,0.0,-2450960.158395124,54797.14196421696,-532512.0635351038
-2429724.611215016,-7.34871719032526e-10,0.0,1075392.5703444125,1.3460521586239338e-10,-1402052.748034918,-2.7939677238464355e-09,709383.8321810863,-1.1641532182693479e-10,-2222693.315387865,-571284.5844696737,-323652.13533315214
-2064981.1422158976,-6.402842700481415e-10,140851.4039158753,37511155.20084208,-15819.336198456129,4575148.096947121,-4.190951585769653e-09,217279.38650858303,88642790.6196925,-1994426.4723806065,-9073.959280510564,-819113.6564399421
-5075356.918118528,-5.45696821063756e-10,281702.8078317506,3002298.810705599,4276074.454762234,1157440.1237199327,-5.587935447692871e-09,173986.52583140126,180499.193097324,-1766159.6293733472,-348559.24043336743,-597279.5285140323
1819950.0870710933,-4.5110937207937235e-10,47489.37157630784,716591.6096560922,729.9025815597088,9753791.51548585,81246351.32856159,78208.16741711446,-7732149.024337882,-1537892.786366088,-524345.7482426723,-821160.637160326
320755.7994353585,-3.5652192309498787e-10,-8204.580484123517,4571399.375569229,-20775.530977251343,3378944.028686069,65125921.21662359,-186958.63193704348,2206435.958877756,-1309625.943358829,-758013.860849782,-7175.511663555673
252355.8445973656,-2.6193447411060333e-10,-280084.5505721821,0.0,-13850.35398483423,434348.6606309881,49005491.10468559,-31596.41538205983,3448738.814805591,-1081359.10035157,-292206.4128512099,1047250.541676567
151131.55591181558,-2.0108101042834195e-10,-242332.1619652961,12428536.037089616,-6925.176992417115,0.0,32885060.99274759,113265.08413092147,1044934.0834413064,-853092.2573443111,1026386.7654320695,2696849.791635108
767084.8466282748,-1.4022754674608058e-10,-204579.7733584101,11794264.4778097,0.0,261630.89623520788,16764630.88080959,-71742.52923092117,1174794.7794009452,-624825.414337052,-8077.348557056283,2346113.9689279664
98776.6711606928,-7.93740830638192e-11,-166827.38475152408,21064392.286655843,-133.14672333181375,833983.551984875,644200.7688715879,-51542.16402349903,1304655.475360584,-396558.57132979296,-35302.214546919895,2297679.9833119344
119746.42253627985,-1.8520619381557808e-11,-129074.99614463808,2.3865140974521637e-09,-266.29344666362755,-730453.8626460212,527674.8134911448,104984.30009231468,886194.8212905843,-168291.7283225339,1958726.4473562087,1922040.4455331285
1099097.942777492,4.2332844300703525e-11,-91322.60753775208,3408875.943963585,-399.4401699954413,-2294891.2772769174,411148.85811070167,62465.59316481818,1467703.9025801497,59975.11468472518,525726.9350027493,2466559.5984172067
340676.09798296745,1.0318630798296494e-10,-53570.218930866045,-5099247.217973862,9235.04754950623,0.0,2866352.453996125,13312.27056499724,-372065.56364751706,288241.9576919841,149625.00130732218,3570091.058715861
816105.0911742361,1.6403977166522634e-10,-15817.83032398008,28237298.33119499,-7.639755494892597e-11,82461.20474858294,-558758.2879496492,-100839.34951523066,-3275750.533145624,-4160654.355405525,-167123.77594241514,2940480.0072131366
990918.5597039028,2.248932353474877e-10,-14236.047291581886,142870507.7619212,-18614.479494506537,-262694.41530860326,-3983869.029895424,-215671.6884682141,-6073473.465104682,-8609550.668503033,2465645.143457444,828678.0111331296
45671.26133065706,2.8574669902974904e-10,-12654.264259183692,0.0,-37228.958989013,-1732046.095292154,-211883.706410259,-255955.2972423469,664689.144422979,-7892088.112794447,730974.2674797104,2482775.864254223
821459.1002977735,3.4660016271201034e-10,-11072.481226785498,44662581.85513906,-55843.43848351946,-4.0745362639427185e-10,3560101.6170749064,-649009.6105292055,1640499.2040620206,-7174625.5570858605,239552.6906079781,1847074.197777884
1824629.07721427,4.0745362639427185e-10,-9490.698194387303,8954045.845939804,-1813026.29409175,0.0,3677738.2028453858,-659552.0217439712,3589648.0250134342,-6457163.001377275,51334.31806694062,1418570.094093337
301136.6115459205,-2.9103830456733704e-10,-7908.915161989109,3627702.404578809,6.984919309616089e-10,-3.274180926382541e-11,2906364.61308198,-372252.33685678494,-3682138.672642145,-5739700.445668688,915636.7916700516,-534060.4607052761
2054792.7197981824,-1.5317805503544056e-10,-6327.132129590915,17474775.408816423,2.3283064365386963e-10,-6.548361852765082e-11,2.1100277081131927e-10,-264008.6274365994,-1897628.6612127027,-5022237.889960103,-2988910.514931188,-785584.0902347842
222447.2812717832,-1.5317805503544076e-11,-4745.34909719272,2051083.163833884,-1830216.2954498385,-9.822542779147624e-11,0.0,-308414.9186735787,6848979.970202965,-4304775.3342515165,7494829.619863615,-1770799.6798043572
640175.217408817,1.2254244402835238e-10,-3163.566064794526,29146105.41939576,17406775.49254994,-4855195.086552709,2685069.4113479005,-38669.21458643214,-3171020.494369876,-3587312.7785429303,1.2846612662542611e-11,2243887.1765047284
557180.5678142946,2.604026935602489e-10,-1581.7830323963317,4716492.131632225,52944.72248862094,34383790.86928694,0.0,-14712.352193482297,350165.88864627434,-2869850.222834344,6726754.812448532,-742961.0797607816
712708.9837549363,3.9826294309214536e-10,1.862645149230957e-09,33543328.51050042,-873925.57768318,-209357.40762604697,955662.6528221588,-534539.4574636152,599179.0417461388,-2152387.667125758,-768753.8478191606,-342067.65396469354
280606.14861468395,5.36123192624041e-10,-37387.04144205016,36879492.098726414,1.673470251262188e-10,-31766.909987011142,637108.4352147726,-17219.078353413974,-793754.6507199309,-1434925.1114171715,2530748.420746503,1248049.2938868662
