Rise-Time_envelope_Shape_factor,Rise-Time_envelope_Shape_factor.1,Rise-Time_envelope_Shape_factor.2,Rise-Time_envelope_Shape_factor.3,Rise-Time_envelope_Shape_factor.4,Rise-Time_envelope_Shape_factor.5,Rise-Time_envelope_Shape_factor.6,Rise-Time_envelope_Shape_factor.7,Rise-Time_envelope_Shape_factor.8,Rise-Time_envelope_Shape_factor.9,Rise-Time_envelope_Shape_factor.10,Rise-Time_envelope_Shape_factor
2.344938645726865,1.2894917619665869,1.485809801739334,1.5629068742644383,1.3940651825343522,1.653461052087639,2.6255696281068497,1.3358802098315896,1.2887575750940723,1.4757617856982086,1.1280903501361457,3.457237897891817
1.0775068443084808,1.119604556177286,1.309221470729347,1.091210279617444,1.012076989893938,1.0191120109270806,1.0657826416844167,1.3785739381119313,1.1483690158033408,1.0169486686461795,1.016940140705881,1.1204622860331128
1.0674295063182555,1.000002439487206,1.1326331397193603,1.1106589669434277,1.0479316844941695,1.1342375355933578,1.0588818473683437,1.0140508931350287,1.0342379453154984,1.012459128536375,1.0145006844371325,1.1044296110193006
1.1171288306848923,1.0012611023095443,1.1419491561137414,1.065087246124641,1.0309978727786335,1.2493630602596348,1.0285760598714004,1.106888556182549,1.1129333234878516,1.0079695884265711,1.028722506193806,1.1566057120446895
1.04511554376029,1.002519765131883,1.1512651725081222,1.168582556576572,1.0003768070530616,1.1248613368001357,1.0268433809770856,1.0182768370512538,1.103518615180485,1.003480048316767,1.0000083821539472,1.136278169563354
1.058782345711459,1.0037784279542212,1.1147724707753424,1.0085319089781433,1.0649302651970831,1.0003596133406365,1.025110702082771,1.012898911686094,1.0276584575704466,1.1055922059664145,1.1443342691350735,1.1112131494847286
1.038620879256018,1.0050370907765598,1.0902952271767985,1.053390293372073,1.1294837233411046,1.0275385861656718,1.0233780231884562,1.0453140397192076,1.0189819468492003,1.1044174901654518,1.2886601561161997,1.110969644801398
1.060420868218125,1.006295753598898,1.0658179835782546,1.095215866709825,1.194037181485126,1.0464339567247178,1.0077609396057796,1.1187451534339927,1.1386444035596657,1.103242774364489,1.1547653220168943,1.0894359971465004
1.0366003965085449,1.0075544164212364,1.0413407399797108,1.0374871007758306,1.1119344917285197,1.0406715925921608,1.0059201173255112,1.0398196694798183,1.2583068602701304,1.1020680585635263,1.2042318394739815,1.0951316481187872
1.0630245813359207,1.008813079243575,1.0371512099797044,1.0436691132754583,1.0298318019719133,1.0349092284596038,1.0040792950452428,1.0355436858215643,1.0278996929802078,1.1008933427625636,1.1712601595312708,1.0950543247160136
1.0363430072562834,1.010071742065913,1.03435115103171,1.1157854350005114,1.15779193042269,1.054675990606954,1.002238472764975,1.0611980191832362,1.063579154231271,1.0997186269616008,1.1299587437927847,1.107400060266006
1.0463182044575146,1.011330404888252,1.0315510920837156,1.044502872473171,1.0494880634438937,1.1934716975170945,1.0003976504847063,1.0222841768660036,1.020967886478479,1.098543911160638,1.1280177120776582,1.1439333736583854
1.0230889823078262,1.0125890677105902,1.0135672217832823,1.1598313343588458,1.022320385838076,1.0911868647434202,1.2019074822370353,1.090485220204978,1.0544869201751983,1.0973691953596754,1.2077755815890217,1.1392072962886106
1.0364785939495231,1.0138477305329288,1.013387441182895,1.2456396061902588,1.0158883252644493,1.234899959165102,1.180166295407424,1.2050451935809785,1.0200299799082102,1.0961944795587126,1.1344363166194311,1.1102791673554453
1.037855095209258,1.015106393355267,1.1018441363499905,1.0315432168448326,1.0223945545314652,1.085313708100102,1.158425108577813,1.078679058248808,1.0879692201968814,1.09501976375775,1.0828294044842208,1.1443264407120912
1.1204814522000592,1.0180849400216851,1.087855951710581,1.3249235782388549,1.0289007837984812,1.0258411187285952,1.136683921748202,1.1747687712940449,1.0300972994329856,1.0938450479567872,1.1694435174133964,1.1848784650873534
1.4198939811550828,1.0210634866881034,1.0738677670711714,1.0945197731583758,1.035407013065497,1.1215477145935246,1.1149427349185907,1.20681934068624,1.0551020713985195,1.0926703321558244,1.1445656359927672,1.2355023840345238
1.1210064715662964,1.0240420333545217,1.059879582431762,1.12563806637033,1.023770262371447,1.0624819898930176,1.0932015480889796,1.175698832374431,1.0801068433640542,1.0914956163548617,1.1473935079670778,1.2009786309048842
1.11140517112784,1.0270205800209395,1.0458913977923523,1.1343204239344054,1.0121335116773973,1.0648996842557934,1.059762097850813,1.1598276534015504,1.0309743379399048,1.090320900553899,1.2815611352724896,1.18844591620026
1.0987653928442909,1.0299991266873576,1.031903213152943,1.0295892388211276,1.0004967609833473,1.0673173786185692,1.026322647612647,1.052572675253355,1.1762374091779646,1.0891461847529362,1.1713459068652516,1.3000178905589794
1.0780269243062486,1.032977673353776,1.0179150285135334,1.0511628787520573,1.0459096386547226,1.0253992992943102,1.0297756253709751,1.038520018247442,1.1329066747694982,1.0879714689519735,1.011036848660213,1.206219388608972
1.1305261782299836,1.035956220020194,1.003926843874124,1.0528573005792017,1.000661332336309,1.0265349906340082,1.0170669529300438,1.0169111115937082,1.1797515597545072,1.0441622731661138,1.089114418177523,1.2501305980002688
1.043430534125527,1.038934766686612,1.0040198628742305,1.1212044090388926,1.0242599052818686,1.0057461167014892,1.0043582804891125,1.0429026328706077,1.087249486862564,1.000353077380254,1.069279000372886,1.1590534830115418
1.0836269482615206,1.04191331335303,1.0041128818743368,1.1026978695273366,1.0478584782274285,1.0711843137184152,1.0125416263501263,1.0370454696572302,1.048191812723488,1.00202228999234,1.0121699895645633,1.2295217024857403
1.0782375660070544,1.0448918600194483,1.0042059008744433,1.0758844305400703,1.071457051172988,1.0780857322813784,1.0207249722111402,1.2417367182662735,1.0302179488705423,1.0036915026044262,1.0137560405041277,1.2040300679642524
1.1581562939385937,1.0478704066858664,1.0042989198745496,1.2187572911475717,1.0936443685744268,1.0996408032673917,1.275920515927384,1.100330613738274,1.0234037043990205,1.0053607152165125,1.0191790147523905,1.2207600898743234
1.0794071343045375,1.006745021124894,1.004391938874656,1.160298022349096,1.024009318903663,1.067186879978199,1.010825322275381,1.0203993055060503,1.0547625975419703,1.0070299278285983,1.036356458489471,1.1492451183370924
