Duration_envelope_Shape_factor,Duration_envelope_Shape_factor.1,Duration_envelope_Shape_factor.2,Duration_envelope_Shape_factor.3,Duration_envelope_Shape_factor.4,Duration_envelope_Shape_factor.5,Duration_envelope_Shape_factor.6,Duration_envelope_Shape_factor.7,Duration_envelope_Shape_factor.8,Duration_envelope_Shape_factor.9,Duration_envelope_Shape_factor.10,Duration_envelope_Shape_factor
1.391324381268227,1.1779918229765298,1.2388423174291303,1.294285126071752,1.394375843752491,1.183285453364166,2.155230532271984,1.207091452448403,1.0501844483947118,1.0913008961266484,1.0534817372852554,1.879441051969148
1.1037925942770763,1.0705255603260142,1.1683254473542009,1.1590022506019857,1.0080823380421136,1.0354832422752471,1.093027278888682,1.093563172733423,1.012907200552058,1.0049027810871116,1.069197483327461,1.137581314367538
1.0859652344784043,1.0986524113395468,1.0978085772792714,1.225733908858449,1.0110697392866723,1.0435549060190974,1.0606183450841156,1.0256089344362211,1.027507100316098,1.0316849625791156,1.0036300064498804,1.042520243411047
1.0740482667048403,1.0959745047241498,1.0506847849816898,1.0316001137337365,1.0207838532142894,1.0516265697629477,1.0506873957402936,1.04696216980485,1.018009617307578,1.0584671440711195,1.0000274756349172,1.0360166881058903
1.0435417921180128,1.0932965981087528,1.0035609926841085,1.110652791951935,1.0947133927860306,1.030172959542675,1.0435425009475163,1.0057689625374735,1.011519189326913,1.0852493255631237,1.0148598559992883,1.0195667144461384
1.0448763162041996,1.090618691493356,1.027170339052055,1.0098034644343232,1.102159601576771,1.008719349322402,1.0363976061547395,1.0044709422066176,1.0529304802329424,1.028769994986607,1.082319266236755,1.013460996507417
1.0507102130505903,1.087940784877959,1.023570779434773,1.098734373207336,1.1096058103675113,1.0586870561349644,1.0292527113619627,1.0012828426720637,1.0381394631107337,1.0277237485018238,1.1497786764742215,1.0080130585468368
1.0544664419147125,1.085262878262562,1.019971219817491,1.0553678421890629,1.1170520191582516,1.0886170013667693,1.0077453344540797,1.063254529204782,1.0221730155708737,1.0266775020170409,1.0014045419789563,1.0059424075878711
1.0406114454548197,1.0825849716471652,1.016371660200209,1.1011820183251848,1.0615058687863168,1.061595463807505,1.0487874367268568,1.038585159950372,1.0062065680310135,1.0256312555322575,1.0158758700700916,1.0103082104812509
1.028673368632448,1.079907065031768,1.0588471365825218,1.0481140250400491,1.005959718414382,1.0345739262482403,1.089829538999634,1.025293442170603,1.0072104422778967,1.0245850090474744,1.0344167663085246,1.012754977099239
1.0411702230368052,1.0772291584163711,1.035631926495492,1.139850981767105,1.00657244021297,1.06603155397052,1.1308716412724111,1.0078224667315463,1.1495415948243348,1.0235387625626913,1.0359664459575162,1.0129978155996135
