Duration_envelope_Median,Duration_envelope_Median.1,Duration_envelope_Median.2,Duration_envelope_Median.3,Duration_envelope_Median.4,Duration_envelope_Median.5,Duration_envelope_Median.6,Duration_envelope_Median.7,Duration_envelope_Median.8,Duration_envelope_Median.9,Duration_envelope_Median.10,Duration_envelope_Median
341.275623684185,383.7831559983561,608.1093677871352,375.0680021471619,325.15726055816634,501.29396781509934,415.61256887053946,401.6566325878247,730.4870635200789,540.4726298522705,638.389547733156,355.4683347061184
314.3403512509308,564.2029821085301,465.129134476026,308.4868738973428,402.9176476866887,773.4995870611715,393.1357453724593,466.7181470554015,575.3922737009789,588.025661928751,592.3224188879009,287.6947182308596
449.38247369295584,443.62448922479626,322.1489011649169,367.7521521955121,497.4352566027092,909.690822880174,420.7226409108744,403.4370702063752,669.2692444747114,516.1079058500859,827.1150298184974,402.17575900954375
526.8305477224255,424.162163913493,428.737725886917,509.90695493312944,602.1984908639689,1045.8820586991765,601.1859610001643,462.3602423198558,598.3638223795098,444.1901497714208,647.815859796966,452.8874570422257
596.2545969226506,404.6998386021897,535.3265506089172,420.6205087017552,443.7806470920674,860.6761602728611,548.2598425732829,453.9043901993823,491.8197579755484,372.27239369275577,658.7966186537907,665.1876336668214
604.623444758594,385.2375132908864,432.337325423978,377.2431960737052,505.5497541317016,675.4702618465459,495.3337241464015,414.9154955270916,701.7257002721439,791.1373476430432,691.1877286744223,698.3632443281583
595.383142284787,365.7751879795831,511.3984073606184,389.9406590963592,567.3188611713358,332.7646696664864,442.4076057195201,386.9202847652313,583.729978550725,770.1538755505994,723.578838695054,685.7017398368032
509.7055626266482,346.3128626682798,590.4594892972589,417.56668052295504,629.0879682109701,601.0152432691378,363.219194447674,396.7584296265721,589.8085828667631,749.1704034581556,397.3402473506685,665.8621218283918
557.1671185987616,326.8505373569765,669.5205712338993,436.9823069381596,496.4995441895717,549.6446940562844,372.02075112248895,396.7625972824815,595.8871871828011,728.1869313657119,447.4560367898025,662.0594676750292
626.8270934783416,307.3882120456732,426.81744588619,781.115184405636,363.9111201681733,498.27414484343103,380.8223077973039,293.8084378999874,310.6789494384111,707.2034592732681,406.82234068611496,630.115623820195
555.7714210751154,287.9258867343699,420.982552796996,443.23574194728224,260.4854679477369,429.4193443026281,389.6238644721189,392.7745888870297,646.7397410209027,686.2199871808243,356.33762139207033,663.1702369599495
662.2596109986922,268.4635614230666,415.1476597078019,357.1830319306998,180.79825978931967,213.024081073688,398.4254211469338,382.9425972485983,611.4476881968026,665.2365150883805,334.75635328402905,663.000831154554
543.3431989889717,249.0012361117633,341.376985909347,271.6506793306372,147.0213757131196,198.5195379577025,586.3430837499984,383.9600093017692,1021.965620651696,644.2530429959368,355.91911330978303,667.2055443875253
413.8672444385824,229.5389108004601,344.218617612253,583.7483334257702,187.5627678100116,269.1583038830562,571.6446775632028,368.0126939395841,602.9461219354497,623.269570903493,381.3660651162565,658.9891615885858
351.5935573117183,210.0765854891568,359.1966531587444,811.6964040263272,190.43016503620643,301.46882486586605,556.9462713764071,366.88938730282666,561.3096217119796,602.2860988110492,357.6852462473244,560.0938819717152
320.00181785222014,218.90238960710568,351.80371149707526,431.9205950461935,193.29756226240124,411.55572211061286,542.2478651896116,363.0248597546204,599.1805212862953,581.3026267186054,190.51795942273287,549.8142813184832
305.5941802445284,227.7281937250546,344.4107698354061,503.84209112259646,196.16495948859608,419.5093889822476,527.549459002816,363.1349636129369,591.7645921824414,560.3191546261617,309.79543117035087,555.0216330263431
229.3394254566329,236.55399784300351,337.0178281737369,472.4587699192373,207.26504097176183,376.09154447525606,512.8510528160203,360.4859114893959,584.3486630785876,539.3356825337178,307.98645420589,555.6804516061778
275.8545106405908,245.3798019609524,329.6248865120677,1320.6529765926157,218.36512245492767,395.1604271524211,601.4080839980336,357.7287197467493,705.3805137433498,518.3522104412741,420.8884553618304,540.0837599075976
303.6630352068738,254.20560607890133,322.2319448503985,407.5591155584745,229.46520393809345,414.22930982958616,689.9651151800467,344.4003500803599,617.1122625569119,497.3687383488303,440.4955740201368,541.6070921981135
267.39516919645257,263.03141019685023,314.8390031887293,1004.761412524163,279.3046232064628,478.843841421086,186.81133665306817,340.5271606037942,395.2614008708189,476.3852662563865,246.91515106854249,573.162974384031
216.725806738512,271.85721431479914,307.4460615270602,486.3174605783712,359.63736683589286,343.37061319152275,604.8404516120793,349.33438935579386,582.7635728444773,540.6721043415836,187.43321093433693,544.6173741718643
271.34339263430104,280.6830184327481,336.8020156079,494.7518960791876,382.6492454523308,529.7583000914225,1022.8695665710906,349.3919135588196,710.9957627587762,604.9589424267807,380.3104104813384,541.5143139159601
227.1086817638549,289.508822550697,366.1579696887397,407.1892408332973,405.66112406876886,494.4770759028536,750.6421386619479,351.2289590752823,556.3911365578923,600.7481599407996,218.7746975670892,553.705649257277
348.6037738224644,298.3346266686459,395.5139237695795,528.4573371717863,428.6730026852068,309.18702603627486,478.4147107528052,342.5522585509813,580.6609516776576,596.5373774548185,208.1359975963813,585.4534078800739
270.52954441574684,307.1604307865948,424.8698778504193,263.7730943432325,512.4283273710171,350.27119351143045,231.07804927779736,345.6414357632427,515.0376529242668,592.3265949688373,187.92719282079824,584.2986334547801
261.51914125672977,505.34044100965946,454.2258319312591,418.6992721784381,356.3659369871904,367.4146040505105,403.0440000323089,367.2623693975397,618.803100002185,588.1158124828562,185.81814304308904,605.6747036801894
271.16165657705903,495.8703221690738,483.58178601209886,351.0496480227732,470.1181850088229,384.5580145895906,313.8842021071222,346.5391174807649,698.8819883942058,583.9050299968751,403.5776550250063,608.8873317342665
267.91542291535643,486.40020332848815,512.9377400929386,302.4123724133058,424.0277891914943,401.7014251286706,519.3778174609209,347.0441028264828,484.30876171267687,579.694247510894,349.8121809088656,619.4686321695884
196.8173060436017,476.9300844879025,542.2936941737785,383.9037772155467,390.27200992574393,687.6183961764541,262.0517412482999,287.6629399286792,505.6674343236207,575.4834650249129,448.86373603200514,639.3001606595948
214.88860015560027,467.4599656473168,571.6496482546181,374.86026043741816,448.4080852213545,348.0740276994235,379.8603100108076,284.51319141108684,731.2035917808136,571.2726825389318,339.8106357074305,619.023302592783
241.4494522146665,457.9898468067312,601.005602335458,544.6459282784606,468.9550746270297,334.06742527547306,215.8512145427563,292.24450412734603,621.8936016013096,567.0619000529507,299.5110996893954,653.7496109404156
228.62287831530625,448.5197279661455,596.7658126585152,333.386797338051,469.9912956104298,342.5349810033941,187.6854476117745,332.5093135698656,492.45517906790167,562.8511175669695,316.1713539945933,672.7580710187508
252.8191345221669,439.0496091255598,567.5929972195038,307.15160003498465,687.1742433656623,359.6190070562216,159.51968068079276,336.47226276690594,512.8540958050833,558.6403350809884,300.56373124143977,668.0253677690278
230.253992750982,429.57949028497416,538.4201817804924,329.8939621958272,668.3893708288493,373.9788996787845,131.35391374981097,294.19953516800683,720.6904801845427,554.4295525950073,229.2590941081369,667.2598111356493
224.2688454670393,420.1093714443885,509.247366341481,305.1053277541247,604.3419442456217,441.5504509202812,201.97672024826028,297.734401186691,452.1224025077888,437.4468629961745,215.4207947370172,647.1099051923909
220.7471371944899,410.6392526038029,480.0745509024696,361.1881263811316,691.4542981156576,520.8803181928538,272.5995267467096,287.88074375063934,635.5426611748547,320.46417339734154,169.0884633795591,660.0677861683146
214.7820410826916,401.1691337632172,450.90173546345824,418.2349698495377,627.2671025704246,415.90284594159175,292.51928010774145,283.33496444315847,440.3772371121794,339.86811788933403,215.5756158277267,661.9628949431038
208.7919889556605,391.69901492263153,421.7289200244469,379.2167930377649,589.4058984816504,454.6176154184136,312.43903346877323,283.51200009743377,633.9510971956421,359.2720623813265,167.74100084812272,657.4185647352057
228.7413178778757,382.2288960820459,392.5561045854355,352.6048356310405,588.844890005875,660.907458286567,332.358786829805,291.3529528146448,328.9907516086375,378.676006873319,219.7071484883905,570.5823841440724
