Energy_envelope_Central_moment_6th_order,Energy_envelope_Central_moment_6th_order.1,Energy_envelope_Central_moment_6th_order.2,Energy_envelope_Central_moment_6th_order.3,Energy_envelope_Central_moment_6th_order.4,Energy_envelope_Central_moment_6th_order.5,Energy_envelope_Central_moment_6th_order.6,Energy_envelope_Central_moment_6th_order.7,Energy_envelope_Central_moment_6th_order.8,Energy_envelope_Central_moment_6th_order.9,Energy_envelope_Central_moment_6th_order.10,Energy_envelope_Central_moment_6th_order
3.859589382370826e+46,8.463812928739277e+43,1.542768806474002e+46,7.007005524164527e+45,6.01413318280695e+39,2.1568102775347367e+44,2.3820552627902828e+48,4.705363194745938e+44,1.4303120233058918e+45,2.1728858105385314e+44,1.0547956225495528e+45,3.643438907373899e+45
1.3028686363421333e+43,5.990608064052944e+41,7.713844035090221e+45,8.550826006587918e+43,4.026837146885003e+36,6.335970758027371e+43,6.048431026476262e+43,1.3201063706880113e+43,8.470781049514321e+37,3.540318820208367e+32,6.560426462571811e+42,2.420354902653417e+42
6.314661013205958e+42,6.881667317728847e+41,5.440421005474285e+36,1.4092676281387868e+43,1.5403906078101757e+37,4.41411645532624e+43,5.86381771929769e+40,5.523417247631382e+39,6.314865042233382e+35,6.049443770787646e+35,3.836245950268148e+32,3.5805456736288427e+37
1.9004683002272663e+43,6.308209205744692e+41,2.7264868559163065e+36,4.561099483565197e+36,9.487953617066722e+36,2.49226215262511e+43,7.78585815465389e+42,9.196009895110646e+46,1.144405743688395e+35,1.2095347222755084e+36,3.380309022583003e+33,1.252924233112833e+44
1.9981270733090744e+43,5.734751093760536e+41,1.2552706358327015e+34,3.296619336808953e+35,2.313113652189092e+35,1.2470277811915842e+43,5.1905745635528753e+42,2.2886061056611294e+41,5.279414403345336e+33,1.814125067472252e+36,3.6729557302860346e+31,2.6173273010530667e+40
3.823988451676442e+41,5.161292981776381e+41,4.064793466583618e+33,1.2635229816844052e+36,4.0733653210593905e+38,1.7934097580585742e+40,2.5952909724518602e+42,3.1985030578696103e+33,2.9351711854458014e+33,2.1515295368272573e+33,1.068027911892626e+41,1.1402737049941113e+41
5.07077764987607e+41,4.587834869792226e+41,2.0090072246026373e+36,1.7014400887402748e+39,8.144417528466592e+38,6.288633386062033e+36,7.381350845644696e+36,8.166154358044106e+33,1.5045684887672312e+36,2.0161763892745805e+34,2.136055823417956e+41,8.135290987442335e+40
1.4744118312527483e+40,4.01437675780807e+41,4.0139496557386914e+36,3.683834040262812e+37,1.2215469735873791e+39,7.796088668071633e+43,4.094609023639904e+38,9.837367954814062e+39,3.9476034974470303e+36,3.817199824866435e+34,3.3215261774606507e+37,3.2927134581009115e+39
4.769658507947891e+40,3.440918645823914e+41,6.018892086874744e+36,2.5083576508414348e+42,6.1077462676205726e+38,3.898095177873231e+43,9.68150697410488e+41,6.488046583781141e+34,6.39063850612683e+36,5.618223260458289e+34,2.6480424155098543e+38,7.821319015503255e+39
1.287820010942712e+41,2.8674605338397585e+41,2.855601312055813e+36,7.019935150435928e+42,2.279936735667689e+33,1.0168767482175383e+39,1.9358919339186122e+42,1.235488085669188e+33,6.439655850199234e+36,7.419246696050144e+34,1.7660747137094142e+33,6.80592250525353e+39
1.9362068571288823e+40,2.2940024218556026e+41,1.6362553011154877e+36,5.767821536056503e+45,2.1761403621909154e+34,8.146218710415638e+45,2.903633170426736e+42,1.1474057942001428e+36,4.681654131315316e+45,9.220270131641998e+34,2.2271706935518887e+38,7.294366030848377e+39
6.697401919728865e+41,1.7205443098714477e+41,4.16909290175162e+35,4.064017111450244e+37,3.880949456220809e+32,6.533198178308588e+34,3.87137440693486e+42,1.018870039880873e+36,8.843326294499648e+37,1.1021293567233853e+35,7.350981979247283e+30,3.8356045448273893e+40
2.5213969468665183e+40,1.1470861978872917e+41,1.2342109983779888e+36,2.7356167000047885e+37,1.489961493554605e+33,4.0311772877316144e+36,1.4292796068849267e+47,2.2632709771502707e+34,3.6501605137381854e+40,1.2822317002825708e+35,3.2104724572751868e+31,1.0519576749200145e+41
2.3813538005696867e+34,5.73628085903136e+40,3.346597615187315e+36,7.28531563317019e+45,5.682968502990776e+33,2.164968950319769e+33,1.143423816556514e+47,6.61422174023217e+33,1.0274365400183623e+40,1.4623340438417562e+35,9.688289358027645e+31,3.290004656838301e+41
7.796717843131183e+35,1.699739189800385e+37,4.826687115804036e+35,3.6882211397205684e+40,6.23994794292195e+33,2.387994757769239e+34,8.575680262281013e+46,2.1733826720089405e+31,1.8708521291097529e+37,1.6424363874009415e+35,2.7109232558368286e+34,6.247881761928732e+39
1.436036394562806e+36,1.545329614024537e+37,8.127925942918229e+37,4.989771156749831e+41,6.796927382853123e+33,1.1393708048720268e+35,5.717122358996891e+46,9.91413948022992e+36,2.353752720262048e+34,1.822538730960127e+35,1.9181286540839288e+38,6.797424596788488e+39
4.698942315030176e+32,1.3909200382486892e+37,1.6207585014678418e+38,2.999269767800733e+44,7.353906822784297e+33,8.918011732319077e+33,2.858564455712765e+46,2.052553958234556e+29,1.3800996204563983e+35,2.0026410745193125e+35,6.6467665765905945e+31,3.215298667310208e+39
1.437230010524798e+33,1.2365104624728414e+37,2.428724408643861e+38,5.206627064389001e+45,1.0753867305853172e+34,1.5604778327188196e+34,6.5524286392773655e+40,1.394290298108304e+29,2.5248239688865925e+35,2.182743418078498e+35,2.992483344464397e+35,8.798243572978516e+38
9.302791318997496e+35,1.0821008866969934e+37,3.23669031581988e+38,1.1849262621645638e+36,1.4153827788922047e+34,1.0972306317864608e+35,2.0753719767074697e+41,4.825694163070114e+29,9.361347963595717e+35,2.3628457616376835e+35,1.1796822197126383e+45,5.5162107790298965e+38
1.2698882294637984e+35,9.276913109211454e+36,4.0446562229958976e+38,2.21838318654718e+45,1.7553788271990923e+34,2.03841348030104e+35,3.495501089487203e+41,2.606577052878994e+29,1.814121192978304e+35,2.542948105196869e+35,3.5381296313934126e+33,5.694297693949898e+42
1.1917483884436925e+32,7.732817351452975e+36,4.852622130171918e+38,5.21740666274e+44,1.785082389662948e+35,5.255506836071909e+31,9.735977971039479e+39,3.431122175033758e+30,6.266028551448063e+35,2.7230504487560545e+35,2.183180284199505e+32,1.6211570969715445e+41
3.972498508679849e+31,6.188721593694497e+36,5.6605880373479366e+38,3.166542061660817e+45,1.921235542513325e+35,1.0666097904953368e+32,2.0192411292405057e+41,2.4322849298983573e+33,2.633318468348913e+39,2.553261558108521e+35,4.078312910669229e+31,2.8618443466892096e+38
8.129977854811574e+32,4.644625835936016e+36,4.687329813347694e+41,5.0890064083481214e+47,5.623233616634979e+36,1.2641488714695432e+35,3.9411224787706164e+41,8.725594453426056e+30,5.929516794515874e+38,2.3834726674609867e+35,5.416572635897541e+37,1.7658714336730657e+38
2.6968633030017305e+32,3.1005300781775353e+36,9.36899903865804e+41,1.185012837749872e+39,1.1054343679018626e+37,9.20456800030583e+37,4.834272266846718e+41,2.4284828066260303e+31,7.976616243468653e+35,2.1848499761177063e+35,3.759916777679073e+33,3.697072076860525e+38
2.8047410206303288e+38,1.556434320419057e+36,1.4050668263968386e+42,3.821650799485791e+46,1.648545374140227e+37,1.437692631577222e+36,5.727422054922816e+41,1.3714890042209762e+29,1.911727931854431e+41,1.9862272847744262e+35,3.5198808431142626e+33,1.1369992411780706e+38
4.0723542584883926e+37,1.233856266057659e+34,1.873233748927873e+42,3.2377981613216235e+43,1.9379004685433367e+38,3.614946584376044e+36,1.2887149538098252e+36,1.2641310199377112e+34,5.142443161883672e+37,1.7876045934311466e+35,2.436868126002656e+31,6.289062918630664e+38
1.535468163163023e+31,2.378317077821961e+36,2.3414006714589082e+42,2.1938369699924937e+41,4.326821560327837e+37,2.425032477708514e+39,8.584293728219253e+34,2.796250706815655e+44,3.699037201992175e+36,1.588981902087867e+35,2.230477741904941e+32,1.5577302201260963e+39
2.9449681831638184e+35,2.2991047072026143e+38,2.809567593989944e+42,7.905459069478836e+42,1.951821536287093e+38,4.846450008832651e+39,5.272686953736807e+34,1.585866787027742e+32,1.2825263612521885e+35,1.3903592107445869e+35,6.31980639998531e+31,2.3573954170620646e+39
4.044844174911798e+33,4.5744262436270086e+38,3.277734516520977e+42,5.603874557163887e+42,6.212298605523514e+41,7.26786753995679e+39,3.687353999020752e+35,1.3781513261995215e+31,2.4486310684885496e+36,1.1917365194013069e+35,1.0237509074403015e+39,4.646768714358467e+44
3.262952931669612e+36,6.849747780051402e+38,3.7459014390520123e+42,2.6852057898731395e+47,5.528784254188148e+45,1.554049266565262e+41,5.434466283862372e+33,7.254240794251925e+29,9.033801221639729e+34,9.93113828058027e+34,3.0015378027507847e+38,2.619762058787882e+39
8.80837621583768e+35,9.125069316475799e+38,4.214068361583046e+42,1.9805012573169505e+38,6.404806958291831e+34,8.39237448918956e+43,3.601183110509273e+34,2.1649426646245736e+31,1.14163331675441e+36,7.94491136714747e+34,2.025667982976075e+41,3.914681356644423e+39
4.4149359947808304e+35,1.1400390852900191e+39,4.682235284114081e+42,1.48073529116752e+46,4.893794108121681e+34,1.1173097513980783e+35,1.180363652854277e+34,9.709088534015188e+36,8.933942672954309e+36,5.958684453714672e+34,6.752224895764293e+32,1.6342367404147568e+40
1.3115573322411977e+36,1.3675712389324582e+39,2.217814720227557e+39,9.916714944191714e+47,3.5437931842950954e+34,1.321573277834025e+35,2.9607954855428086e+34,1.878107220906239e+30,6.205559444300576e+35,3.972457540281871e+34,8.680136872270297e+39,3.256459055345677e+39
3.9668857525300905e+35,1.595103392574898e+39,1.971547077292658e+39,2.0313625487306968e+37,1.252036875540389e+37,5.837884206452695e+36,4.741227318231339e+34,2.558216932429703e+41,4.079566248749464e+35,1.986230626849071e+34,1.858293959342668e+42,1.4495520949462323e+39
3.1946954745726004e+38,1.822635546217337e+39,1.7252794343577588e+39,1.4121978542978623e+43,1.5325843859331148e+38,1.794966106713955e+41,6.521659150919871e+34,4.660838336146208e+34,2.987619557533737e+37,3.7134162705032936e+28,5.797646752528929e+35,7.704118676983163e+38
1.3183038550410224e+36,2.050167699859776e+39,1.4790117914228595e+39,8.547892256061838e+35,1.6961032222337082e+37,2.9093908080384087e+47,6.372873140025519e+35,6.586511735313669e+31,9.56171361876755e+37,9.528333245290971e+35,7.925979158785584e+32,2.157143883010028e+38
1.7941800814863995e+36,2.2776998535022167e+39,1.2327441484879607e+39,1.0308579399012948e+36,1.615851205204624e+37,1.0945934236862335e+45,1.2093580364959051e+36,2.7782555854086256e+33,8.635693970532434e+35,1.905666611924032e+36,1.8734002841795136e+33,4.529909168461746e+38
2.3165345150722904e+38,2.505232007144656e+39,9.86476505553062e+38,6.782033529239957e+44,3.1304139682260896e+37,9.709959249024227e+44,1.0312676971678516e+36,3.3239139485090475e+37,4.49261009300808e+35,7.240145801960312e+36,3.2467039310660625e+32,3.9965791231919975e+38
5.032189597783805e+36,2.732764160787095e+39,7.402088626181626e+38,1.6523081835283486e+46,3.4295917323658764e+38,1.4643475564260967e+44,8.531773578397979e+35,5.782970166720978e+33,5.852958971333569e+43,1.2574624991996592e+37,7.208670395162353e+32,2.5150548285195792e+42
1.8550002564798705e+34,2.960296314429535e+39,4.939412196832638e+38,5.217592436881452e+46,7.788006864226282e+38,3.2257321260024e+39,6.750870185117444e+35,1.5283451824643168e+34,5.0615404379715626e+41,1.790910418203287e+37,2.562837621330455e+30,9.957403070519929e+37
6.1476961520915255e+34,3.187828468071973e+39,2.4767357674836485e+38,1.4337374153060968e+39,6.212244865673384e+38,1.1532328272429073e+46,4.969966791836907e+35,3.5263066055378688e+44,4.2933196321610427e+43,2.324358337206915e+37,2.279475720639551e+31,2.1140517769799283e+38
4.241508396059901e+34,3.415360621714414e+39,1.405933813465791e+36,4.376202600962648e+42,3.3574535486190537e+38,3.795832762639976e+41,3.18906339855637e+35,1.562906321204849e+35,1.4379978983857285e+36,2.857806256210543e+37,2.390235427970832e+33,5.54960560605024e+38
3.646279673980977e+36,3.642892775356853e+39,1.3297406072297445e+36,2.4308458886357443e+44,1.188260419620374e+39,5.112299494344466e+42,1.4081600052758347e+35,4.578546921078793e+41,4.558798609982176e+34,3.3912541752141697e+37,3.73336011550268e+31,1.2637418348830915e+38
3.8414647458634737e+33,3.8704249289992926e+39,1.2535474009936978e+36,1.297310362055306e+36,1.803197760764213e+39,3.3454058967783843e+40,1.056122879326708e+35,6.087962811616355e+35,7.286894618430247e+32,3.924702094217799e+37,4.352599467714221e+32,2.3715044557322887e+38
7.062928900579707e+33,4.0979570826417324e+39,1.1773541947576513e+36,1.069957056036461e+39,1.3189934127556055e+39,3.3473052262549434e+39,7.040857533775814e+34,3.0018035655299647e+44,2.303917373624698e+31,4.458150013221427e+37,2.919562182476449e+34,2.267590632743865e+38
7.168968841526491e+33,4.3254892362841717e+39,1.1011609885216046e+36,2.4516123464654564e+34,2.807364657610564e+39,5.583126229331154e+38,3.520486274284548e+34,9.898756529358948e+37,1.188778779296684e+30,4.991597932225054e+37,2.0874591523469344e+37,7.729944612712923e+37
1.3394326236732528e+34,3.932414743279616e+39,1.024967782285558e+36,1.6748201203286995e+36,2.6893990315850664e+42,3.1958900865906985e+36,1.1501479327920748e+30,5.25416520684782e+43,4.2090810645673577e+30,5.525045851228683e+37,4.640420925500232e+44,5.685816780909175e+37
7.712663261144948e+37,3.539340250275061e+39,9.487745760495116e+35,1.1175293566869452e+39,1.575417425876932e+39,4.044998092374373e+35,1.830615482827772e+38,6.55828896164216e+40,6.799682782505527e+32,2.2450177521520847e+34,5.562695956815909e+43,5.393096493997249e+37
1.4960469604896988e+37,3.146265757270506e+39,8.725813698134647e+35,2.527983080240463e+43,1.2647332255717968e+39,3.896548042351176e+34,3.661230954154064e+38,1.82636749950038e+45,1.3304786455783738e+32,2.859225273971525e+29,6.047628815789644e+36,1.4876907712664906e+38
8.5295862134347e+37,2.753191264265951e+39,7.96388163577418e+35,7.813488946959403e+38,2.9326041377309944e+39,1.130653669394633e+35,5.491846425480357e+38,4.695906269360011e+44,1.8654391281166072e+31,3.7108870898941955e+44,1.7749399775759904e+32,1.0861578308865037e+38
2.485561082863259e+33,2.3601167712613955e+39,7.201949573413715e+35,8.409062934444958e+36,1.986794086038189e+39,2.5772484848416062e+39,7.322461896806652e+38,3.1354840354700488e+44,6.617119080829749e+34,1.8554435538182886e+44,7.554615998066351e+29,2.4104768562395995e+37
8.71283055648817e+36,1.9670422782568403e+39,6.440017511053249e+35,1.9000641372838547e+39,2.2318297636924803e+43,1.3651083312908246e+34,9.153077368132943e+38,1.641406694649271e+34,1.2573208140872771e+33,1.7742381537969545e+36,4.0240215886387535e+28,2.3948180332490294e+37
1.1642630977902225e+34,1.573967785252285e+39,5.678085448692782e+35,8.055261721319614e+37,8.212007279875641e+39,7.009201331884877e+35,1.0983692839459235e+39,2.31735799590426e+35,1.0039283166807884e+31,2.18519262214606e+46,6.179111154280214e+27,3.9721524777462097e+37
1.4014830539855017e+32,1.1808932922477295e+39,4.916153386332317e+35,1.8520813358800503e+36,8.394791364247631e+39,1.4752542788013443e+44,1.2814308310785531e+39,2.2346798565834872e+37,5.614084565851462e+28,4.3703852441146963e+46,1.4340999451035574e+31,2.541834349850681e+37
2.425133838901025e+33,7.87818799243174e+38,4.15422132397185e+35,1.4826390081945788e+43,5.778531114428887e+39,5.25561142861498e+34,1.464492378211182e+39,1.922502224563877e+40,1.2215378255969472e+33,6.555577866083331e+46,5.540029362773483e+32,1.815564249350676e+37
1.9273705520948128e+33,3.9474430623861916e+38,3.392289261611384e+35,8.483303708761146e+41,1.7621751265329384e+40,4.560072553846813e+32,1.6475539253438115e+39,3.8427697692711714e+40,6.726258219872429e+25,8.740770488051966e+46,2.176606419243506e+31,1.4474148888647545e+37
2.2320345048639408e+31,1.669813234063488e+36,2.630357199250917e+35,9.249598703743308e+35,4.329721186173314e+40,8.232563995536848e+33,1.8306154724764402e+39,3.249001049250432e+39,2.013738807085436e+30,1.0925963110020606e+47,1.5823718208986388e+31,1.8863844518569616e+37
2.093126249198809e+31,1.61986818104318e+36,1.868425136890452e+35,3.3289963868946224e+34,3.1444747206486382e+47,1.089635692534277e+32,2.01367701960907e+39,6.700794233605638e+39,1.1566390271798344e+33,1.3111155731989242e+47,1.5294297923267717e+28,1.4722656231600537e+37
1.1092057141982278e+32,1.569923128022872e+36,1.106493074529986e+35,6.4557569019135465e+44,1.7704420917466668e+43,9.61370861770634e+32,1.678538909353674e+39,7.158415380545488e+38,4.417048499975375e+25,1.5296348353957878e+47,3.282311431859056e+35,2.0724320327136024e+37
2.393000880550508e+31,1.519978075002564e+36,3.4456101216952045e+34,6.854781409940784e+34,3.109329198996081e+40,3.593940563117774e+31,1.3434007990982803e+39,1.1807677145090028e+38,7.842015379906327e+28,1.7481540975926514e+47,1.4162667228836972e+28,2.9555534939288813e+37
2.67552260771216e+38,1.470033021982256e+36,1.90525769685538e+36,3.664960212085741e+44,2.451485189461268e+40,2.090180179304764e+36,1.0082626888428864e+39,4.4123135729727946e+38,9.971656354975498e+30,1.966673359789515e+47,8.010624432972695e+26,6.658081279461846e+37
5.853850895116571e+36,1.420087968961948e+36,3.776059292493808e+36,1.946440802320076e+37,1.1079033416383122e+40,2.234388372262278e+35,6.73124578587492e+38,1.365551422252438e+34,1.1082273550672682e+27,2.185192621986378e+47,3.413577793806451e+26,6.597851061915032e+37
4.31348557183596e+31,1.37014291594164e+36,5.646860888132235e+36,9.889256583486985e+34,8.722519108308239e+39,7.484268605715875e+32,3.3798646833209728e+38,9.45186660335597e+38,8.246357785925219e+25,2.403711884183242e+47,9.551557400712468e+26,5.345055749627126e+37
6.880731544952622e+31,1.320197862921332e+36,7.517662483770662e+36,1.9507572244850827e+40,5.917068932775528e+39,1.992431554178885e+33,2.848358076702979e+36,7.442301803643747e+40,8.074813082646736e+26,2.3597449853090097e+43,1.1273256812364258e+27,8.923033341805154e+37
2.26907837042171e+32,1.2702528099010242e+36,9.38846407940909e+36,2.885972471532004e+33,6.985954146456035e+39,3.0562055390638395e+34,2.7575154468242115e+37,6.988512732680593e+38,2.6713892162727136e+31,1.1847167872770797e+43,1.5143252027638593e+34,8.426214830545188e+37
1.5367129494326365e+35,1.2203077568807162e+36,1.125926567504752e+37,1.7322612654217043e+36,3.891068121343551e+39,2.126042618102319e+35,2.3850351199539667e+35,1.7649608730762672e+40,1.1518121226327889e+32,9.688589245149557e+40,5.933477247139632e+34,7.900190177620521e+37
8.545782184580654e+32,1.1703627038604082e+36,1.3130067270685946e+37,6.316606819827898e+37,7.156858816163696e+45,8.234181761899521e+35,5.8038101991617005e+38,3.55150597375101e+40,2.2500056404672288e+36,7.31798906144361e+40,3.396271317099271e+32,8.473561493697243e+37
2.3001032114255005e+35,1.1204176508401004e+36,1.5000868866324374e+37,1.3403199424389351e+39,6.308142059540309e+45,3.526280303223006e+36,6.3725147609012215e+38,6.742056811624601e+39,1.806194432629724e+32,4.947388877737668e+40,1.589009206819136e+32,9.313731234329116e+37
8.643004381802281e+33,1.0704725978197925e+36,1.6871670461962803e+37,1.5045501025420176e+34,6.033846002500534e+39,1.2168047630648704e+36,3.1917826900187635e+38,3.730185514619152e+38,4.88597727234387e+34,2.576788694031719e+40,3.2483160482236334e+29,5.076511818498208e+37
4.6818085814570575e+36,1.0205275447994843e+36,4.918967780955064e+35,8.255350795690675e+29,5.735313792516803e+39,3.373503514934533e+45,1.1050619136305422e+36,4.071034029253446e+37,1.8050429302726657e+33,2.061885103257728e+39,1.0641053088861928e+36,2.278856131890949e+37
2.72740194725403e+39,9.705824917791764e+35,7.552199829756927e+35,6.228136927177057e+30,4.858962084674939e+39,4.5180314453794624e+36,5.686087896292678e+39,8.677638053124698e+39,1.628165120826562e+28,1.0309425518360924e+39,7.20544344171244e+29,2.562948704950117e+37
1.387374824671583e+36,9.206374387588684e+35,1.0185431878558788e+36,1.2581561818523023e+32,5.497387239193047e+39,6.998404849778612e+36,4.264566123237863e+39,1.3274630501510487e+39,2.2381200914724e+29,4.144564944642042e+29,1.1615465919905396e+33,3.9536030665561714e+37
1.415036431099638e+39,8.706923857385605e+35,2.6791588494500597e+39,2.877707473577311e+40,3.860551110644016e+39,8.052284567120287e+36,2.8430443501830484e+39,9.284979290468044e+39,2.999871260458037e+29,1.197630574976472e+36,4.330144931006401e+30,2.040148064696228e+39
1.2152874786327589e+38,8.207473327182525e+35,5.3867145592008644e+42,4.74428511743538e+36,6.78582431250187e+39,3.1711382826259347e+46,1.4215225771282335e+39,2.8945476121126933e+40,1.1406667586184264e+30,3.322052831439658e+45,1.2043088101768978e+31,2.0272846677773008e+37
2.07204508506714e+32,7.708022796979445e+35,8.147637558956173e+43,2.331353098289246e+33,6.902152113888818e+39,1.907025937659527e+38,8.040734188753126e+32,1.1468933546547138e+38,2.765909962092833e+28,6.644105661681685e+45,3.415551937468674e+36,2.146552399712388e+37
3.058838991718981e+32,7.208572266776366e+35,1.7042983306276002e+40,3.797192178217083e+38,5.330496259749992e+40,1.3481723847718631e+39,1.0049278240696482e+36,9.85863820237754e+39,1.3722197525744525e+29,9.966158491923712e+45,4.200724685024894e+31,4.792769680026395e+37
3.8297430242966044e+38,6.709121736573286e+35,1.1417201181571224e+40,1.823840126572059e+39,5.820419706691953e+41,1.0911630321445806e+37,2.009051574720421e+36,2.6721805229925056e+38,8.780896229209511e+30,1.328821132216574e+46,7.59412160536857e+28,1.828436198159956e+37
2.183214961077209e+36,6.209671206370206e+35,5.791419056866443e+39,1.424031433769243e+34,1.0489205163104343e+39,2.009301541256838e+32,1.7413394112097068e+37,4.617695639789652e+41,9.715784876716529e+29,6.2047129415706446e+44,2.2137939390804312e+35,2.5181121129656625e+37
1.1341768795480914e+33,5.710220676167127e+35,1.6563693216166462e+38,1.3163464807729173e+42,1.8387964033815823e+46,2.1509221234097416e+31,2.061161128879127e+41,1.9488459169673137e+42,1.9651220959479247e+32,2.926599000485399e+39,1.2397976832295308e+33,5.238510877953422e+37
7.568620579748715e+35,5.210770145964047e+35,8.832725770131041e+37,5.598597013754773e+38,7.959504556381268e+39,2.587059228269584e+33,9.382483060885908e+36,1.5458705613588285e+41,1.0209722222306183e+28,1.472850513649619e+39,2.0173370985253727e+38,4.4447544799354935e+37
4.338679302682632e+29,4.711319615760967e+35,7.411495471676337e+37,3.7569974411586093e+40,5.530035473211512e+37,5.515359575206048e+38,1.952575286710548e+38,2.0093166183406573e+40,6.7249253428614535e+28,1.9102026813838548e+37,5.9614368608128185e+40,3.4470271328788846e+37
1.0191019184204008e+30,4.211869085557888e+35,5.990265173221633e+37,5.411194253749646e+36,5.2528666648588495e+37,1.348262220089267e+41,3.811325742812237e+38,6.674643121879503e+35,5.634005077507652e+26,1.2542061411151049e+37,4.199603808044038e+35,3.732290242523645e+37
8.003094267548491e+28,3.712418555354808e+35,4.569034874766929e+37,2.351633910851081e+32,9.40470265011312e+39,4.192938402893293e+45,4.950881836162573e+39,1.0284831282585888e+38,2.560062303413572e+28,5.982096008463548e+36,1.4343878973712982e+40,4.041500689824452e+37
1.2734261491350056e+32,3.2129680251517284e+35,3.1478045763122253e+37,4.82995549991786e+32,1.9761016048753127e+38,1.516128914499394e+35,9.520631098043922e+39,3.621234601027697e+41,2.187976246660919e+28,1.188124416144778e+32,1.2121906359185063e+38,4.161960657630164e+37
1.7096824536450033e+33,2.7135174949486488e+35,1.7265742778575214e+37,6.858214518974317e+31,2.0314984281111645e+38,8.067379988651724e+33,1.409038035992527e+40,2.6442421900412567e+32,1.4665551050515328e+27,1.5906285629487138e+35,3.7773455132050026e+43,3.784556181505074e+37
6.482002308124927e+28,2.214066964745569e+35,3.053439794028178e+36,1.303018577420679e+32,1.324697223450179e+41,1.2380052357466267e+34,1.0567785274545972e+40,3.147361767655038e+31,1.1629807973293646e+27,1.6983964050763729e+38,5.4605860427496015e+38,7.995736752750337e+37
3.566358645124416e+29,1.7146164345424895e+35,2.537842709372934e+36,2.3050160617632896e+37,1.2682191897258239e+38,5.332194286704498e+36,7.045190189166671e+39,1.4910065549154591e+32,1.4727327812751902e+27,3.395202181589797e+38,1.613719223598842e+38,8.589341267162966e+37
8.249603833036826e+30,1.2151659043394102e+35,2.290445931990498e+36,6.210521606190527e+32,1.781606667735909e+42,9.745369770580124e+36,3.522595103787369e+39,1.907174923118506e+33,2.655690918872388e+26,2.5364850784375025e+42,4.14583063490351e+34,9.07469962240473e+37
4.343398407473628e+31,1.1881622610213673e+35,2.043049154608062e+36,2.7472676895468456e+31,6.3851336881672615e+38,1.290320341974153e+37,1.8408068845198303e+31,6.287379107971451e+36,3.055557141656882e+27,5.072630636656846e+42,7.032638637881515e+34,5.062380454894204e+37
2.095610721268095e+29,1.1611586177033238e+35,1.795652377225626e+36,2.670034398104655e+40,4.4067853346843086e+39,1.8347255247230503e+37,1.5528261692140216e+32,2.112861165210012e+33,6.937817701521192e+37,9.265451570291195e+38,1.0060349779485886e+27,4.387622834862607e+37
3.9102596182667605e+29,1.1341549743852807e+35,1.54825559984319e+36,1.02083224924703e+41,4.330820881455862e+39,5.408249200657023e+37,2.92157164997606e+32,4.942110378331447e+34,1.555566603191197e+29,7.428570232634102e+38,3.098452289128069e+30,3.491223875930813e+37
6.458904595201281e+27,1.1071513310672376e+35,1.3008588224607542e+36,6.4924092855061535e+40,4.216712365249129e+39,1.3908199496966037e+36,4.290317130738098e+32,2.3516320468106064e+36,1.2438151209483318e+26,5.59168889497701e+38,6.195898543278189e+30,6.421991008892624e+37
2.205390444952661e+27,1.0801476877491944e+35,1.0534620450783182e+36,1.6761063996439738e+32,1.1160557116692857e+43,2.2058134858780808e+36,5.659062611500137e+32,1.871147686694288e+33,2.058728589029865e+33,3.754807557319917e+38,4.653576375726176e+32,3.945037643201021e+37
2.821692713030728e+27,1.0531440444311513e+35,8.060652676958823e+35,5.046116974798448e+36,1.3311314301277163e+39,3.286265572439367e+46,7.027808092262176e+32,5.247327495480453e+35,1.9794115791094448e+34,1.9179262196628256e+38,9.076509968362978e+32,1.924899630836159e+37
