Rise-Time_envelope_Central_moment_3rd_order,Rise-Time_envelope_Central_moment_3rd_order.1,Rise-Time_envelope_Central_moment_3rd_order.2,Rise-Time_envelope_Central_moment_3rd_order.3,Rise-Time_envelope_Central_moment_3rd_order.4,Rise-Time_envelope_Central_moment_3rd_order.5,Rise-Time_envelope_Central_moment_3rd_order.6,Rise-Time_envelope_Central_moment_3rd_order.7,Rise-Time_envelope_Central_moment_3rd_order.8,Rise-Time_envelope_Central_moment_3rd_order.9,Rise-Time_envelope_Central_moment_3rd_order.10,Rise-Time_envelope_Central_moment_3rd_order
45415460.7847085,1923330.321865085,52956033.56263816,6518942.052779878,2448577.6280557327,18187302.602669,335060227.97852075,1902411.250527208,611633.4938701633,27961095.59043753,187138.945878761,2927351732.688551
4132.215562527842,180847.8240376327,26465145.029392447,38283.92672450727,-566.7540991477247,2381.4905825925657,3355.3713001031315,4098911.122205953,39522.97012641088,-1406.943209770295,-547.3916949060958,269857.4574230856
36578.75662287421,-5.29524341041921e-16,-25743.50385327057,13274.1855394694,0.0,6197.278019918114,1999.906179111177,3290.0337232394104,3423.0355339005764,-1021.8356480972568,0.0,6702.277278799255
254456.8726387333,7.530582783512228e-14,-12871.751926635266,1954.9782429965908,2383.616577753113,10013.065457243662,926.9683571387412,181529.8423152116,340.7771154841893,-636.7280864242186,2.000888343900441e-11,115878.97374640648
62130.463765890425,1.5114118001128648e-13,3.637978807091713e-11,-2540.869887761733,-8.615330671091217e-14,5006.532728621831,734.4227183807776,1546.1018411219816,-8625.832943928452,-251.6205247511805,0.0,107263.5475961294
112529.87318637322,2.2697653218745082e-13,0.0,80.94524570197565,-74542.46281740112,-9.059419880941277e-14,541.877079622814,165.08176213558602,0.0,-178842.5689662136,8764270.639263855,293531.49141805625
34762.44013650227,3.0281188436361493e-13,30572.4419451224,-4551.650545550594,-149084.92563480223,0.0,349.33144086485044,3089.546784981635,-2183.9132440992803,-167985.3495017523,17528541.27852771,175600.70476450957
37840.85486558303,3.78647236539779e-13,61144.8838902448,-3140.8064679641075,-223627.38845220333,-7849.333303347111,0.0,3044.450058610006,-1091.9566220496347,-157128.13003729098,0.0,126590.2622242006
-1358.268064349336,4.544825887159433e-13,91717.3258353672,-1678.8454767170806,-111813.69422610168,-8465.330746905704,0.0,2484.06455306287,1.091393642127514e-11,-146270.91057282966,98111.08287551884,289673.71324559994
110881.27342939464,5.303179408921074e-13,0.0,-3358.13212582852,0.0,-9081.328190464295,0.0,3103.331893055308,-1.0231815394945445e-12,-135413.69110836834,42593.78078865702,279576.2340789782
-3673.315196944959,6.061532930682715e-13,632.3743450222883,107876.86038312867,61408.02415660815,-11462.881154257042,0.0,6203.882784080044,7531.311990038544,-124556.47164390702,108871.11617446457,184656.67687026103
