Energy_envelope_Peak,Energy_envelope_Peak.1,Energy_envelope_Peak.2,Energy_envelope_Peak.3,Energy_envelope_Peak.4,Energy_envelope_Peak.5,Energy_envelope_Peak.6,Energy_envelope_Peak.7,Energy_envelope_Peak.8,Energy_envelope_Peak.9,Energy_envelope_Peak.10,Energy_envelope_Peak
1382659.106279108,7136462.635988784,3271926.01117846,10238404.633198166,13931521.145991994,11602251.891356666,5116961.932258341,56821121.270748526,2435304.8036723933,38983410.0817842,338464.1707513667,6891113.662791819
4939201.77155601,6573149.970346218,3210072.4472347875,12670979.687229378,64752318.306112245,3715555.358277206,6130045.497824069,3836849.258874392,1834494.17992128,11541619.571085466,172980.44972991978,7550841.159122412
2201047.25639994,6009837.304703651,3148218.8832911155,8817501.257440906,15926155.075880596,3397096.590494782,7143129.063389797,2711345.6343700783,1803863.2306862688,26583396.056867804,139844.47932580474,7381036.917032885
1317920.04351047,5446524.639061085,3086365.319347443,4513240.36802016,16942483.253656328,74146810.07712364,8156212.628955525,4467604.971221765,1425402.2310899056,41625172.54265014,566501.9178587901,6954744.814742681
1586289.7163634298,4883211.973418519,3024511.755403771,50505596.478817485,16351779.116793608,3376886.29807478,9169296.194521252,10145899.95073869,2016811.5316797865,56666949.02843248,1053594.0451916996,6451016.870625107
1820769.7649029435,4319899.307775952,2962658.191460099,32404626.69872806,17561342.40518522,2126540.216577032,10182379.760086982,15824194.93025562,1668607.27482809,71708725.51421481,403639.4244861932,5752376.704530722
1090794.2878886703,3756586.642133386,2900804.627516427,3278706.654040529,22019182.30441812,2590766.4801006764,11195463.32565271,11732920.309534812,1619151.5431895752,86750501.99999715,374205.0392524252,6788631.276857888
1160257.1605901911,3716759.8553696927,2838951.063572755,2099645.36766578,305011934.63657135,1583551.30766848,12208546.891218437,13397300.896130394,1886364.546230426,101792278.4857795,148217.1498730723,5722242.549644327
1312082.175129505,3676933.068606,2777097.4996290826,89900216.53081277,68839027.51217313,1650970.009519812,10570073.366530308,7487395.263534923,1630832.2923549174,116834054.97156183,1763796.7932694214,6864815.337236995
1112222.9010111107,3637106.281842306,2715243.9356854106,2237099.7276508566,21390809.11195625,1112264.0225682743,8931599.841842176,5774598.2102875775,1535882.852377182,131875831.45734416,151388.89671172824,5498020.520264911
7965487.854042242,3597279.495078613,2969783.054139492,85900121.04485738,21370084.32040305,3977634.629182503,7293126.317154045,7092324.566497391,1820988.0656677005,146917607.9431265,139244.33354764627,6158627.294866939
4587044.868030207,3557452.7083149203,3224322.1725935726,5563325.664648643,16980666.286380664,2870464.5881419783,5654652.792465915,5673285.607826024,1573724.645601384,161959384.42890882,181426.80584908248,7007776.994436122
1068502.5939267264,3517625.921551228,3478861.291047653,2314515.0649538683,16942399.202944357,1183616.407110757,4016179.2677777847,13377196.075513843,1545982.4770330277,177001160.91469118,228905.7726023732,6313811.082547209
1038600.1467249094,3477799.1347875344,3733400.409501734,17305629.724302914,16139090.110757746,1306133.984324593,2377705.7430896536,19325459.603076696,1549781.8790935096,51693238.19036457,303696.3039323549,6183948.751495101
1185298.1147542512,3437972.348023841,3987939.527955815,1287937.8529314054,15088287.822175097,1857067.714703434,4956008.236341291,10344267.33841853,1551467.0886633869,35572158.66955975,1403552.2832207717,7481675.743060483
2756702.102735971,3398145.561260148,4242478.646409896,3702008.997446624,14557451.37389516,2415910.886614356,2928094.882109428,17427066.498920463,1185236.6643733033,19451079.14875492,1703309.5028038989,7600013.348259558
1306367.492943959,3358318.774496455,4497017.764863977,6059846.512640383,163000000.19242448,3390964.253482959,6539120.154060672,13378367.387624158,3038574.3297834387,17043396.82854196,973952.0011329526,6355706.751592495
2597851.8417517142,3318491.987732762,4751556.883318058,8402953.740325527,161134269.861893,4754596.294548813,6966375.546811563,12801723.587740274,1631077.2728420235,14635714.508329,824116.4784185626,6523995.595442076
1877095.5701987927,3278665.200969069,5006096.001772139,1300106.56483301,14827050.15394252,2546876.0385556254,7350426.628568793,10870926.238385497,1904797.5623798245,12228032.188116042,648478.5120116172,6008257.726872984
4150087.055976628,3238838.414205376,3187119.138905978,279956.8007846435,16188758.41358696,124013206.4518046,7734477.710326022,10808813.44611729,2050887.0080873384,9820349.867903082,2690997.488509749,5255315.523632723
9683907.634593368,3199011.627441683,3266289.5543709407,483593.70510526735,15088019.394088935,4044895.7348244246,11646050.91127742,11238655.382474707,1429449.6513372,8067619.956612058,834820.0474155676,6129245.957241802
3676224.8578785374,3159184.8406779896,3345459.969835904,776493.4735371491,16032947.172102751,3945582.982549601,8990134.50779327,10297734.727862438,1408840.5544210684,6314890.045321033,1631305.5495635737,6927760.505313453
10110941.508255886,3119358.0539142964,8090139.776738796,16204828.019793978,15315955.526657969,3829302.3822687054,6334218.104309119,14054141.912817787,1445037.6949555688,9103359.678712107,1447578.2847465011,12987493.057470176
6496769.260375788,3079531.2671506032,26562522.07085433,3644448.655286628,16835246.82891013,149000113.29111546,3678301.700824969,19281433.434133213,1408051.7733855487,36837155.21210627,1749743.6873884464,6055095.018727478
1168292.0591053932,3039704.4803869105,43500042.403283685,1226259.9641893958,17345238.5729711,7671458.324287906,1022385.297340818,21209157.60262898,1390878.990981379,64570950.74550044,3641793.647651901,5927271.387110136
1226415.1405471065,2999877.6936232173,10270123.508572323,7202589.562582828,27972726.417819485,11286281.692727864,2072439.2186432304,22038828.237909224,1479403.1991134002,92304746.2788946,1928991.1428781736,6902911.3828007
7952119.69511552,2960050.906859524,8493655.35024054,9191949.045541257,37297067.75135458,5584393.362539681,3122493.139945642,15289779.470837576,1311355.7291013992,120038541.81228876,1969115.344918556,6375043.928179484
3936759.495485111,2920224.120095832,6717187.191908756,1811677.8929866937,13006949.013233446,1737144.1960824805,3950140.640448038,27310533.9363886,1523002.2256966992,75310973.7266389,4083843.306383013,6773837.002650622
1376769.428909462,2880397.333332138,4940719.033576974,21236997.54022631,180468123.553669,1414520.2634608797,19910733.920660555,28491271.109265067,1767035.5951923674,20214388.94187644,4331307.801946372,8076127.438497375
2842432.8379735453,2840570.546568445,3992087.116942913,6237192.562017145,19232136.835306983,1481284.7819683258,5805507.1555927135,32961654.018409982,1273704.5853120992,17500002.401508424,9396537.519342974,7862391.619256236
631085.5584099337,2800743.759804752,3802041.2622012254,11906362.688630912,7611872.6893583825,6699600.711831443,6525738.849168281,22258618.043200795,1247204.4421949352,14785615.861140406,17300178.993534163,7503005.795060003
688874.8540034957,2760916.973041059,3611995.4074595375,2990304.811017,7624461.3275768785,16118302.301053677,7245970.542743849,8809283.757657139,1133012.8183534355,14367938.311732031,4040229.171416107,7135903.723217782
592822.6695699459,2721090.186277366,3421949.552717851,724576.5415651709,19923309.965247083,78402208.56061561,9250299.87780048,11420294.903795788,1171857.7945981456,13950260.76232366,12678102.590597663,6547169.335009332
1033969.0857629734,2681263.3995136726,3231903.697976164,946900.0992044936,8852662.400634414,3102652.1182879573,11254629.212857112,28769532.90834164,1163415.4906218844,11090172.059005668,12314299.83144437,7869903.480031927
1417211.9046084613,2641436.61274998,3041857.8432344766,706476.6893684408,9546720.557567451,2250019.1276922547,13258958.547913743,5961571.873306023,1047699.8036811344,10278020.74119062,39803999.76068817,6703425.797150804
526696.5069336016,2601609.8259862866,2851811.988492789,770476.1465091914,27910954.91575701,1942175.3736954727,11186402.08379921,5564028.754253623,995544.5588171368,9803660.744321415,12048098.64056204,8661090.558592156
547032.3775603318,2561783.0392225934,2807010.021026356,4842932.990309075,8163405.009282971,3606358.365577986,9113845.619684676,5488076.5484368745,934925.6280473232,9329300.747452212,12495594.124068065,7951809.418725197
739270.9991450661,2521956.2524589,2740669.4344976926,1180796.1067330658,40943063.12530686,4662511.187120817,7041289.155570142,5780452.264246328,850878.0217985905,21897897.50689865,5829809.553753764,8446542.480883123
