Counts_envelope_Clearance_factor,Counts_envelope_Clearance_factor.1,Counts_envelope_Clearance_factor.2,Counts_envelope_Clearance_factor.3,Counts_envelope_Clearance_factor.4,Counts_envelope_Clearance_factor.5,Counts_envelope_Clearance_factor.6,Counts_envelope_Clearance_factor.7,Counts_envelope_Clearance_factor.8,Counts_envelope_Clearance_factor.9,Counts_envelope_Clearance_factor.10,Counts_envelope_Clearance_factor
8.526253796674832,3.931382696696492,6.312414072366717,6.316900477597022,4.905261914043581,4.7960440362760055,20.822166257981475,6.091557080952391,2.163508216213056,2.021260200233312,1.7140090557989087,25.878628513810508
2.6662785310638903,1.5976082620307352,4.149682224447754,2.565451870245856,1.106360526807206,1.4614284612170338,2.3310631124861385,2.1790482525241903,1.3904626453566449,1.169517317553831,1.6448631206381632,2.6595180138117995
2.069167563629435,1.5168299629731847,1.986950376528792,4.456577254304435,1.1171451142468694,1.4641393194559955,1.527558656209488,2.070610958223761,1.2429044979711248,1.242050578459449,1.1700167818576648,1.7860911618950417
2.5816321673568967,1.4833624690062246,1.5463664675160316,1.4422355057383158,1.1420712290925443,1.4668501776949578,1.4676899499113525,4.241156849165806,1.2897956068329968,1.3145838393650675,1.0240405464056543,2.427542450721038
1.9069538417299523,1.4498949750392642,1.1057825585032717,1.6486406536984572,1.4766465724097635,1.333668076447218,1.4295435483147592,1.792063994944587,1.5395636824550336,1.3871171002706857,1.021095630480981,1.5134360191235152
1.756664102535487,1.416427481072304,1.268471729184073,1.447192411931722,1.606420097368077,1.200485975199478,1.391397146718166,1.2265710652242776,1.4229615443282977,1.2987651929056694,1.4764913117216427,1.390497485102234
1.9640201043414487,1.382959987105344,1.246247836520021,1.993624793535824,1.7361936223263903,1.3331765439885046,1.3532507451215727,1.6080246377856753,1.4092104387060036,1.290919985270111,1.9318869929623044,1.5646447140905533
2.287919248119513,1.3494924931383836,1.224023943855969,1.5396394013483528,1.865967147284704,1.899641957067786,1.146870907363203,2.4032954144057808,1.2850570560449683,1.2830747776345526,1.006223684498338,1.5089393214806446
1.6620046985585752,1.3160249991714237,1.201800051191917,1.93072943223922,1.481616651265118,1.788804736016401,1.2877092616301602,1.503780142526464,1.1609036733839329,1.2752295699989942,2.0938187453276176,1.783074933556031
1.910172026919524,1.282557505204463,1.4688697258231975,1.6039371953241073,1.097266155245532,1.677967514965016,1.428547615897117,1.4711179200561089,1.1928706348929896,1.267384362363436,1.823525535428779,1.915448680656976
1.733484502829813,1.249090011237503,1.3354072706286813,2.726126264533685,1.4446035297794113,3.02238873878091,1.5693859701640749,2.0097281401044573,3.194443774975486,1.2595391547278776,1.865789187680636,1.726639399797817
1.885651403484101,1.2156225172705428,1.2019448154341648,2.042201475453969,2.242021092161282,1.9289637947762448,1.7102243244310318,2.3280735895421163,1.2133132070402466,1.2516939470923192,1.664865114286983,2.163992663640088
1.808663073242808,1.1821550233035825,1.3146112445433755,2.070408584881948,1.1977283554219793,4.658909972606611,2.352425431216312,1.7093435626305864,1.3606056342231336,1.2438487394567608,1.5675486836976449,2.0927314804795367
1.5789948531977855,1.1486875293366223,1.1150170109128466,2.094570242378236,1.271278824811215,1.902492646107804,2.1680314211197427,2.0379491287458302,1.901957591083812,1.2360035318212024,1.692934671603891,2.3033976326887524
1.895161598389225,1.1152200353696622,1.4122991033883567,1.104233625434795,1.2103532339356606,2.081082812890476,1.9836374110231736,1.2878447779017788,1.5757340503035604,1.228158324185644,1.950688341474544,2.035728037532113
2.309425033870828,1.1259069786138738,1.3730499049059786,2.5674805177323394,1.149427643060106,1.0332579834199025,1.7992434009266045,2.354280233043142,1.223502165744901,1.2203131165500856,3.306267506689621,2.507838882463059
1.8359504897740928,1.1365939218580856,1.3338007064236006,2.046463268702695,1.0885020521845516,1.478896966570194,1.614849390830035,1.5373633824334785,1.350440796443204,1.2124679089145272,2.4476092700118626,2.528489404282628
1.9654512625637244,1.1472808651022972,1.2945515079412224,2.169711240054178,1.0772874999413595,1.4691288218200174,1.4304553807334657,1.3778072932464556,1.477379427141507,1.204622701278969,2.322865718331971,2.3396394787411
2.307005233362865,1.157967808346509,1.2553023094588442,1.0340629034479685,1.066072947698168,1.5316497022154976,1.3477688496167084,1.323227374619148,1.342409072638501,1.1967774936434106,2.6203358983074163,2.4111001128136453
2.144811322338892,1.1686547515907206,1.216053110976466,1.730227429523263,1.0548583954549762,1.5941705826109775,1.265082318499951,1.5424010532818384,1.6467681536284169,1.1889322860078522,1.651032614464607,2.493310198545361
