Amplitude_envelope_Crest_factor,Amplitude_envelope_Crest_factor.1,Amplitude_envelope_Crest_factor.2,Amplitude_envelope_Crest_factor.3,Amplitude_envelope_Crest_factor.4,Amplitude_envelope_Crest_factor.5,Amplitude_envelope_Crest_factor.6,Amplitude_envelope_Crest_factor.7,Amplitude_envelope_Crest_factor.8,Amplitude_envelope_Crest_factor.9,Amplitude_envelope_Crest_factor.10,Amplitude_envelope_Crest_factor
1.3317033078311808,1.3383887153009228,1.3197725112347662,1.2959636245874948,1.30879249914956,1.2618416891753792,1.2968566178833876,1.3227679808844517,1.298795582071394,1.2291938609943982,1.1302589320808354,1.3527489879964545
1.375644105113845,1.1384603006388034,1.2556916367908024,1.2432214123638134,1.0711009885137055,1.1275384082898052,1.1969132757894034,1.2988952395475557,1.1182830289873766,1.043071584912972,1.2032479939063363,1.308861940811249
1.255905426134557,1.0973011762168536,1.1916107623468384,1.308424480466795,1.08779830270273,1.152523557497823,1.0966223810477165,1.1431702858910404,1.0680477682927334,1.04846499846271,1.0323093819978,1.227081082111823
1.2222186842489464,1.0944219155787276,1.1533251610742907,1.093355385305742,1.0807911073439815,1.177508706705841,1.1454012207416742,1.2546554745723797,1.116821521536984,1.053858412012448,1.0239521901730306,1.264088287929235
1.1621918652212455,1.0915426549406015,1.115039559801743,1.1242921484836492,1.0999528968915036,1.1712173458369683,1.1265959134719536,1.25903769251562,1.111089298052185,1.059251825562186,1.005619756604967,1.0918273230537825
1.1381076979601157,1.0886633943024755,1.018584313813025,1.0430364372374177,1.1233428891748778,1.1649259849680955,1.1077906062022331,1.0276867022305562,1.1574020750456997,1.0492890306386584,1.1072651323533655,1.0998690284139672
1.132323974867661,1.0857841336643494,1.0637148548782949,1.1543507508285176,1.1467328814582525,1.0371913129259451,1.0889852989325126,1.2148203979109622,1.1228800049359204,1.0477850657398615,1.208910508101764,1.0595419655513851
1.1458851242107408,1.0829048730262234,1.108845395943565,1.1650401014758562,1.1701228737416265,1.2215391615960418,1.019452149353542,1.310699102631991,1.1117209655875766,1.0462811008410646,1.0108681017342365,1.0545205147768513
1.1233974943068057,1.0800256123880976,1.1539759370088345,1.240775844134068,1.1105591826111572,1.1535511539432697,1.0525582888333926,1.103615709251129,1.1005619262392328,1.0447771359422675,1.1350853018185538,1.067407388912378
1.1307260260620418,1.0771463517499715,1.0245441961224635,1.165989811057044,1.0509954914806878,1.0855631462904975,1.085664428313243,1.102008586862033,1.000354728639927,1.0432731710434708,1.1787593873745226,1.0716957951910924
1.1456826327674816,1.0742670911118457,1.0692568818787809,1.2446323291294903,1.0247216900608471,1.315425432056031,1.1187705677930937,1.2352067356623986,1.296477788568217,1.041769206144674,1.287259464095178,1.085195706366497
1.1280386536914908,1.0713878304737194,1.1139695676350978,1.1816251431713456,1.1509321817434826,1.0524569361892786,1.1518767072729443,1.2768823043906974,1.0576342721116214,1.040265241245877,1.0968723963810985,1.1069274755871583
1.260508931952196,1.0685085698355934,1.0119901557693176,1.089748855013708,1.0367774780098284,1.176335134155386,1.2138544008840035,1.2351558512852077,1.1080820649906429,1.0387612763470802,1.092370658833231,1.1134280061970872
1.1888480358435976,1.0656293091974671,1.0295397626248048,1.105981456767854,1.057848536264394,1.111426471740912,1.1925328954380174,1.233808746509519,1.2165507722881308,1.0372573114482833,1.0819212247017964,1.097942009140939
1.2488101238059572,1.0627500485593413,1.0832495183665098,1.0574138334121683,1.0405687869646492,1.077583102397632,1.1712113899920311,1.1060341911174778,1.1813017677781592,1.0357533465494864,1.1578696322919475,1.1494060295609547
1.274854678028825,1.057593917324232,1.0818160355891386,1.2064033241676364,1.0232890376649044,1.002642654769193,1.149889884546045,1.340077786725137,1.0778811116063125,1.0342493816506897,1.326240521422791,1.1103385908366254
1.1067534756782178,1.0524377860891223,1.0803825528117676,1.247827354728522,1.0060092883651597,1.1219162351327956,1.1285683791000587,1.1411533349426914,1.1049699801118638,1.0327454167518926,1.146703504173787,1.12451223833614
1.1991198037721822,1.0472816548540131,1.0789490700343964,1.1918123022795586,1.0066870643102317,1.1001699930082731,1.1072468736540726,1.1338374283796793,1.1320588486174148,1.0312414518530957,1.1997573547545837,1.1004421476117856
1.2748190639215096,1.0421255236189038,1.0775155872570257,1.0056776351385486,1.007364840255303,1.1358495986246484,1.131007577894606,1.1036225449700243,1.0477342916307963,1.0297374869542988,1.2546640958725102,1.103099137475577
1.1802872937146958,1.0369693923837944,1.0760821044796542,1.099144763232258,1.0080426162003748,1.1715292042410237,1.1547682821351395,1.093879192239093,1.2117476977242765,1.028233522055502,1.1545593627440662,1.134620345334136
1.1461102164262702,1.0318132611486852,1.0746486217022833,1.0839460952808453,1.0210802065683944,1.0233848922254676,1.2761585682445575,1.123320001654234,1.0088572428107652,1.026729557156705,1.079301023877512,1.1288749227120498
1.120277498589257,1.0266571299135758,1.073215138924912,1.2077093555231233,1.00538869888118,1.0426327589344035,1.2008197278058033,1.1981712630536374,1.1923343156660282,1.0575505347169094,1.066291288658901,1.099515545405594
1.1116756620123946,1.0215009986784664,1.0666009995133987,1.3144678489576531,1.016298668436323,1.0188505394784428,1.1254808873670488,1.1857315071019214,1.1357705556184718,1.0883715122771138,1.1747502166608568,1.1050342255399848
