Amplitude_envelope_Clearance_factor,Amplitude_envelope_Clearance_factor.1,Amplitude_envelope_Clearance_factor.2,Amplitude_envelope_Clearance_factor.3,Amplitude_envelope_Clearance_factor.4,Amplitude_envelope_Clearance_factor.5,Amplitude_envelope_Clearance_factor.6,Amplitude_envelope_Clearance_factor.7,Amplitude_envelope_Clearance_factor.8,Amplitude_envelope_Clearance_factor.9,Amplitude_envelope_Clearance_factor.10,Amplitude_envelope_Clearance_factor
1.3457812922314698,1.3526347957674134,1.3339099114161923,1.3110748931472815,1.3229972545998925,1.2738555187442913,1.3116412248753568,1.33198390939866,1.312560594647592,1.244952863104307,1.1374880629932975,1.3659250843711006
1.3871474921421834,1.1546829513483317,1.2713224064007078,1.258874229913808,1.0744458197660551,1.1525610393597232,1.2097880695722414,1.3093069630388916,1.1234542043751008,1.0462443474455996,1.212774615214615,1.3190435166688834
1.2685750502022808,1.1060682115298923,1.208734901385223,1.3247819257733826,1.0947792486178796,1.1826825383526895,1.1017030056982848,1.146597602244085,1.0707178438526024,1.0517590056218342,1.0331458785540413,1.2374036245916968
1.2377182446111157,1.1027391284060624,1.1682826578999033,1.0975351365297052,1.0856279372934692,1.212804037345656,1.156200689376698,1.2560186139105909,1.1229119942666648,1.0572736637980689,1.0244039683985364,1.268778437006513
1.1697083394106225,1.0994100452822324,1.1278304144145834,1.1395218739302186,1.1092627149702143,1.203841817657902,1.134877180374496,1.259672453369952,1.1189754543070332,1.0627883219743035,1.0056437116596306,1.0950343545920815
1.1447678855662895,1.0960809621584024,1.0188532915608657,1.0452626902301718,1.1346317738616036,1.1948795979701483,1.1135536713722942,1.0278560047312375,1.1841242178939866,1.0522811951386202,1.1118036480243538,1.1024049032038097
1.1398296409271207,1.0927518790345725,1.0677109202122723,1.160585079755847,1.160000832752993,1.038311164283693,1.0922301623700923,1.215797229027285,1.1350672624462372,1.0506087016366297,1.2179635843890773,1.0607177671640964
1.1536908830276988,1.0894227959107423,1.116568548863679,1.1774131848471026,1.1853698916443822,1.2392210812838689,1.0197473611330157,1.3190855970885105,1.122533243105835,1.0489362081346392,1.010958650534682,1.055477603058723
1.1299333657479338,1.0860937127869126,1.1654261775150856,1.2541358635433568,1.1192669932127246,1.1641020436615808,1.0589069374153546,1.1074136204405065,1.1099992237654328,1.047263714632649,1.1389999337244558,1.0687675921084556
1.1370685261891569,1.0827646296630828,1.0250191654477545,1.1749818564926762,1.0531640947810668,1.0889830060392929,1.0980665136976937,1.1028510810023475,1.0003548230812276,1.0455912211306582,1.1849624640759493,1.0732959978023502
1.15318762390965,1.0794355465392529,1.0742457340186593,1.2597803351397192,1.0250065869489784,1.3224037352871936,1.1372260899800326,1.23561422307378,1.3215833858502235,1.0439187276286677,1.2918306347385111,1.086738266523528
1.1365743535296808,1.076106463415423,1.123472302589564,1.1906847443434048,1.1608287976894267,1.0533703976003042,1.1763856662623715,1.2771578562374,1.0587603732665607,1.0422462341266772,1.0991549312934947,1.1089306956213183
1.2650867904316514,1.072777380291593,1.012089954124631,1.093370109792798,1.0370918541428686,1.1769765328016009,1.2240467411656653,1.2354087331749757,1.1176348083857948,1.0405737406246869,1.0954114958202146,1.1158258176050115
1.1896327825474189,1.069448297167763,1.030294223605133,1.1097510525689929,1.0598408560358736,1.112433792091997,1.2016222899939344,1.2342848030376177,1.2191416903007293,1.0389012471226962,1.0853649744297449,1.100190830115132
1.25169010535414,1.066119214043933,1.0857838032297826,1.0602013918464506,1.0419061376619032,1.0786330473094854,1.1791978388222035,1.1063300347870544,1.192597030077756,1.0372287536207057,1.1638402742173852,1.151317560935576
1.2754322505577276,1.06065930658182,1.0843277319045437,1.2133553715987424,1.023971419287933,1.0026479202959582,1.1567733876504729,1.3409926872023723,1.0805319306073309,1.0355562601187152,1.3386794638446249,1.1122580111958684
1.1091554713353486,1.055199399119707,1.0828716605793047,1.2826403739335253,1.0060367009139626,1.127436189263224,1.1343489364787418,1.1415392303155796,1.109311143577087,1.0338837666167249,1.156848395094778,1.1268389614419545
1.2006537440417673,1.049739491657594,1.0814155892540658,1.202343385237742,1.0067098635277976,1.1047166922187233,1.111924485307011,1.1339849128318464,1.1380903565468432,1.0322112731147342,1.215213483758082,1.1024422815296937
1.2766751839992336,1.0442795841954808,1.079959517928827,1.005702089019563,1.0073830261416326,1.1430219112029842,1.139185337590682,1.1039917845060083,1.0501510081093492,1.0305387796127436,1.2597305928530689,1.1052282803300215
1.182242091642649,1.0388196767333675,1.078503446603588,1.1023965192024394,1.0080561887554675,1.1813271301872454,1.166446189874353,1.0942196085831577,1.2188748043149151,1.0288662861107531,1.160402892777583,1.136918943629259
1.1470833407797831,1.0333597692712548,1.0770473752783492,1.0894239789049789,1.02117735022079,1.0238150177200884,1.277854235118564,1.1237862113500887,1.0089695292806309,1.0271937926087626,1.0795474359285726,1.1309044207595411
1.1207844832760487,1.0278998618091415,1.0755913039531102,1.2212178513450782,1.005410714338051,1.0433824397877465,1.2052409386186484,1.1986972334302446,1.2034452670820197,1.059450259558615,1.072027771800866,1.101688677231928
1.113916246846951,1.0224399543470286,1.068743354622654,1.342026796709503,1.0165290764720305,1.0192664407485554,1.132627642118733,1.1863223089980488,1.1472563356248875,1.0917067265084672,1.1808410302594798,1.1075438864256728
1.111652890610676,1.0169800468849155,1.0618954052921978,1.0395457242664423,1.0276474386060095,1.106458942565024,1.2030434155297849,1.197486063952406,1.0736121765707165,1.0843080998231232,1.1397370415445625,1.0848797768631435
1.1312183529974118,1.0115201394228026,1.0550474559617415,1.1838223555492848,1.038765800739989,1.0152825169949242,1.2734591889408364,1.0446002551587217,1.3099491680111528,1.0769094731377788,1.190645723683895,1.0799423137880468
1.2112336497504126,1.0060602319606895,1.0481995066312857,1.367152937163781,1.149382126581322,1.0211454038963623,1.240707040576607,1.2518289363272437,1.1400292684365951,1.0695108464524343,1.0708678765047936,1.0859848647742814
1.080943831842364,1.0515320875852248,1.0413515573008292,1.3017514782256143,1.0150354693955477,1.0363113030074078,1.120013601417428,1.3492696762902423,1.106525617825539,1.0621122197670905,1.133562107956267,1.1151303578191205
1.1956750138555117,1.053221436245563,1.0345036079703729,1.3495858964070393,1.0205838464774737,1.051477202118453,1.029751716342841,1.211573340789435,1.0895099406498368,1.0547135930817464,1.0929958631983072,1.1084512988369568
1.1458928116288762,1.0549107849059014,1.0276556586399168,1.2713519106985367,1.1184882685554696,1.0666431012294986,1.0244433172164271,1.1687565662306634,1.2238216532948416,1.047314966396402,1.1927701503220454,1.1477885471478255
1.2253022224626928,1.0566001335662396,1.0208077093094603,1.3022475350189966,1.287171248216603,1.121581684709777,1.1591203480425156,1.178098663063889,1.113360188455918,1.0399163397110578,1.0164728473710225,1.1075837904679036
1.1713485376824069,1.058289482226578,1.0139597599790044,1.2742253288078358,1.1060572189473232,1.2822717599344142,1.0412195969036402,1.1944147288574791,1.0686969376341182,1.0325177130257135,1.2574568686291927,1.122585512634538
1.1464804865604334,1.0599788308869162,1.0071118106485482,1.2309231764477533,1.0776507845295409,1.1417924361849754,1.1033679521286048,1.3007338865429494,1.0610446469270738,1.0251190863403696,1.203626115521513,1.1840241243937086
1.1667488695220465,1.061668179547255,1.110170921831539,1.4039078920955188,1.0002512278011662,1.1766703129299203,1.070174396113841,1.1297715467670972,1.184312343263522,1.0177204596550251,1.336907408059198,1.0982845459678487
