Duration_envelope_Central_moment_5th_order,Duration_envelope_Central_moment_5th_order.1,Duration_envelope_Central_moment_5th_order.2,Duration_envelope_Central_moment_5th_order.3,Duration_envelope_Central_moment_5th_order.4,Duration_envelope_Central_moment_5th_order.5,Duration_envelope_Central_moment_5th_order.6,Duration_envelope_Central_moment_5th_order.7,Duration_envelope_Central_moment_5th_order.8,Duration_envelope_Central_moment_5th_order.9,Duration_envelope_Central_moment_5th_order.10,Duration_envelope_Central_moment_5th_order
1879803826410448.8,36101939236370.75,2034877781715204.8,664133593018956.5,673307219278088.4,193026408368133.47,2.2097331782028567e+18,697944563897073.2,2212923737499.788,1648983039359.6812,2611192219159.3457,3.036505222303299e+17
1974082405320.3767,-201048730126.74524,1017436846267608.8,3310249848276.296,274432976.0506736,161243004927.63303,1777242159341.0354,1476212256593.119,-1821521618.1348505,-859767224.351058,3068693790989.891,1566353031233.881
863163786235.1359,-0.0001220703125,-4089179987.8437257,125007170392359.02,0.0,9068470719355.137,35449731684.62608,105510917332.58946,-87160209911.30237,19438476032.69873,0.0,73027403617.03159
2458460873683.897,-0.0001121163368225,-2044589993.921864,-44713016526.97871,2819386030.370901,17975698433782.637,572852126115.5609,102452034269047.4,-19312959104.80763,39736719289.74853,0.0,9260931299902.123
-83002546253.79959,-0.000102162361145,-1.1920928955078125e-06,680870421032.1536,-9.1552734375e-05,8987849216891.318,379571915066.0155,19882961752.087784,-1949471634.533974,60034962546.798325,0.0,-950117600989.4445
-432458404233.0532,-9.22083854675293e-05,1.430511474609375e-05,216012673.6265668,62357816018.644905,0.0,186291704016.4701,-11614705000.619831,-0.00042724609375,-212191406125.71384,91499274363472.8,-1058700202883.6488
-400506700572.1753,-8.225440979003906e-05,-8854016385.172005,2722880636900.7817,124715632037.2899,2.47955322265625e-05,-6988507033.075218,134914715.16646868,-200124241746.1929,-197719315801.7596,182998548726945.6,-358621260803.79535
85690438659.28645,-7.230043411254883e-05,-17708032770.34402,279901200337.6441,187073448055.9349,2312713087118.228,0.0,965329067467.7012,-100062120873.09644,-183247225477.8053,2.7939677238464355e-08,-187191128946.2405
-305667627687.92194,-6.23464584350586e-05,-26562049155.51604,4072139292321.41,93536724027.96744,1109012308822.7927,-0.0001373291015625,-3099265172.5404944,0.0,-168775135153.85104,54803452158.89982,24301670597.828644
-263788844615.3668,-5.239248275756836e-05,0.0,255943199629.3067,3.501772880554199e-07,-94688469472.64268,-0.000274658203125,32527973544.111465,-2.831220626831055e-07,-154303044829.89676,-33923728630.57046,103842599213.0572
-267859850064.2239,-4.2438507080078125e-05,1908114816.35089,24907598838678.58,-59817579.680054285,3202763795033.052,-0.0004119873046875,8127118265.704857,142797832753315.75,-139830954505.9425,-15997719430.189093,-152318167770.098
-942442969794.599,-3.248453140258789e-05,3816229632.70178,557475735101.3065,626306934752.8339,120663385785.7206,-0.00054931640625,20358903026.782093,6369459875.208099,-125358864181.98824,-24148517639.661736,131987921847.17252
246149030355.73734,-2.2530555725097656e-05,196198792.899552,33487661166.361546,447303.10540109314,6954101852838.573,80366187664249.97,1922858049.663368,-1571418229480.8325,-110886773858.03397,-30058976193.028786,-20537091588.11268
16723959716.555666,-1.2576580047607422e-05,-10676550.59620426,3743346888065.885,-93227538.99888198,676116849928.4746,64299335210443.51,-12815095823.508766,390795947563.08746,-96414683534.0797,-38484453212.556015,231025601585.5844
14566204550.093288,-2.6226043701171875e-06,-5893650410.673506,0.0,-62151692.66592132,15078716180.593271,48232482756637.05,-2235140032.5787134,294399503065.4564,-81942593210.12543,-12217799880.825418,227443408242.59705
10041047171.927843,-2.091581171209162e-06,-5061498949.67152,3939574982728.604,-31075846.332960658,0.0,32165630302830.58,15892213082.736889,55232299242.173485,-67470502886.17117,211336163990.9884,1461803673139.9153
68659500303.63281,-1.5605579723011365e-06,-4229347488.6695337,3311676700770.747,0.0,28191132362.766903,16098777849024.115,-4363540667.766115,76462279425.05098,-52998412562.21689,64110762942.81329,939046372150.9862
2891422566.3831005,-1.0295347733931108e-06,-3397196027.667548,11486808333335.287,-59486.10482449819,10800800166.705044,31925395217.65498,-3631578564.694379,97692259607.92848,-38526322238.26264,29728388832.123104,989193079524.4958
14296877838.799795,-4.985115744850854e-07,-2565044566.665562,2.765655517578125e-05,-118972.20964899636,-93482041812.53947,28952405918.42565,4209832799.541661,61873457740.25367,-24054231914.30835,1160468059472.4746,756118123822.511
188023102673.81903,3.2511624422939994e-08,-1732893105.663576,617861157138.84,-178458.31447349457,-197764883791.784,25979416619.19633,3443095380.110058,176415642427.28256,-9582141590.354095,38468563731.02982,1254846628055.6138
17168740143.347715,5.635348233309658e-07,-900741644.6615906,-994226732418.1945,32513459.556089707,0.0,409560466735.2944,1076573609.7709205,-15380413392.243286,4889948733.600194,2817095027.4833574,2140078825891.8225
102274757726.73135,1.0945580222389912e-06,-68590183.65960366,12137640198276.564,-1.136213541030884e-07,572434886.8171873,32141924794.674133,-10719979627.380571,-406738559011.3563,-610437185076.9417,-7020261741.673795,1799568791384.7532
60476467720.43289,1.6255812211470169e-06,-61731165.29363337,157708590692861.53,-236523421.34338084,-15313718749.67989,-345276617145.9461,-17965368641.198936,-1157729712394.3103,-1225764318887.4836,415539364000.6407,241927176927.46744
836840742.4359901,2.156604420055042e-06,-54872146.92766309,0.0,-473046842.6867616,-301587427972.2707,240499821527.7796,-20619662884.656586,31398931760.91601,-1123617292313.5266,49328834722.60178,1764459134718.1304
47425190676.96723,2.6876276189630675e-06,-48013128.5616928,28484899222860.23,-709570264.0301423,-5.245208740234375e-06,826276260201.5052,-51464285031.91736,237674186767.9304,-1021470265739.5696,17530590639.41914,1182167359718.8694
233033262168.75043,3.2186508178710938e-06,-41154110.19572252,2002791582010.0603,-152243258894.26196,0.0,473071038450.1945,-57650493330.14995,718010839383.9028,-919323239165.6128,2405488506.069771,871910812197.8801
21433951339.134293,-1.5497207641601562e-06,-34295091.82975224,2017082670772.0627,2.288818359375e-05,-6.332993507385254e-08,401104206636.6521,169515989538.0042,-521649911320.35297,-817176212591.6558,49518808775.33462,250409480796.20203
570169728196.4648,4.555049695464063e-06,-27436073.46378196,6420935027866.405,1.1026859283447266e-06,-1.2665987014770508e-07,8.642673492431641e-07,-17748218164.222237,-147119241694.27432,-715029186017.6987,-389234345319.1582,488103276806.9823
18816754793.2694,1.0659820155088282e-05,-20577055.09781167,449892935350.5179,-313439299470.741,-1.8998980522155762e-07,0.0,-20586473512.618496,1020367324199.9652,-612882159443.7418,1203426304166.9238,338157181886.7588
48219818197.94203,1.6764590614712503e-05,-13718036.731841384,20041558832969.79,8823046379054.717,-564708530743.6859,240390230815.2373,-4974528537.662056,-306895538465.21375,-510735132869.7849,3.230525180697441e-09,4683117568413.256
43141424131.99866,2.286936107433672e-05,-6859018.365871102,1446135331783.8208,2157446224.1429696,59683278087717.85,0.0,-1396499741.4349694,14493678179.39209,-408588106295.8279,1876920574289.304,1223241650197.2368
88327066876.69318,2.897413153396094e-05,9.918212890625e-05,36495134876062.83,-25277962841.89249,-11174121668.690657,30188851947.252163,-24690656818.69108,25543080948.14872,-306441079721.87085,-65864617085.10659,1559117483318.7334
11554537384.554789,3.507890199358516e-05,-136578214.12334365,49717570266149.54,5.811452865600586e-07,11326146801.005615,20125901298.168102,-951843731.4168764,-102674802876.02055,-204294053147.914,608505628106.5895,2582554557412.356
125226802257.40096,4.1183672453209376e-05,-121402856.99852791,176291414747.45386,-561177559022.6462,2149498781.4645004,10062950649.084051,65610005697.55527,1398187919.9083304,-102147026573.95705,4400359314343.024,2826487492077.042
91966878840.36798,4.72884429128336e-05,-106227499.87371218,1824257224407.3623,-844591408505.206,-87472071931.79787,4.172325134277344e-07,-32940600940.385624,-1216348598184.847,0.0,97454489674.2612,5344515026864.575
25830269803.332745,5.339321337245782e-05,-91052142.74889646,1319380800064.5493,-4078001162.517452,587372575740541.5,1282747371650.8208,94604074576.36913,1324048012231.6038,-2.6702880859375e-05,996972692.0541812,1055443919639.9517
184120487406.72165,5.949798383208204e-05,-75876785.62408073,34403485655.26473,56859341644.85268,4731097069334.46,2565494743301.6416,-20594291394.810654,-693910568338.9618,-5.340576171875e-05,137559680114.5605,3877943786836.398
479916406065.52747,6.560275429170626e-05,-60701428.499265,1981034968876.7017,-3969777406.615626,1613707578988.467,2137912286084.7007,-3050317920.789026,-65789342168.75389,-4.8065185546875e-05,141861367119.146,6776088375222.119
120263197635.2317,7.170752475133048e-05,-45526071.37444928,16051051100135.607,9126225026.848534,458245172098.452,1710329828867.7612,-662764837.3546166,1228215227390.2576,-4.2724609375e-05,377736895358.8786,4007900011574.136
414705414439.5817,7.78122952109547e-05,-30350714.24963355,14749182981514.328,-93582193628.284,83929053954.80742,1282747371650.8208,2006527420.312884,-81125799894.12659,-3.7384033203125e-05,16931808278.077171,2542278200153.2285
328330657827.0623,8.391706567057891e-05,-15175357.124817818,872458406402.9316,-129309379714.90996,49984600196.81633,855164914433.8806,91495544202490.84,1071918814857.3376,-3.204345703125e-05,14930544855.818964,1768732449048.551
965033597034.1384,9.002183613020313e-05,-2.086162567138672e-06,6160762951772.161,-203820932096.1445,238088596162.1685,427582457216.9404,5441066663.824492,-41288170052.66169,-2.6702880859375e-05,64421373573.09255,2390649024511.007
68300923048.4604,9.612660658982737e-05,-209959158.6404099,1034709800772.8538,-77483929290.91289,260348792276.20496,-4.0531158447265625e-06,3269317062026.444,-4657599994.294881,-2.1362304687500005e-05,11925671327.529757,6410297764274.068
104611583251.4426,0.0001022313770494,-419918317.2808177,4248117914000.258,-64106866133.32008,504902148419.6854,-3.039836883544922e-06,5134299499.237089,2508934306.66329,-1.6021728515625004e-05,1061196942.6531264,2434715025917.207
130171150190.2511,0.000108336147509,-629877475.9212255,3478277753673.0103,-239322843420.6368,-8807291960.982407,-2.026557922363281e-06,49521084170.59846,-62251952893.099945,-1.0681152343750004e-05,12911100210.611635,7229428844399.23
117307738853.35936,0.0001144409179687,-839836634.5616333,713398994989.7744,-379667997326.53656,-3972777466.134047,-1.0132789611816406e-06,1805603373019.5825,-24119760335.738297,-5.340576171875001e-06,-20831502739.36421,3681209311601.658
155022298137.54135,0.0001040369322501,-1049795793.2020411,4787942282125.601,-401262965405.9838,-48638463936.84555,0.0,-160134701644.66382,-17336121569.33646,0.0,39489294676261.97,1739419467571.9165
191597103781.9787,9.363294653167077e-05,-1259754951.842449,864165719995.632,-240608877602.3077,35840715783.678795,1.5747818079861732e-08,-131764900174.13676,185400762824.33804,0.0,12110670115358.434,3924650421465.11
25136286300.52581,8.322896081315611e-05,-1469714110.4828568,35864931611.08003,-326117822107.0975,-143193953.33280092,3.1495636159723464e-08,4476405840122.925,83476435804.41049,0.0,-1394460033.136457,2716946671549.501
-32204829262.075016,7.282497509464148e-05,-1679673269.1232646,426815155665.3988,-145265488666.10413,64204214131.56655,4.72434542395852e-08,-169472660975.59537,46329377781.79785,44349010879.983536,187717707.25952423,1171419546240.9282
-29901175919.654133,6.242098937612686e-05,-1889632427.7636724,-127033609039.64816,-199167847125.1335,2668856673758.9404,6.299127231944691e-08,774008320429.0592,374369933219.6088,22174505439.991768,1542887063.8984635,3754367773736.828
643541715.4828724,5.201700365761223e-05,-2099591586.40408,572905202321.6561,143352088907.43597,37387480429.77293,7.873909039930865e-08,-234472312692.3607,-679229692261.0532,0.0,600444191.1964995,764581690439.7289
-9153256712.891394,4.1613017939097605e-05,-2309550745.044488,15026379533751.32,-136640331153.5974,-2286171014.3850584,9.44869084791704e-08,257124725955.85367,962537184111.1292,369582824772.92633,293026171.0314782,1197447843835.269
-26061226324.728016,3.120903222058298e-05,-2519509903.6848955,5776413212878.989,-328631098827.2197,733857652922.6578,1.102347265590321e-07,1157919776698.0017,-44370114560.25322,739165649545.8527,11777194600.011442,751156805855.9984
-100600092670.48802,2.080504650206835e-05,-2729469062.325303,3670115091585.099,-271795305911.7044,-61710756063.43234,1.2598254463889385e-07,171435577591.6914,936743553707.7512,1108748474318.779,-7196939383.324446,2893704759766.0747
-28940555733.392708,1.0401060783553723e-05,-2939428220.965711,10945458433123.926,-125586681668.356,-22785817578.8568,1.4173036271875558e-07,-815048621514.6189,3869972206.526957,1478331299091.705,-38583983925.67948,313478809487.48303
-19530127202.151222,-2.924934960901736e-09,-3149387379.606119,5568375745300.342,-184356479591.09912,-170589544296.31116,1.574781807986173e-07,-203633760915.59683,84125508619.758,1847914123864.632,115860204460.00702,-295170324740.3143
56852910940.98786,350111108.3682862,-3359346538.2465267,5856914704256.435,1173992125186.8257,111166234160.76706,1.73225998878479e-07,111904140516.12367,-1427555250866.5625,2217496948637.558,4838553544.669226,327190954620.4732
54490249576.59576,700222216.7365724,-3569305696.8869343,4822061006562.211,-190026820989.77005,-48063194.95298085,4900063142.730315,522234720364.1976,0.0,2587079773410.4844,41763872906.6548,981803873045.7288
-4659231982.411931,1050333325.1048586,-3779264855.5273423,1332149735639.8494,-603437753455.5963,-18761423553.27434,9800126285.46063,537134908298.9714,2083447297.12426,2956662598183.41,-59009171083.723625,-121975391875.0446
10431793241.848583,1400444433.4731448,97912899.68851852,1832626523353.2544,-375483723565.1122,129248241676.09416,14700189428.190945,1301637284313.2383,31398584784.958256,3326245422956.337,-70006344244.21255,-566715370437.3582
29947962098.159893,1750555541.841431,3975090654.9043794,11858230148329.586,-636588594645.7942,52097829496.26528,19600252570.92126,-171925160152.81262,0.0,3695828247729.263,13861979029.882732,391666993592.1488
