Duration_envelope_Central_moment_4th_order,Duration_envelope_Central_moment_4th_order.1,Duration_envelope_Central_moment_4th_order.2,Duration_envelope_Central_moment_4th_order.3,Duration_envelope_Central_moment_4th_order.4,Duration_envelope_Central_moment_4th_order.5,Duration_envelope_Central_moment_4th_order.6,Duration_envelope_Central_moment_4th_order.7,Duration_envelope_Central_moment_4th_order.8,Duration_envelope_Central_moment_4th_order.9,Duration_envelope_Central_moment_4th_order.10,Duration_envelope_Central_moment_4th_order
704404568302.9636,38487469112.8748,898596183114.959,315591445541.0949,350343789116.9714,141779869581.24255,196776492781349.3,284901642518.61383,10052624221.362185,7804428746.474129,7403590976.595254,34752884937744.453
3923349871.0081086,2825329097.390571,449878794433.26605,7522881700.684057,14441765.86356869,4991593280.061971,4293568186.574848,4870407336.413776,116245475.1507234,13400128.731672443,8840866783.043947,3905695058.7267017
3769029250.3486056,1660192657.3977296,1161405751.5731535,94808752755.44374,30344172.678535253,23348137638.684067,897988013.1058555,605025730.3085756,553683554.661097,312771322.0056654,24757882.53437044,779137628.8550497
6298054560.851679,1524910029.321248,582793097.8969746,339492312.59179085,464002923.18339,41704681997.30617,3363630590.4901967,52135039087.23387,168361946.52035844,612142515.2796583,531.8310663464064,8114059101.65431
1943421933.032676,1389627401.2447662,4180444.220795674,3936290475.5298014,1526670955.1236868,20884271197.19092,2305746858.379622,89539517.28223087,39620922.49775233,911513708.5536512,168859047.69511345,2607775096.683946
1950175468.1287,1254344773.168285,105989179.03513528,10593374.027378349,5982084635.965847,63860397.07567895,1247863126.269047,49607313.3704345,2863054957.885587,1098957762.3637643,111588986725.36935,2233238506.4656262
1827606852.6137488,1119062145.091803,149593894.30778143,6359557972.399777,10437498316.808006,178983978.7789546,189979394.1584722,1750720.6650632014,1107239025.539118,1030298747.852764,223009114403.0436,873161998.0956831
1824466859.2597165,983779517.0153213,193198609.5804276,1709817203.5451286,14892911997.650167,10691649829.07933,4208940.30483165,3477747150.118298,563393697.1993254,961639733.3417636,196965.172673306,550108264.1859787
1467256043.918527,848496888.9388397,236803324.8530737,9559622897.500624,7447709276.223764,5617914880.2783375,881439776.9291103,150459357.0341727,19548368.85953288,892980718.8307633,290962281.4881264,629242136.3134925
1371280701.976765,713214260.862358,487155406.7682195,8198055511.279088,2506554.7973606214,544179931.4773451,1758670613.553389,160364049.399112,1951447.7883022912,824321704.3197631,304462676.0082976,859547809.4271543
