RMS_envelope_Crest_factor,RMS_envelope_Crest_factor.1,RMS_envelope_Crest_factor.2,RMS_envelope_Crest_factor.3,RMS_envelope_Crest_factor.4,RMS_envelope_Crest_factor.5,RMS_envelope_Crest_factor.6,RMS_envelope_Crest_factor.7,RMS_envelope_Crest_factor.8,RMS_envelope_Crest_factor.9,RMS_envelope_Crest_factor.10,RMS_envelope_Crest_factor
2.34709416217709,1.6977946665061785,2.547500981574101,3.004241601365269,1.6143803815434694,1.8987569570344145,1.9130066152037504,1.903378666043584,2.020260012581799,1.3777767482169074,1.5245061261360773,2.524793668839721
1.302157316326526,1.3712859274489049,1.8731399650204328,1.77035682464778,1.0327446236524025,1.1388354176248454,1.1187813582669597,1.1813077154525298,1.1010208490926825,1.0436783251093469,1.1366293571118615,2.090341126205049
1.2924009659750153,1.0590991899334967,1.1987789484667644,1.6448493886065194,1.034036681894775,1.1523030241547056,1.0561783206295454,1.172450332718317,1.018494170235736,1.0310151389225997,1.030470106206484,1.299604412297487
1.21222099069855,1.0594562261230256,1.1772536033568943,1.1192055660203608,1.030041492524355,1.165770630684566,1.0138811154451437,1.7439495351604006,1.0069139930158415,1.0183519527358529,1.0259075528746842,1.282103367554561
1.2173804325539943,1.0598132623125545,1.1557282582470243,1.054043959283821,1.0630340962201663,1.1223888507308326,1.0553688008524482,1.283726761983526,1.009003242531407,1.0056887665491054,1.015685198316006,1.2013883766379734
1.3523139332256748,1.060170298502083,1.001218667539474,1.0721955692767458,1.0484272847633584,1.0790070707770991,1.0968564862597523,1.120483675949441,1.0150040120549355,1.0652646880436345,1.051604125278594,1.2707543358236988
1.2510741871851043,1.060527334691612,1.0334178110127252,1.09057266513855,1.0338204733065508,1.0489742035421017,1.138344171667057,1.1919215459809709,1.099005883798576,1.0612477863654155,1.0875230522411816,1.2957042614045242
1.2608331117092249,1.0608843708811408,1.0656169544859762,1.091477111867309,1.019213661849743,1.4219999224665223,1.114412000218088,1.1914858619023103,1.134261957883072,1.057230884687197,1.0008511138464762,1.3557838392903012
1.1800485487401138,1.0612414070706695,1.0978160979592273,1.1508675966282524,1.0109185894206767,1.287368979330628,1.085975971609266,1.145725183802135,1.1695180319675678,1.053213983008978,1.4232642436923233,1.2878617128741554
1.1902951828314667,1.0615984432601984,1.1975229478558993,1.2090329790228946,1.0026235169916105,1.1527380361947337,1.0575399430004442,1.0877191778385955,1.085512653839073,1.0491970813307592,1.2970653038589994,1.331085015775722
1.220160726864679,1.0619554794497272,1.2111030769583997,1.2997360595526062,1.031499563767886,2.2363721439343207,1.029103914391622,1.2281285678815674,1.3657443653089478,1.0451801796525404,2.274478798245485,1.398058313543376
1.2169995669298537,1.062312515639256,1.2246832060609,1.31958596378985,1.0483265633262324,1.666429028779408,1.0006678857828002,1.2007720696754909,1.093756003905286,1.0411632779743216,1.2222290652017254,1.3003236370852929
1.3490210500606,1.062669551828785,1.1729879354648909,1.1878392657117296,1.06599849450334,1.2761945097959138,1.1591805533892798,1.1373510476842912,1.0867955325334555,1.0371463762961028,1.362827902563081,1.3520934495336403
1.2428559224520643,1.0630265880183136,1.2952634894344148,1.2045645164016336,1.0564062224417734,1.6220427918472171,1.136669423861565,1.2088226681130272,1.2196040458177502,1.0331294746178838,1.5905389313777174,1.3756095205861285
1.1985009817890635,1.0633836242078425,1.352972792815548,1.0772448449574288,1.0415934672735851,1.4121684017604648,1.1141582943338508,1.2557088342809315,1.0616606673201796,1.029112572939665,1.734312613884859,1.497232785840657
1.5230534938501847,1.0592201928532936,1.3369140851117849,1.214281674816374,1.026780712105397,1.012730354777979,1.0916471648061363,1.3163280608174786,1.1726760138322536,1.0250956712614463,1.3850628984862323,1.495883675916271
1.3854854477222427,1.055056761498745,1.3208553774080218,1.105472697283706,1.0119679569372084,1.1075653461666235,1.069136035278422,1.454511858981658,1.1732517897870194,1.0210787695832275,1.6034299000729904,1.4291344664179029
1.2302169553870146,1.050893330144196,1.3047966697042588,1.198477092619813,1.0275371895843866,1.5442408256413565,1.0466249057507075,1.3429094927824858,1.1738275657417852,1.0170618679050087,1.375087258150928,1.466883732137043
1.438478427421424,1.0467298987896472,1.288737962000496,1.2341765580649189,1.0431064222315647,1.325248951076606,1.034106854663804,1.3726424164838007,1.107192908252988,1.0130449662267895,1.3907233507721926,1.4942680010069216
1.4385401330254253,1.0425664674350985,1.272679254296733,1.172413085242334,1.0586756548787428,1.1062570765118556,1.021588803576901,1.3263981755153984,1.1704901551839146,1.009028064548571,1.503613293385771,1.4247191448156014
1.4426957787067511,1.0384030360805496,1.2566205465929698,1.244822435074479,1.0220202291020537,1.1771558061869452,1.0780513453958085,1.51218811091891,1.005252959743152,1.0050111628703522,1.0852221372768676,1.5005854776133067
1.3300105765700831,1.034239604726001,1.2405618388892068,1.2745784831457705,1.0178378218717952,1.333093548074742,1.0552041566005776,1.637834801659394,1.0562634357941916,1.0295037420654296,1.1052994917469383,1.417904586554452
1.2977927389814596,1.030076173371452,1.2181716056983345,1.4263884004654548,1.0300344954556686,1.162901621310157,1.0323569678053468,1.949333333673804,1.1554450393072708,1.053996321260507,1.1770729492920546,1.408184399501264
1.4052702904346115,1.0259127420169032,1.1957813725074615,1.1531620619824563,1.042231169039542,1.5029971150178063,1.1715649282555454,1.5528714509419586,1.1684003760260195,1.0527028227864417,1.1857046262792386,1.4893951129242295
1.3260492593195106,1.0217493106623543,1.1733911393165892,1.2064091642116792,1.0544278426234155,1.3375385689447377,1.310772888705744,1.4000789157593303,1.1105639322387757,1.0514093243123763,1.3859803744133044,1.4814235917626486
