Amplitude_envelope_Peak,Amplitude_envelope_Peak.1,Amplitude_envelope_Peak.2,Amplitude_envelope_Peak.3,Amplitude_envelope_Peak.4,Amplitude_envelope_Peak.5,Amplitude_envelope_Peak.6,Amplitude_envelope_Peak.7,Amplitude_envelope_Peak.8,Amplitude_envelope_Peak.9,Amplitude_envelope_Peak.10,Amplitude_envelope_Peak
106.22797597886554,100.3228653441018,102.40683670155424,100.77041032623715,99.62406830454758,101.03636572805942,103.7615236101311,102.01040342680652,102.17438995018917,100.89722178413555,102.00467288233824,103.59537434215363
110.97065899576538,101.51319671430846,93.97372368630344,100.62925507055614,84.78856856340978,100.80699448721612,96.44543839557636,100.0458435604087,83.43174752795842,87.60954103621988,105.4726967120538,101.6437151106242
110.9575806759968,83.05650159593297,85.54061067105262,101.08527813858149,91.71777440180718,101.2761058665183,92.60311305043815,90.14496750560404,87.91755169850818,86.42007640761794,96.28859770622488,107.95068153644723
109.4845318651894,83.18524500981411,89.02127369586755,92.46447108612752,95.00117473249426,101.74521724582048,100.15644968698228,100.5760548664006,82.54695649087043,85.230611779016,86.7840254776463,110.4735963879855
106.90496527208796,83.31398842369524,92.50193672068248,90.18970529382813,90.0561265152029,96.1411913221804,96.87265200900688,100.67114484296324,80.28829611648045,84.04114715041406,89.315321387101,101.71467581708384
105.34398843119811,83.44273183757636,81.90510166735179,86.52006682133607,92.57239570041024,90.53716539854028,93.58885433103148,82.6311664620023,88.99495095960089,87.85375607380998,95.65067521148848,103.340802383573
102.19001105393912,83.5714752514575,84.01252066369534,91.8000035065514,95.0886648856176,76.07665247648517,90.30505665305606,92.1117125092822,86.77194998038959,87.47046874261899,101.98602903587596,99.41521991570863
100.35950431941492,83.70021866533864,86.1199396600389,93.44820443815844,97.60493407082492,100.67153753028872,82.13586486335839,100.78292013735796,84.81315704572647,87.08718141142799,75.90528553032841,97.56024863255912
98.65312811068966,83.82896207921976,88.22735865638245,100.56567495983818,91.42697719286744,93.05113913781994,83.27173784210663,85.73973997026688,82.85436411106335,86.703894080237,91.54058135283891,97.01977319180736
101.72653494615882,83.95770549310089,72.62491108493369,100.27768598623628,85.24902031490993,85.43074074535116,84.40761082085487,80.48435331453652,67.57618191110063,86.32060674904602,91.41408549499116,97.40801435864516
97.16696072380392,84.08644890698203,80.23742161725741,101.6666554060542,79.26382468081769,100.5708882917614,85.54348379960312,91.11331849405168,109.04950770049577,85.93731941785504,98.07450948905708,99.5420087927464
102.80525613945692,84.21519232086317,87.84993214958114,92.39932570017707,87.69632642366581,80.5179027221328,86.67935677835136,95.5358267508413,84.54100408280762,85.55403208666404,81.81772843477171,101.5040629783973
103.37619425903364,84.34393573474429,69.5183083344029,76.34057671502876,78.38775559998797,91.65848884766235,100.0602800512841,90.96773887950138,98.40641536380198,85.17074475547305,81.70602898449421,101.1951160053921
90.4764963720753,84.47267914862542,71.4529479839676,100.0011251144338,80.15642785778196,86.4972873241597,99.32289442147788,90.24262126016949,96.54399030781966,84.78745742428207,84.41897465336272,100.00000050930956
93.09935148511224,84.60142256250656,76.02914575879694,95.00913207599088,78.69272972196183,83.38287577256311,98.58550879167169,81.45379922938012,94.22393719443238,84.40417009309108,91.6820751692114,100.62640764699005
94.23632742067052,84.16493055322529,76.55556534829277,95.20854602134592,77.2290315861417,84.34966671818788,97.84812316186547,99.07018040465564,83.78051004322968,84.02088276190008,94.86994155026971,98.4951018213588
81.74799740943259,83.72843854394402,77.08198493778862,103.70329008980988,75.76533345032156,87.85004907142196,97.11073753205928,82.66905967524059,87.59215976523856,83.6375954307091,87.31503526125597,99.0245777191793
87.61904519579171,83.29194653466277,77.60840452728445,100.31499957467864,75.66034289859878,87.39506432261062,96.37335190225306,80.7987392508138,91.40380948724744,83.25430809951811,91.31069893473938,96.3554931594433
93.78258201555336,82.8554545253815,78.13482411678028,101.6263872256677,75.555352346876,89.11542848181517,98.632844342818,79.6898819076606,87.53728397421382,82.87102076832713,100.43586682291084,96.55637929750382
91.03871637073784,82.41896251610024,78.66124370627611,87.09070484765364,75.45036179515323,90.83579264101972,100.89233678338296,79.01302743216348,89.87524529481388,82.48773343713613,88.17998018594437,100.39187699221112
86.64551842759522,81.98247050681897,79.18766329577196,103.48055653600218,77.1498609202438,88.07107818892874,82.11599406014084,80.45665740885937,63.99220969653645,82.10444610594514,81.60370770577408,100.12421439715776
