Duration_envelope_Standard_deviation,Duration_envelope_Standard_deviation.1,Duration_envelope_Standard_deviation.2,Duration_envelope_Standard_deviation.3,Duration_envelope_Standard_deviation.4,Duration_envelope_Standard_deviation.5,Duration_envelope_Standard_deviation.6,Duration_envelope_Standard_deviation.7,Duration_envelope_Standard_deviation.8,Duration_envelope_Standard_deviation.9,Duration_envelope_Standard_deviation.10,Duration_envelope_Standard_deviation
402.0171073135233,267.074832784662,553.3336514791433,390.4653213758756,410.89136475239945,373.4725372489152,1455.1528758876484,319.3144710764767,237.3726223552039,235.0702449090224,220.1673933771624,767.738505340896
157.6848965556606,211.19643416995032,355.4418996938894,221.9786270071596,51.82005467152975,215.33165359586653,181.82644811365665,196.1115776528509,92.5125008044196,54.67067397564685,235.94405997156392,173.80569475113313
198.23623183174,201.8550514633148,157.55014790863552,307.0957623343068,74.21963688886609,311.8365151899426,153.67447276670651,88.77596057269037,138.60937055720782,91.63681344229326,70.5388499124931,121.16996122879873
202.8571347927385,191.5243847547681,101.38377507184452,117.29556016348975,123.66259525485124,408.3413767840186,217.610205266663,144.30029194893962,102.92909867664808,128.60295290893967,4.802235187617839,126.1633223513076
164.0460519901785,181.19371804622148,45.2174022350535,222.6978282909786,197.6679966769892,248.86764034061144,178.8969475799164,48.02532451687746,71.68995883265131,165.56909237558608,113.99376134970328,126.83502342318788
164.99075327956135,170.86305133767482,101.46479495403877,53.706619318583776,236.9992795657569,89.39390389720427,140.18368989316983,39.40575245658973,231.31693072933857,164.52141476630217,347.1956994060781,111.56215367241474
166.99761304788444,160.53238462912816,105.0071550015046,205.08766400086995,276.3305624545246,115.66542009485684,101.47043220642324,19.80944122390488,151.07477836064916,159.0450898148778,580.397637462453,86.72243351017532
160.36828385118758,150.20171792058147,108.54951504897043,154.03720419183162,315.6618453432923,281.96639826282353,45.2942623817255,144.48990290044466,108.78401959634654,153.56876486345345,21.06674120957652,71.9749293728325
152.2328202261538,139.8710512120348,112.0918750964363,245.93816387060068,177.725710193157,201.96294467299205,94.8351373475779,100.80274746292694,66.49326083204392,148.09243991202908,77.92800603682966,92.19698555502504
141.2449195380349,129.54038450348816,148.56512809637144,249.09423811816487,39.78957504302164,121.95949108316056,144.3760123134303,73.2432919946547,37.375691292079495,142.61611496060473,102.52548915013682,99.26178226678402
152.95420492813088,119.2097177949415,111.08882169141452,291.4849942872702,29.192870257389394,152.4146765929189,193.91688727928272,51.405372698180784,417.1968131009448,137.13979000918036,99.51624080866736,108.690203553914
176.12985223654604,108.87905108639484,73.61251528645758,202.20253492238533,192.35844199076584,79.64891721873377,243.45776224513511,33.78807577818184,80.14989149049633,131.663465057756,88.54331754811552,126.65137520888442
110.46442290042248,98.54838437784818,40.65181587849061,136.7214150463364,10.316580730483718,124.0781231282129,432.1914574176511,36.4170416608984,237.8083863868926,126.18714010633164,91.85421792926948,141.94239878693148
73.71058950868334,88.2177176693015,22.81483262852648,146.50091660109348,31.104568690988003,111.89404464688712,384.4266999189917,39.73470051983739,122.82787081244916,120.7108151549073,98.42689280506768,143.3534230716416
