Rise-Time_envelope_Central_moment_4th_order,Rise-Time_envelope_Central_moment_4th_order.1,Rise-Time_envelope_Central_moment_4th_order.2,Rise-Time_envelope_Central_moment_4th_order.3,Rise-Time_envelope_Central_moment_4th_order.4,Rise-Time_envelope_Central_moment_4th_order.5,Rise-Time_envelope_Central_moment_4th_order.6,Rise-Time_envelope_Central_moment_4th_order.7,Rise-Time_envelope_Central_moment_4th_order.8,Rise-Time_envelope_Central_moment_4th_order.9,Rise-Time_envelope_Central_moment_4th_order.10,Rise-Time_envelope_Central_moment_4th_order
84028105191.20706,606947931.5420012,60237006176.17453,4274155447.517077,1035582128.796143,12683967575.3669,919321242573.7528,903017940.274025,179827214.55817032,21204706687.60232,36171136.726150446,21678138891296.96
797005.159976527,20895619.954943523,30120187581.10606,4936431.328982108,21160.45701034093,176778.63001374458,364556.76030081866,1907641779.4931188,3458621.953863688,62355.88080124025,37890.236301326135,61851897.07480127
6762099.905190297,0.0006169799618131,3368986.037591274,3368392.621116437,118778.72402569292,2211554.313756343,120974.95819096656,346119.2528382132,156177.79542850188,42601.18465247523,17685.297177048935,1736396.3803466533
94031152.3289504,612.1370899827741,3497731.622547477,587178.6779908639,112487.2557173314,4246329.997498942,30696.48852518233,52278271.79364689,310177.4138309164,22846.48850371021,873190.5253813658,26332519.298046853
20818147.322861563,1224.2735629855863,3626477.2075036815,1390365.9547702034,16.392358928454584,2123174.0481979847,26159.464561429795,86559.52759577053,4066857.6130691017,3091.792354945198,0.0871444787498611,20725273.17743725
40650759.02185111,1836.4100359883987,1352224.5283697096,4638.673353382401,425341448.7572392,18.098897027479246,21622.44059767726,5963.358285864441,112915.4136241073,31743917.994042967,16181352984.334654,115347838.02402449
13024969.324061418,2448.546508991211,4389983.362718541,414229.3729513088,850682881.1221194,39784.96959963141,17085.41663392473,145803.04702997062,118858.31062957276,29710055.559269253,32362705968.58216,54477503.4437079
14006510.632293964,3060.682981994023,7427742.197067373,529277.0849082273,1276024313.4869998,394596.2754617853,2205.1161099907986,224522.4226566993,573123.0913158663,27676193.12449554,38822709.61073277,41373509.127940014
375416.8958551477,3672.819454996836,10465501.031416206,150551.90647915305,638176872.1400921,464145.2762249785,1656.3512772697763,153006.36432522882,1027387.87200216,25642330.689721823,18927997.492645487,139995427.0420756
52114057.890149534,4284.955927999647,840177.0777917148,193153.1032328925,329430.79318455,533694.2769881716,1107.586444548754,117428.60491544228,9628.127107834329,23608468.25494811,7111107.279083627,112960154.14807305
328513.56693796534,4897.09240100246,701579.7627287214,14902486.952305447,8407210.47443452,7290269.759550259,558.8216118277319,563161.0581706705,610576.815786261,21574605.8201744,23642399.302328616,66111655.76603627
950927.973637108,5509.228874005273,562982.447665728,133813.82041650714,278618.71981967567,175034802.66598848,10.056779106709776,2976.452855356037,50711.311365972775,19540743.385400683,16895954.472408697,224547247.82297432
220742.24171168747,6121.365347008084,90169.71570676772,978088.6551661404,30178.86113449975,8147641.26180351,103519784.14770731,142423.53022346538,643900.547895883,17506880.95062697,137198088.99434763,109689297.6132674
1002148.841326436,6733.501820010897,47724.02292252519,86017366.93791525,5107.032667483448,156947854.34300578,83136418.19576654,604955.6538498877,21968.214587358,15473018.515853254,10102600.177681316,66680654.80665696
302384.93961819593,7345.63829301371,8121141.1162508065,220156143.8123488,6976.666552307252,39289383.70573958,62753052.24382576,78541.68210087687,5074459.18939917,13439156.08107954,7767279.842689346,120205058.36373122
7522725.803941121,34759.088669579134,6962347.540219189,455113536.4905451,8846.300437131056,51797.25630883461,42369686.29188499,923428.9803311503,17292.33366735733,11405293.646305826,5288943.798368074,356196584.48210585
228124006.1193221,62172.53904614456,5803553.964187572,271881.3201679247,10715.93432195486,5351955.668829312,21986320.339944214,1323682.7032987883,537552.1282077254,9371431.211532112,33398162.454199247,366348051.810329
184667.4106596824,89585.98942270999,4644760.388155954,812077.2257746997,7146.512126707081,1081252.909009582,1602954.3880034378,1126627.5570642236,1057811.9227480935,7337568.776758399,8541616.685922086,521942467.1044444
726663.733959662,116999.4397992754,3485966.812124336,49131.93103262893,3577.0899314593034,822737.3263074729,882094.1360491037,8043207.994024156,215992.3314964607,5303706.3419846855,116013017.35226353,402876045.97994673
433167.03994628985,144412.89017584085,2327173.2360927183,6409.054744656097,7.66773621152609,564221.7436053639,161233.8840947695,1239274.6865854936,613122.1464570618,3269843.9072109684,67005047.676054455,793992948.0380592
468525.70736280497,171826.34055240627,1168379.6600611014,88584.03140920795,79209.63100040387,79837.56758556048,99149.58915044682,772609.7225582273,656560.0931577125,1235981.472437256,22452.981905051085,377377961.9967798
25090854.55789563,199239.7909289717,9586.084029483069,528560.0053585637,8.837729385912036,94874.42115300785,54485.41465517809,936640.9761928712,23413070.39791884,618002.304705538,676831.318790348,921680235.7535938
407580.8765737632,226653.2413055371,8985.02199594998,170170.50302887935,274464.5685172382,57901.17095204317,9821.240159909365,4930384.8130419785,1338946.3668530197,23.13697381982353,1961477.92300671,186503603.368898
436954.0752575053,254066.6916821025,8383.95996241689,593690.3876969088,548920.2993050904,1011624.6467245292,206336.51219011864,17700799.112373,728748.6806085295,6539.383997336483,55562.47838439691,829655928.6695365
