Energy_envelope_Max_Min_difference,Energy_envelope_Max_Min_difference.1,Energy_envelope_Max_Min_difference.2,Energy_envelope_Max_Min_difference.3,Energy_envelope_Max_Min_difference.4,Energy_envelope_Max_Min_difference.5,Energy_envelope_Max_Min_difference.6,Energy_envelope_Max_Min_difference.7,Energy_envelope_Max_Min_difference.8,Energy_envelope_Max_Min_difference.9,Energy_envelope_Max_Min_difference.10,Energy_envelope_Max_Min_difference
158033196.48484895,45748222.92439459,124631327.84020063,105995705.18557964,13663987.617636915,56225028.19008029,268052532.7227521,77828727.51621285,74929941.9597841,50241893.04274216,71329725.20522487,103998704.78850786
44029491.33034497,19938570.358124536,63750135.42380536,43059064.33251248,2630171.326153218,42463508.44570677,41072956.6847723,37043422.38986485,5135662.845196694,553027.2781600151,30188962.297213383,26975052.6256479
36766132.27659219,18792256.91805121,2868943.0074100755,34805443.38418078,3154775.596035244,36892114.56986807,12085975.17071748,10034925.795049235,1828849.2068962604,1176128.4922863073,539114.5704376139,5068615.891336005
52786066.8479277,17493482.277787093,1916555.700312468,2891623.73054089,2788948.9723883206,31320720.69402937,28707980.69133444,184315722.3553572,1443769.3634832143,1799229.7064125997,774799.6153362719,60623892.72482596
53191693.08971802,16194707.63752298,964168.3932148608,1860055.1592185232,1566977.730067335,20776549.446644984,20157793.60154917,27210223.82695616,889027.8744074893,2422330.920538892,364641.3742896021,21272537.35496176
30267527.59718148,14895932.997258864,798980.9224585791,1818462.345532728,3239853.702375708,10232378.1992606,11607606.511763904,923453.65161742,756778.7025550044,762439.6896853694,8277892.01707178,27829098.97788912
29057978.45821749,13597158.356994748,1487922.6531489235,8579398.86614225,4912729.674684081,2717206.8984085936,3057419.4219786376,1126892.5179193318,2077442.719776245,826377.8375785443,16191142.659853958,24440994.31610885
16041825.603459269,12298383.716730632,2176864.383839268,4146590.092909434,6585605.646992453,40881784.47239023,5450028.025353718,13545064.205473864,2400973.112474421,890315.9854717192,3585801.7561980905,14620420.399528986
20682733.11227217,10999609.076466518,2865806.114529612,26471564.158450577,3655591.563600464,24070451.04589717,10352902.707410602,1404746.5551717775,2724503.505172598,954254.1333648942,7537266.66357602,16772275.492534518
24705532.41983088,9700834.436202403,2382207.519301261,30529770.39560744,725577.4802084742,7259117.619404118,15255777.389467483,812548.4329231903,2727975.331148833,1018192.2812580692,1319064.0715615735,16705858.073960084
15601856.433454828,8402059.795938287,2025318.4938908303,87826944.93513556,1038147.7251451686,117930695.84835228,20158652.07152437,3904963.679872797,89665320.56814046,1082130.429151244,6883563.613355187,17033635.86311373
28159362.57586546,7103285.155674171,1668429.4684804,4458384.833773665,568950.9814480124,1928980.714980337,25061526.753581256,3016378.439185041,5109562.847665766,1146068.577044419,428676.97371626645,18428743.434628863
17858429.558927726,5804510.515410056,2027157.484723,3709590.6776822847,792879.4083818346,3824336.4371244544,152371472.61699834,2524751.25697497,12342141.043542314,1210006.7249375938,628081.8779233359,23611451.6742724
2104947.4338713456,4505735.875145942,2252837.4649054185,98106942.27741644,982848.7243550709,1105526.3449917329,124469925.79699476,2143220.209438307,10955003.618206972,1273944.8728307688,903569.0146424128,37972667.72090675
3775861.37953552,3206961.2348818257,1840486.107231521,11538946.359007409,949219.6870646756,1761146.2481598826,96568378.97699112,625697.9017910026,3152433.922310061,1337883.0207239436,1842894.5070745803,19977976.174258526
4516754.429042778,3002819.969833233,2324476.34978516,21862570.417906173,915590.6497742804,1392539.4588889256,68666832.15698752,7433674.071905521,1153336.9155483835,1401821.1686171186,6757100.031234635,16210226.145941868
900499.0493449364,2798678.70478464,2808466.5923387976,63874340.20765779,881961.6124838851,980239.354708068,40765285.33698392,324961.97941352054,1422535.845871708,1465759.3165102936,695248.7528309921,15275858.485280309
1419827.5944511238,2594537.439736048,3292456.8348924355,90602444.01006222,953216.1575055252,1228756.1101523712,12863738.516980335,291297.1938317483,1691734.7761950323,1529697.4644034684,2495647.0063806125,10557572.594675384
4831589.754768561,2390396.174687455,3776447.0774460738,2057367.5384961665,1024470.7025271654,1400764.1757278796,14833698.094933428,387463.5437970637,2119623.233845719,1593635.6122966432,77174128.24789776,10530317.0281985
2928948.821568567,2186254.909638862,4260437.319999712,66718022.53657184,1095725.2475488055,1572772.241303388,16803657.67288652,338946.7802234432,1774407.65026249,1657573.7601898182,1030143.1986120295,54738470.383545205
833560.6663372,1982113.6445902693,4744427.56255335,67582919.64194576,1816647.1361071176,387078.5420164112,11429035.694903051,590469.9944854612,1706900.6281699403,1721511.9080829932,660991.1787458435,31709141.29839441
698589.3094040402,1777972.379541677,5228417.805106988,88872741.43323244,1519241.3223134214,462796.3168306537,14440460.753194043,1812729.0319531115,9021509.829794936,1702015.8882984584,411605.52553207736,8864986.61131639
833803.5137448041,1573831.114493084,7292431.710606224,171248844.19354612,2294963.189650968,1899178.8222212484,17451885.811485037,670206.5950322812,7112732.96697885,1682519.8685139236,3948390.722840996,7996730.307881436
611382.1269254112,1369689.849444491,9356445.61610546,6506046.628785616,3070685.056988514,5038320.357321695,18046621.78631921,805062.812605923,2033383.7660644704,1551936.5850343558,1167424.0165471483,11503331.426660571
5942360.597884296,1165548.5843958987,11420459.521604694,122328055.3185426,3846406.924326061,2124749.179232994,18641357.761153385,274901.9518276807,16946567.576656777,1421353.301554788,1074030.2520635235,8721489.474016204
