Amplitude_envelope_Impulse_factor,Amplitude_envelope_Impulse_factor.1,Amplitude_envelope_Impulse_factor.2,Amplitude_envelope_Impulse_factor.3,Amplitude_envelope_Impulse_factor.4,Amplitude_envelope_Impulse_factor.5,Amplitude_envelope_Impulse_factor.6,Amplitude_envelope_Impulse_factor.7,Amplitude_envelope_Impulse_factor.8,Amplitude_envelope_Impulse_factor.9,Amplitude_envelope_Impulse_factor.10,Amplitude_envelope_Impulse_factor
1.3410481825631877,1.3480133018248268,1.329247900775935,1.3060776682586277,1.3182694873895426,1.2698409349616402,1.3067304081825386,1.3289385426808469,1.307994016332497,1.2396176345875471,1.134990190682399,1.3616025075130085
1.3833731331914634,1.149078429194125,1.266150553613686,1.253691914748593,1.0733157049237818,1.1436249583208065,1.2053681632235342,1.305790816091699,1.1217183395634738,1.0451669969117583,1.2095645302463072,1.3157078549836532
1.2643336816624675,1.1031199469524968,1.2030532064514368,1.3193327171419131,1.092435685901901,1.1719235440366125,1.1000046986978629,1.1453959906187936,1.0698242966450422,1.0506376814402252,1.0328667953444626,1.2339309219914345
1.2323366710787724,1.0999426350681902,1.163282864888464,1.0961201017502409,1.0840018687570867,1.2002221297524185,1.1526221852358352,1.2555531121099834,1.1209090226606828,1.0561083659686925,1.0242533018346949,1.267165884878626
1.16713684501651,1.0967653231838836,1.1235125233254917,1.134360662098324,1.1061302860445916,1.1924163875498932,1.1321268316411723,1.2594621336405738,1.1163166878837194,1.0615790504971592,1.0056357264300628,1.0938743102475674
1.1424695807687957,1.0935880112995768,1.0187636060053196,1.0445046373988134,1.1308591396763608,1.1846106453473677,1.1116314780465095,1.0277983614597446,1.1749889362660262,1.05126660982411,1.1103449010722717,1.101489010180004
1.1372597870258403,1.0904106994152702,1.0663951091295918,1.1585115653293838,1.1555879933081297,1.0379374327371012,1.0911361244518467,1.2154900057168474,1.1309571186616765,1.049651406635324,1.21505407571448,1.0603039794142468
1.1510284773722976,1.0872333875309637,1.114026612253864,1.173202018422938,1.1803168469398988,1.233314917069274,1.0196489255456596,1.3163823473983722,1.1188903166850157,1.0480362034465385,1.01092846459718,1.0551432434487509
1.1276827182359734,1.0840560756466568,1.1616581153781362,1.2497079372447604,1.116378208528107,1.1605796894439877,1.056742528917232,1.106134755007411,1.1068235147083545,1.0464210002577523,1.13765915286366,1.0683024359103872
1.1348786778811428,1.0808787637623505,1.024860760791143,1.1720293818656211,1.0524395701163154,1.0878444618187006,1.0938361322888044,1.102576736541726,1.000354791600791,1.0448057970689664,1.182873722042424,1.0727458802672871
1.1506195092569116,1.0777014518780437,1.0725518233987426,1.2548722694980528,1.0249112534301406,1.3200702283580006,1.1309297356603767,1.2354832426706674,1.313194550726061,1.0431905938801804,1.2902814145337802,1.086206991834409
1.1335898872224643,1.074524139993737,1.120242886006342,1.1877102406349591,1.1575118946723042,1.053055818022958,1.1680233390319492,1.2770701458099063,1.0583840898256105,1.0415753906913947,1.0983733783175986,1.1082411566548422
1.263614451659635,1.0713468281094305,1.0120566313234456,1.0921732655624563,1.036987259082688,1.1767679084837783,1.2207271733974554,1.235327310528627,1.1143738570630028,1.0399601875026088,1.0943780876625298,1.1150015374118254
1.1893762025132104,1.0681695162251237,1.0300410649431648,1.108425360593942,1.0591654321897637,1.1120988587741998,1.1986546808204237,1.2341283794085136,1.218293458015676,1.0383449843138228,1.0841946432394085,1.099414610380642
1.2507556345439,1.064992204340817,1.0849424595146573,1.0592694848082056,1.0414528091668571,1.0782855493570316,1.176582188243392,1.1062324714972778,1.1889131820610148,1.0367297811250369,1.1617836112123403,1.1506612079250524
1.2752448649045454,1.0596339150992746,1.0834942176401996,1.2110991559913082,1.0237401861439508,1.0026461651101282,1.1545096956663603,1.3406977743759685,1.0796477289551074,1.0351145779362512,1.334608371289404,1.1115960044318955
1.1083297505796548,1.0542756258577322,1.0820459757657417,1.270961908409456,1.0060275631210445,1.1255865728632033,1.1324372030893288,1.141410149917179,1.1078553069674353,1.0334993747474652,1.1533819966837084,1.1260461810910358
