Amplitude_envelope_Root_standard_squared,Amplitude_envelope_Root_standard_squared.1,Amplitude_envelope_Root_standard_squared.2,Amplitude_envelope_Root_standard_squared.3,Amplitude_envelope_Root_standard_squared.4,Amplitude_envelope_Root_standard_squared.5,Amplitude_envelope_Root_standard_squared.6,Amplitude_envelope_Root_standard_squared.7,Amplitude_envelope_Root_standard_squared.8,Amplitude_envelope_Root_standard_squared.9,Amplitude_envelope_Root_standard_squared.10,Amplitude_envelope_Root_standard_squared
1406.7328289631928,636.0392395591533,1020.5937966967268,920.034753993136,650.3616220836516,625.3710346169148,953.4294221296648,1233.902300642005,809.9424908193918,367.0910729535898,486.0054267015948,1363.492575547917
1275.475373942851,218.41388230165435,590.5557489484572,412.7265908873487,158.3204001726581,218.9953771701321,351.2334001429887,493.1929429344975,258.44624649904137,145.47819967234946,361.41765568269545,570.6680662458522
1801.9664770118973,107.0441129072645,160.5177012001876,583.2794518773541,119.23949517795664,184.32850923772324,206.84456152547688,756.3528936450725,142.5757076973199,149.87886731999777,131.91068797078927,556.3935971291413
2961.5149419654654,107.5054430041001,138.9193224668618,207.1520171220504,175.79932715389822,149.6616413053144,151.45440429270667,1609.2467228218638,128.02002817388438,154.27953496764604,119.86023078585352,1771.7481820392563
3954.312876482866,107.9667731009357,117.32094373353596,160.4382017885092,115.78549940866202,129.786624221988,168.67829467792268,1861.512336666185,125.15952441506433,158.68020261529435,125.6050689176825,1960.7919895423297
5572.889113548231,108.42810319777128,113.71793580043143,165.90037266673596,125.34957862570204,109.91160713866164,185.90218506313863,728.0983933166694,108.74169775860013,145.0193080384953,166.1243810125717,3889.880550278854
4553.726499597862,108.88943329460687,119.95333626767636,238.5756758264245,134.91365784274208,103.73075089558893,203.12607544835467,530.763221192005,154.5524893113426,144.58514387182123,206.6436931074609,4731.598604542076
4286.177824408482,109.35076339144248,126.18873673492128,212.21648001273823,144.4777370597821,260.6149390502407,113.94125179947233,360.6577558373557,130.5098531578584,144.1509797051472,106.19217687117673,4939.014435190441
3785.299648749008,109.81209348827808,132.4241372021662,268.81455841316586,129.5941672374595,234.41403168347983,112.06102626037736,219.74008177642284,106.46721700437416,143.71681553847313,1628.9781075525163,5081.881537105502
4420.236393912624,110.27342358511366,100.24666052588402,192.3067597720478,114.7105974151369,208.21312431671896,110.18080072128238,263.328676570877,95.53326456706228,143.2826513717991,1902.769582407707,5582.986353174015
1255.0942685933665,110.73475368194926,118.41987549423698,270.9154677896513,189.47186090878805,1386.7686042815817,108.3005751821874,1196.2448680458642,403.3876023509313,142.84848720512502,1268.0311889931672,5285.272403204998
3150.469579959113,111.19608377878484,136.5930904625899,206.8893324803584,201.59543219956188,1506.967833345191,106.42034964309244,1618.5954843741292,211.4856508424481,142.41432303845096,983.933924368364,5824.145364191772
1462.4740621908154,111.65741387562043,118.9826219207531,121.33599126183633,213.84921922935445,941.4950743707144,218.0942104245608,1476.653728614055,198.58044916321165,141.98015887177692,900.6749382349864,5887.987728943993
1046.261710678332,112.11874397245604,120.20918545514203,808.7271706555246,262.4856032663789,597.7887765183791,213.4002677817712,1642.022581191117,526.4066225735938,141.54599470510286,1600.9784280133783,5904.733414457503
954.711533194184,112.58007406929164,140.37236014366363,127.06775614764403,210.4931764767805,1066.6032366145782,208.7063251389815,1472.8983947066513,159.52560093370997,141.11183053842882,1795.1730942328084,5553.5090469405495
1716.137388389174,112.54347954655805,138.69769919792125,236.75799986800143,158.500749687182,118.97403535257712,204.01238249619183,1721.125696793087,155.45408327709865,140.67766637175475,1347.784683023477,5622.249506259383
