Duration_envelope_Peak,Duration_envelope_Peak.1,Duration_envelope_Peak.2,Duration_envelope_Peak.3,Duration_envelope_Peak.4,Duration_envelope_Peak.5,Duration_envelope_Peak.6,Duration_envelope_Peak.7,Duration_envelope_Peak.8,Duration_envelope_Peak.9,Duration_envelope_Peak.10,Duration_envelope_Peak
3582.093425790776,1530.8324527617444,3501.295916546619,2893.007454120267,2558.713407578282,2182.522473829301,13013.180157158464,3227.410872387959,1405.6016838298829,1059.1294577314331,1241.8054120958714,10040.41481357488
1067.7176868195816,819.7468250237002,2039.257497903848,955.7856926455814,483.6104395647022,1155.8186860199464,923.474232214739,956.183921989112,711.8154151336374,592.1046395840897,1137.8102465837371,849.6854433755029
1047.5592356755942,645.479540688111,577.2190792610768,1891.7160037945148,571.6548934915753,1490.5963559411753,655.7343997089014,817.6198810950956,699.8257816374762,597.1805564458255,897.6538797309905,714.6310053685376
1747.3739564865011,615.686548668261,578.8815160525237,592.0772365748771,779.1531393085362,1825.3740258624043,970.5957384744868,2548.1877471640523,626.1410839485791,602.2564733075611,652.6180949845839,1756.8562422521818
1285.270728529702,585.893556648411,580.5439528439706,787.6008298977864,641.4486437690566,1295.1190958030772,833.5948499429317,833.822116838694,546.455804914604,607.3323901692969,772.790380003494,1217.8927049729984
962.116349776145,556.1005646285612,533.8021203780168,453.1763862163159,768.7013343495835,764.8641657437502,696.5939614113765,479.9649795189874,933.0426310014824,803.3890970553578,1409.5984699971975,1327.5442086177873
1004.9940491814008,526.3075726087112,595.9215854034189,929.717335433041,895.9540249301103,448.43008976134325,559.5930728798213,476.4004145978071,704.9616322256537,791.2011266611441,2046.406559990901,1234.7229407451105
1418.1323815119997,496.5145805888613,658.0410504288211,762.6253702399097,1023.2067155106372,1092.8516589118929,408.5134568293995,888.6065078959541,683.6710401202494,779.0131562669305,418.40698856024505,1188.1481860853912
1058.64506044452,466.72158856901126,720.1605154542233,1074.7707995108658,713.453705360916,847.8654434961334,466.8558884700668,485.39606664463344,662.380448014845,766.8251858727169,900.9267364943852,1240.8326956367905
1206.6918253301003,436.9285965491613,575.3825739825614,1177.2914934139014,403.70069521119495,602.8792280803739,525.1983201107341,535.0457881718679,348.0546407304906,754.6372154785033,626.0153806045523,1272.9270379065565
850.4099961917893,407.1356045293114,572.576819182191,1306.8761140246484,283.2067176109968,1271.7711733254955,583.5407517514016,685.5669219199413,1996.9303315012928,742.4492450842897,673.0602118006541,1308.904019248679
1145.4373513458522,377.3426125094615,569.7710643818205,729.1849679191388,646.1821082929861,669.1379975846575,641.8831833920689,785.3691316947894,727.4359447644695,730.2612746900761,607.6384501879318,1649.1000683987934
1016.4122232291636,347.54962048961147,427.2060936868928,476.852551755178,171.10801029803363,1153.8367711271935,1606.2280088997134,585.5442560364487,1174.3206833567417,718.0733042958625,606.5765429746731,1444.9655164693067
692.0321422114031,317.75662846976155,348.21330950561565,1379.058230969928,228.2375709563505,799.7469758378512,1445.7663964098326,579.6209926720682,1034.3372738655064,705.8853339016489,593.8943579691818,1582.7715158321596
606.1628740533974,287.9636364499116,434.80170429897913,930.4417255265912,227.8245545579693,529.3180564312196,1285.304783919952,457.4031332970853,880.6869594745611,693.6973635074353,588.1285204198174,1249.0567323479995
623.0825766583719,296.01570020566146,422.5325861885214,967.2393221074088,227.41153815958805,468.3053783141585,1124.8431714300714,751.4656085872335,819.748561074032,681.5093931132217,738.1273154063531,1584.5845826961283
687.1096145035298,304.0677639614114,410.2634680780637,1127.2856106610914,226.9985217612068,670.4804635567883,964.3815589401906,504.718582723061,835.8543233565908,669.3214227190081,724.3476213362941,1561.0959153493768
442.49537111314027,312.1198277171613,397.994349967606,1222.0633650718903,231.6567581147214,763.738357490202,803.91994645031,556.5792083998463,851.9600856391496,657.1334523247945,635.9192563067603,1541.2315651232277
590.5337068347537,320.1718914729112,385.7252318571483,1404.2619519039015,236.314994468236,644.6730252531629,852.3430604279292,604.2796451129517,931.2386344480178,644.9454819305809,1145.151502756775,1516.7952589534366
828.2044703555341,328.22395522866105,373.45611374669056,775.6067574174193,240.97323082175063,525.6076930161239,900.7661744055486,597.1327568878978,927.06704128253,632.7575115363672,707.2121150365579,1564.100421980434
522.4902127174771,336.276018984411,361.1869956362328,1224.979374162407,333.4614578418413,588.6571066712011,644.6704761781602,551.1809715783926,529.492073364033,620.5695411421536,412.5271912306292,1658.673722599751
697.9428096508354,344.3280827401609,348.9178775257751,1304.9601293634312,389.565311054906,438.7098271611858,872.3346267010667,553.6146164546848,896.9300121236489,657.4343271072171,331.51717164086807,1543.8225238020327
542.6209679589472,352.3801464959108,390.36848636867006,1730.6184766606054,427.5806495105518,706.2489265606439,1099.998777223973,506.5667238386064,932.5737753154692,694.2991130722806,767.2244588734192,1317.1604763137634
377.5014783632373,360.4322102516607,431.819095211565,518.4107005328617,465.5959879661976,753.6722287181512,1036.3140039514678,552.7616310422275,800.743404964076,687.9344432831064,528.9633706271419,1566.8016004080769
605.4076953347657,368.4842740074106,473.2697040544599,1373.5058676983554,503.6113264218434,402.7673306579037,972.6292306789628,507.37866869971145,994.6440846464278,681.5697734939322,528.3376184646646,1617.107283634734
766.4575951316971,376.5363377631605,514.7203128973549,819.9167300791365,679.1087503160751,424.06364752546943,609.3911531519886,576.4079959982738,966.0581305232648,675.2051037047579,433.409558342121,1627.1589037756544
539.6703908525798,563.2251169656755,556.1709217402498,981.5565974492074,487.01063448962327,427.9215368755936,745.3600566403686,989.6425677266304,820.3520013132629,668.8404339155836,487.5789761703,1499.1295846113512
