RMS_envelope_FM4,RMS_envelope_FM4.1,RMS_envelope_FM4.2,RMS_envelope_FM4.3,RMS_envelope_FM4.4,RMS_envelope_FM4.5,RMS_envelope_FM4.6,RMS_envelope_FM4.7,RMS_envelope_FM4.8,RMS_envelope_FM4.9,RMS_envelope_FM4.10,RMS_envelope_FM4
5.47338128508037,2.385507988408209,3.713601009488353,5.762380998370552,4.2545487248335165,3.967140184364144,5.242160376902845,5.805514625315862,7.580767282598939,3.6923318319854457,3.836443120640567,4.812153668924286
3.351166986637114,3.784974374118105,2.835258861072815,2.524850007242669,2.006843726722604,2.936578190977221,2.808640425977784,7.653601869676015,2.2093531796747845,1.5000000000000002,2.4534273587879687,12.175751838559956
17.533035023303082,1.0,1.9569167126572768,2.774476229573156,1.0,2.218289095488611,1.711690390768571,12.3080265765503,1.49999999999997,1.6391372610699513,1.0,6.862743148583582
14.561824975584788,1.0,1.4784583563286384,3.14437436171027,1.9412705210881385,1.5000000000000009,1.5000000000000022,27.76912820544152,1.499999999999968,1.7782745221399026,1.0,6.134674527675309
21.53747467626185,1.0,1.0,1.655414113128216,1.0,1.2500000000000004,1.736797777620386,3.024997086675026,1.5000000000000009,1.9174117832098536,1.0,4.459794256075137
5.488004828950248,1.0,1.0,1.8339593101510911,1.1666666666666698,0.9999999999999998,1.9735955552407696,2.8463516040642256,1.0,1.4999999999999998,1.5001238715554424,5.355625095237196
12.539124911237227,1.0,1.166666666666666,2.423150314106721,1.33333333333334,1.0,2.2103933328611536,4.580799803177801,2.035717455268111,1.5000000000000016,2.0002477431108847,2.526726785506819
7.534650363197111,1.0,1.333333333333332,1.3588078917881163,1.5000000000000098,2.7867290074073576,1.0,5.284755905984383,1.5178587276340556,1.5000000000000036,1.0,2.901317224887364
14.461743160669576,1.0,1.4999999999999978,2.310685751058965,1.2500000000000049,2.345982968144518,1.0,2.5515284003603007,1.0,1.500000000000005,2.540434654675627,2.2512479980808986
4.610708568199255,1.0,1.0,2.4507517925745086,1.0,1.9052369288816788,1.0,2.831800181285089,1.0,1.500000000000007,2.8540433565724994,3.027767645590034
10.848789644714078,1.0,1.25,3.4427772415285363,1.7611371740548492,15.841789839999754,1.0,4.395491751444412,6.555939513864227,1.500000000000009,15.28801967178204,3.4474954820054524
17.110663440227608,1.0,1.5,2.392428114233636,3.0514489850347744,5.364552388958406,1.0,2.949308631660432,3.065478811266183,1.500000000000011,4.572355578868548,4.281876407187355
1.9658133466218315,1.0,1.4999999999999991,1.4999999999999991,3.0951941550450206,5.316222254811833,2.9699778586147123,3.3969633620953097,2.371868753235581,1.5000000000000129,3.332684132290672,2.5366018710989056
3.3345082469734657,1.0,1.5000000000000004,5.498786115177452,2.332112462080131,12.509827283664247,2.6431291242668427,3.186761657149363,3.0822985567043384,1.5000000000000149,2.0690860649705005,3.048826364051436
2.3864244266818893,1.0,2.0552198811770284,1.0,1.888074974720088,1.7578643542705004,2.316280389918973,3.201678018377057,1.954611227243305,1.5000000000000169,2.151050690483051,2.862158136430621
4.194085212555567,1.0,1.975902755294596,1.7064490004718535,1.4440374873600437,1.0,1.989431655571103,4.325037402350207,2.0804433713236783,1.5000000000000189,2.316182748935842,2.344716315447551
5.511427438556815,1.0,1.896585629412163,2.919430470913338,1.0,1.678804670018117,1.6625829212232333,5.576191401590655,2.263219341888301,1.5000000000000204,2.9872685153343244,2.373763511525585
16.70175853676121,1.0,1.8172685035297305,1.950773680700672,1.419471264671775,2.5242931777159727,1.3357341868753634,4.44257660289636,2.445995312452925,1.5000000000000224,8.763514200649947,2.4533654286782647
17.840288381829968,1.0,1.737951377647298,1.0000000000000009,1.8389425293435504,2.342474659596186,1.4178670934376782,4.720448712669367,2.452843623831581,1.5000000000000242,7.942726272767506,2.2556165763990905
9.537595494546103,1.0,1.6586342517648651,1.965349573631932,2.258413794015326,2.160656141476399,1.4999999999999931,3.898569889863272,1.913942781519312,1.5000000000000262,3.2505940736087564,2.3574111361997825
6.701506553662385,1.0,1.5793171258824326,2.522128010477774,3.236830115381193,1.0,2.623976019935176,4.346592630615409,1.5000000000000229,1.500000000000028,3.3518918109365066,2.7070852644308427
20.816779618691573,1.0,1.5,2.382899812274897,1.0,1.5000000000000009,2.0619880099675885,9.132111452153032,3.0327900270909143,1.5000000000000129,4.310424028372299,2.487480612094408
4.096253706982884,1.0,1.45,3.735049728550665,1.7605360655323985,9.474359762356718,1.5000000000000009,8.256423235687496,2.364719053769052,1.4999999999999978,2.1792296286700337,2.3612959408053458
2.958682765200464,1.0,1.4,1.0,2.521072131064797,3.8617481680187615,3.5141465923631694,5.24105627349747,2.102774255770845,1.4583333333333313,21.674942736029475,2.227551534559366
1.8083775669667232,1.0,1.35,1.434021556970566,3.281608196597195,1.0,5.528293184726338,3.606077829685977,3.0237140280412724,1.4166666666666647,12.609580389645464,1.8678286824422647
13.204066563762602,1.0,1.3,3.738101998106744,1.5000000000000009,1.0,7.05512694809053,4.66779991462658,1.7512984452378997,1.3749999999999982,55.70570187171212,2.2267536413732425
41.430307407058415,1.0,1.25,2.239168025345564,1.0,1.0,2.8812784694093025,5.595651166279628,1.929886778662224,1.333333333333332,6.062331955569619,2.323788432945064
7.02735181536419,1.0,1.2,3.3484516493933194,1.0,1.0,1.0,10.213665506999469,2.136202914280592,1.2916666666666654,1.821999415254472,3.637778287125194
10.09689679350156,1.0,1.15,8.850407022984314,2.951341063194452,1.0,1.0,8.761659009012355,3.406645381030999,1.249999999999999,2.8089852693468385,3.488119661091753
16.907938881771354,1.0,1.1,1.930722388270729,5.773407286117236,1.4999999999999998,2.7805679286000657,8.369085292430553,1.7238987865928015,1.2083333333333324,1.0,4.545591549044114
8.05401174019908,1.0,1.05,2.2358872388557183,2.068058942474195,8.655821448981493,1.0,7.018161438717392,1.4999999999999971,1.166666666666666,2.145804789184872,4.886330871828765
3.6735133743664976,1.0,1.0,5.414757915951287,2.094170323954891,7.354687849689883,1.5000000000000002,6.422332516114734,1.4920934508783767,1.1249999999999996,3.821435946412536,4.120307961826192
2.669564378418382,1.0,1.4999999999999996,3.459087332636737,1.0,1.8827840843870187,1.3333333333333337,16.583306361012177,2.065113466541028,1.083333333333333,1.999023384573417,4.673933994440129
2.341884391657441,1.0,1.444444444444444,3.034270397676833,2.309006817895965,2.8852683869505094,1.1666666666666667,35.88511020983734,2.65553600615552,1.0416666666666663,1.7088540102598535,3.645510267266256
3.0126286334593537,1.0,1.3888888888888886,2.9690642701575607,1.2755734035851758,5.109379255952411,1.0,11.149977701852752,1.670499899805875,1.0,1.6086709029323087,4.273398869616685
2.941935049920286,1.0,1.333333333333333,2.50662965533006,1.5000000000000004,1.3502275533750436,1.670868156495025,3.0399060898090853,2.2943706483557555,1.0,2.1254389238804032,3.3513038373227984
6.056764334193469,1.0000000000000002,1.2777777777777777,2.243273319404358,4.287255347291724,6.290761078452055,2.34173631299005,5.259662824178614,3.6739180839796974,1.0,2.643283232317533,2.979883422775666
3.726326605578,1.0000000000000002,1.222222222222222,2.6664743059083174,4.190572710822287,3.3349212882385983,2.118113594158375,5.040783473255691,2.729222196345778,1.0,15.888862210950244,2.954586098512737
