Duration_envelope_Root_standard_squared,Duration_envelope_Root_standard_squared.1,Duration_envelope_Root_standard_squared.2,Duration_envelope_Root_standard_squared.3,Duration_envelope_Root_standard_squared.4,Duration_envelope_Root_standard_squared.5,Duration_envelope_Root_standard_squared.6,Duration_envelope_Root_standard_squared.7,Duration_envelope_Root_standard_squared.8,Duration_envelope_Root_standard_squared.9,Duration_envelope_Root_standard_squared.10,Duration_envelope_Root_standard_squared
10196.835778315906,4287.590906682987,12329.877868120504,7277.27180181039,5037.522288646779,5456.244905596833,19574.76909640493,9121.946204324602,8001.438990129674,2625.4961608811627,3769.040770906368,16144.113399537096
5889.289902965931,1449.2579016841962,6591.841772232972,2238.999160816579,820.0958321735064,2032.2688555164016,1963.234843181818,3102.726771069027,2013.876326296864,959.7788892107264,2748.8137598437543,2679.182405559715
10368.851681877068,689.2722963259423,853.8056763454414,4009.3357817523975,711.2670230107934,2158.827983565931,1129.628583120102,3834.401035100955,1044.5625535850838,923.9668731036128,1173.96337412939,2710.993058551981
18380.49861971712,658.2375266201063,806.7838256225588,1169.7825621602915,1231.9105633948773,2285.3871116154605,1228.326123142749,9781.866621597756,951.9997185239116,888.1548569964995,916.1751466474952,9785.391928461968
24670.712993761656,627.2027569142703,759.7619748996761,1023.6104330850056,687.0427929084888,1624.4877778014277,1168.8814432804104,10453.912678340272,825.1255520303514,852.3428408893859,945.5237304016448,13692.055461659338
34263.86686543716,596.1679872084343,628.0297247261849,772.7305519258441,866.9874079329528,963.5884439873944,1109.4367634180717,3786.2084321122975,1044.91768179553,1213.430906366295,1913.0973019578653,28432.766689222364
27455.069806578143,565.1332175025982,780.7080138442612,1485.0483034793283,1046.9320229574168,498.2184556677232,1049.9920835557327,2740.2242468588647,1125.054147863911,1191.9295098570492,2880.670873514086,34752.68549739944
24739.446280031512,534.0984477967622,933.3863029623376,1274.9845625530552,1226.876637981881,2256.2360801661885,517.6480530629316,1994.636966787437,986.49811868897,1170.4281133478034,562.7132124801793,35402.69684921591
23720.037071861265,503.0636780909263,1086.064592080414,1948.0400128019005,872.2959185163929,1757.457653239438,553.3172691259447,1055.8078676894484,847.942089514029,1148.9267168385577,8938.479101393177,36177.79794578106
29598.761676307287,472.02890838509023,639.1318008034054,1859.706057672924,517.7151990509047,1258.6792263126877,588.9864851889579,1196.2990704324925,442.5344097891499,1127.4253203293122,9833.7837146872,38538.4782011113
8129.690184647653,440.9941386792542,727.8657851942321,2014.3554011982303,626.7678539914398,7979.038554928661,624.655701251971,6704.029317968179,4056.7258543972553,1105.9239238200664,6340.82059374942,39220.31842581692
22157.76548349329,409.9593689734182,816.5997695850587,1132.1327452932594,951.8989619071464,4835.928613644702,660.3249173149841,8590.904407375869,1563.1473664776784,1084.422527310821,4438.873795058779,42267.54364463691
