Energy_Variance,Energy_Mean,Energy_P13,Counts_Variance,Energy_P10,Duration_Variance,Amplitude_Standard_deviation,Duration_Mean,RMS_Mean
-0.4539090875714466,-0.4104609104196031,-0.0553276129429519,-0.4355110403589733,-0.4835884735250886,-0.4500480549555495,-0.4652589521406479,-0.393831341688074,-0.2651696265140596
-0.4472171688514295,-0.4018110759651364,-0.0745794613088183,-0.4291755863005282,-0.4762982128160062,-0.4434318389464899,-0.4580900971376215,-0.3899495673608907,-0.2579296533443595
-0.4408127569867404,-0.3934242266063177,-0.0938643643570826,-0.4231088131744558,-0.4693280229964173,-0.4370990957137023,-0.4509391571281682,-0.3886649351737573,-0.2526340840986799
-0.4346758375029846,-0.3852804207002194,-0.1131857332195901,-0.4172922516971677,-0.4626551487087801,-0.4310301443707482,-0.4437268462938237,-0.3895536430763439,-0.2491147305950953
-0.4287882937396348,-0.3773616264409483,-0.1325458555751449,-0.4117091624970261,-0.4562590369384552,-0.4252071653586451,-0.4363825267808037,-0.3920360354136592,-0.2470513062368266
-0.4231336815762063,-0.3696514942623451,-0.1519459932478887,-0.4063443332128515,-0.4501210703293635,-0.4196139800627398,-0.428853492907395,-0.3955027610039363,-0.2460444734915061
-0.4176970360020616,-0.3621351615001016,-0.1713864684162812,-0.4011839039411669,-0.4442243389358614,-0.4142358615049874,-0.4211116512791899,-0.3994039245460401,-0.2456816353455191
-0.4124647043433289,-0.354799084048411,-0.1908667403571161,-0.3962152164670853,-0.4385534440309593,-0.4090593710624284,-0.4131552303427946,-0.4033027706453485,-0.2455889983475241
-0.4074242019113285,-0.3476308907132012,-0.2103854743195757,-0.3914266835414943,-0.4330943287825027,-0.4040722170862158,-0.4050060641138965,-0.4069035846072434,-0.245469382046828
-0.4025640865949352,-0.3406192567345035,-0.2299406038551945,-0.3868076751288508,-0.4278341315543559,-0.3992631320322038,-0.3967028683344841,-0.4100616481596526,-0.2451267600775328
-0.3978738495271612,-0.3337537935681404,-0.2495293877081872,-0.3823484190818452,-0.4227610583444399,-0.3946217653051648,-0.388290744830279,-0.4127765856083747,-0.2444768032136294
-0.393343819446434,-0.3270249525147924,-0.2691484621874147,-0.3780399141292399,-0.4178642714776209,-0.3901385894955705,-0.3798109332072762,-0.4151717461867352,-0.2435430757625354
-0.3889650787704388,-0.3204239401880041,-0.2887938897885097,-0.3738738534126317,-0.4131337921609176,-0.3858048180746894,-0.3712949043541397,-0.4174673891484757,-0.2424408152637333
-0.3847293897242166,-0.31394264414137,-0.3084612047066352,-0.369842557093284,-0.4085604149058409,-0.3816123329290825,-0.3627642452797955,-0.4199751341462056,-0.2413597207985206
-0.3806291291293531,-0.3075735672441622,-0.3281454557723019,-0.3659389127843379,-0.4041356321468469,-0.3775536203738937,-0.3542347626818842,-0.4230326450183173,-0.2405190571370812
-0.3766572306791859,-0.3013097696158939,-0.3478412472509162,-0.3621563227567333,-0.3998515676506352,-0.3736217144969063,-0.3457169071843835,-0.4268820837930051,-0.2400762296636457
-0.3728071337051545,-0.2951448171130336,-0.3675427778684161,-0.3584886570269493,-0.3957009175298578,-0.3698101468610345,-0.3372253062789616,-0.4316331426937553,-0.2400968744357717
-0.3690727375889219,-0.2890727355126333,-0.3872438783582064,-0.3549302115674799,-0.3916768978558144,-0.366112901738755,-0.3287923587890925,-0.437229054769253,-0.2405350870106515
-0.3654483610994345,-0.2830879696638569,-0.4069380477666466,-0.3514756709918115,-0.3877731980150339,-0.3625243761735153,-0.320462863243162,-0.4434769152526963,-0.2412508427560267
-0.3619287060382394,-0.2771853469839017,-0.4266184887043857,-0.3481200751584957,-0.3839839390799979,-0.35903934426482,-0.3122780953983172,-0.4501028620640447,-0.2420456675267707
-0.3585088246637908,-0.275979508921885,-0.446278141687453,-0.3448587892169787,-0.3803036365691894,-0.3556529251590615,-0.3042617857014764,-0.4568082858057937,-0.2427042967658954
-0.3551840904391116,-0.2752588555329953,-0.4659097186743812,-0.3416874766836943,-0.3767271670597952,-0.3523605543000885,-0.2964136865359623,-0.4633265585962967,-0.2430388098099594
-0.3519501717094098,-0.2745983567609207,-0.485505735873159,-0.3386020751926714,-0.3732497381907103,-0.3491579575543179,-0.2887127856298605,-0.4694764282132725,-0.2429286297060332
-0.3488030079690213,-0.2739958169483376,-0.5050585458635934,-0.3355987746122407,-0.3698668616563523,-0.3460411278767775,-0.2811281017214947,-0.4752022725244105,-0.2423477282405024
-0.3457387884219449,-0.2734491633094197,-0.5245603690564941,-0.3326739972597503,-0.3665743288451437,-0.3430063042283635,-0.2736320771812107,-0.4805930919817999,-0.2413733454439313
-0.3427539325785288,-0.2729564370499257,-0.5440033244904725,-0.329824379980645,-0.3633681888219359,-0.3400499524920482,-0.2662114270933154,-0.4858773992350076,-0.2401750568014417
-0.3398450726636515,-0.2725157852620837,-0.5633794599497219,-0.3270467578877867,-0.3602447283924315,-0.3371687481678444,-0.2588728542140738,-0.4913946818535684,-0.2389859020347096
-0.3370090376398596,-0.2721254535154958,-0.5826807813717215,-0.3243381495822467,-0.357200454020858,-0.334359560653851,-0.2516446467617957,-0.4975439162614072,-0.2380578376524917
-0.3342428386731236,-0.2717837790743832,-0.6018992815021176,-0.3216957436986571,-0.354232075400674,-0.3316194389443894,-0.2445766730501929,-0.5047051405189893,-0.237602135026121
