Time (cycle),Amplitude_Mean,Amplitude_Variance,Amplitude_Skewness,Amplitude_Kurtosis,Amplitude_P5,Amplitude_P6,Amplitude_P7,Amplitude_P8,Amplitude_P9,Amplitude_P10,Amplitude_P11,Amplitude_P12,Amplitude_P13,Amplitude_P14,Rise-Time_Mean,Rise-Time_Variance,Rise-Time_Skewness,Rise-Time_Kurtosis,Rise-Time_P5,Rise-Time_P6,Rise-Time_P7,Rise-Time_P8,Rise-Time_P9,Rise-Time_P10,Rise-Time_P11,Rise-Time_P12,Rise-Time_P13,Rise-Time_P14,Energy_Mean,Energy_Variance,Energy_Skewness,Energy_Kurtosis,Energy_P5,Energy_P6,Energy_P7,Energy_P8,Energy_P9,Energy_P10,Energy_P11,Energy_P12,Energy_P13,Energy_P14,Counts_Mean,Counts_Variance,Counts_Skewness,Counts_Kurtosis,Counts_P5,Counts_P6,Counts_P7,Counts_P8,Counts_P9,Counts_P10,Counts_P11,Counts_P12,Counts_P13,Counts_P14,Duration_Mean,Duration_Variance,Duration_Skewness,Duration_Kurtosis,Duration_P5,Duration_P6,Duration_P7,Duration_P8,Duration_P9,Duration_P10,Duration_P11,Duration_P12,Duration_P13,Duration_P14,RMS_Mean,RMS_Variance,RMS_Skewness,RMS_Kurtosis,RMS_P5,RMS_P6,RMS_P7,RMS_P8,RMS_P9,RMS_P10,RMS_P11,RMS_P12,RMS_P13,RMS_P14
250.0,0.1064761268007666,0.0168743662690398,2.561243383306499,7.63033702537369,67533.94900806899,21037.78848133825,93367.69793324544,182023.9115427037,0.5129419379131457,0.3115142649043764,3.882656966807917,34.00934395828619,0.15379463629157,64472.418511556585,0.5083226478613969,0.2843744505378429,2.360070179866836,6.066940209327694,77953.40974268332,50052.07489510736,104905.290864508,186674.12051691677,0.5619701894082383,0.6420767874083305,1.312391738749129,5.340329566485305,0.5209298023830242,70202.46406541833,106435.62835295904,14164410249.207563,1.0485933733043151,-0.4529474847127388,59453.52816288819,17365860.112508602,79800.41896122337,169194.93522846,0.4716477999384008,292.0913299700293,0.0053469304719159,5.5176589046667774e-05,4535.518863041444,53229.54870531442,228.01642430491367,4411323.94760396,9.188243375774372,83.0495982343901,2156.511903220256,53049.85548122034,4122.258998001273,153680.18376670495,0.0268236209572672,24.59984357239232,3.044583946526705,11.048491218631916,24.6538354424716,3513.1859697248874,2.0770891972232253,4.957593060906781,2.382489707908258,6.889707332761194,78116.05342951042,94461.53901311646,101970.70639472795,182822.055956527,0.5577593242851149,1.209246177526822,0.7481218458114964,1.5173126243919624,1.4540603360746298,65543.17019520563,0.085892301865788,0.0238231651119755,6.153478569100423,44.40412560017164,73450.47735206467,23274.790954374665,108175.28750519734,201032.43445698527,0.5380986794364444,0.3168773273291793,3.2682208426510586,28.891568180353545,0.1380498948919229,79416.12055235346
750.0,0.0726544422512204,0.0251832833315254,4.852084782224624,26.09131924536392,50135.37726812858,17739.535414970505,82733.8890400456,187766.8219458009,0.440620383210868,0.353832690239825,5.753940034278097,59.44427404191232,0.1161635237497312,65812.91926265688,0.5684941417699549,1.99609939180334,3.709531486057796,13.93167684667194,31146.60548243551,33747.50709520264,54529.47519451618,168772.04174416905,0.323095428786564,1.0835051387617138,3.553571896293205,18.47918752871481,0.4890920838608981,44758.82741885531,22472.092819423364,27277950.301734988,4.477483620675143,41.788246879091794,124589.72730533298,11327037.331432613,145711.98545273204,198645.14607567457,0.733529050829274,90.91469719388144,0.0002327662295833,7.864870866247088e-05,1614.3589413949746,75560.45628872265,250.96619550302955,5311638.066133443,9.0980337672543,80.92443463325826,2031.4280222482816,37152.67873172775,3102.6971398081864,134541.4663713169,0.0230612704282941,18.28894665468336,4.166060235569866,22.02198857814559,29.409260812266083,2345.2142187438512,1.5909668210996657,15.584755342681987,4.594041296511733,22.123266127016628,46114.68752954828,77398.09693872003,76758.4729713401,189633.75970687243,0.4047721939911437,1.6783827688114925,1.501403507685424,3.4847687703848416,1.1305842920393607,61362.03033590131,0.0527249444111965,0.0094837079853124,4.449767386516942,24.57570038712495,59816.31074522862,16708.535573978916,94196.2110344524,195902.56817957983,0.4808319355369793,0.2793307605536623,5.676068018965645,63.52221150742493,0.0939693486868755,72766.30499123437
1250.0,0.0669684617531344,0.0351847287659083,5.817850023233498,38.85301019210177,34364.418786035414,13485.416297214404,62421.68659831281,178616.47858208755,0.3494732798106609,0.392423814328978,8.939341899510149,118.82024555065966,0.1001787815756962,52110.97465290744,0.229387413088247,0.425885484384107,6.588827481259579,51.33440542300357,39618.402723476,26048.46469345543,67287.39892063293,176664.41172272243,0.3808769308118579,0.6574839696407129,4.293159521488287,29.17955059939342,0.2583775242477359,54387.27993883187,7828.745986297614,630480279.255085,6.617235343358122,53.40837766889896,31926.82880814668,4292277.6281418,58074.56861850968,174508.197754132,0.3327899168400792,134.44108883894384,0.0285577114488175,0.0011632910815295,622.7921297261798,48511.16492603827,10.063766212632116,8355.850996827492,9.225189312526506,84.09186899912362,2470.746451347,24503.73505019626,8109.712925470432,172102.67661649737,0.0471213643210302,9.917543354898813,6.607751840433294,51.65017669795649,1.953005296896533,7724.173464306612,1.0928798226026804,8.67890302544062,4.236201654196353,18.594387356680286,34531.4240293535,51127.83627880581,59869.15689026202,180117.07687380575,0.3323902315614846,1.480617661042432,2.5241845402451237,8.814061417133281,0.7818617782804523,48907.02098120265,0.0570493948846908,0.0222924720554305,6.021096800824975,42.41004213395098,39636.69587950304,12823.86653717066,66735.9319645365,179475.79960713763,0.3718380534346006,0.3235352052591787,9.136863371802855,127.13624750109727,0.0901714416557725,53690.00796173374
1750.0,0.0733625305890738,0.013187166162817,7.837782872381388,72.5321830820399,90412.73199828458,21831.94175321909,121125.66024331252,196998.38552502412,0.6148561061579171,0.241469771686949,1.973424145770232,26.69520036027024,0.1246632045924778,80603.74347376643,0.7309128174772119,0.4853015932488009,5.016616861029255,39.11431545126569,95429.37389629328,64617.51535870237,121734.87619629849,192106.5635163972,0.6336841072372202,0.6771239579641869,0.6117141846347092,2.751929413082744,0.6928646182336045,75581.84094271307,52579.50529632805,259132794.5412149,0.4858405935477762,2.4390648230252667,125973.53268444203,17985926.290878817,148397.42426290456,204036.9527204432,0.7273066093386924,142.77543788450183,0.0003064298644775,3.117947990166218e-05,3117.035748015604,78437.64779024362,560.0914835697542,26444517.58108155,9.07855334376271,80.44574149859992,2040.457747972972,58940.19459747926,3219.616518776035,146463.8241333541,0.0219823327557295,28.88577068357898,2.868333986251994,9.914856334388466,53.29529083387738,2490.474393908233,1.4772202882284602,2.672622750707138,5.41309090072137,37.3854918975678,97678.3500038391,93925.18570351946,124551.38362286933,194592.6218885019,0.6400622100371054,0.9615762930048252,0.3913785832099427,1.3047675109263694,1.1804574604843383,77278.63290003692,0.0834444484345389,0.0289711846468732,7.326911194314947,61.75646070114027,76958.97716547213,22906.561875321506,110502.60901326094,193546.72924518675,0.5709350369505611,0.297646391870169,2.556457543869042,25.923232571476422,0.1379552770649576,79297.80849671672
2250.0,0.0933206677903822,0.0061139907572297,1.6482510655613984,2.701594708707997,88387.16145603069,21272.925903708885,112523.61136992388,186255.0164616274,0.6041373462448792,0.2406789125623337,2.541988573535191,26.51928460285349,0.1459848389115221,69636.72023778278,0.703306849639077,0.4037448296558918,2.607596899265375,10.049772343196752,90072.314651357,62843.53996516318,117168.11317095449,190538.47365621044,0.6149315197221614,0.6977009551537754,0.7323552993413859,2.981886417541859,0.6735970166292603,74935.60487103937,50735.59602430292,2627728285.573755,2.929611904030685,11.715720460382784,85590.53282788009,16139931.021133265,111625.04082471682,187026.77097307192,0.5968399082331832,188.57145162993865,0.0033262874482172,4.6449588427035344e-05,2935.982678861391,71654.80046276924,190.08688650427172,3393126.154222085,10.568026861000687,117.87521538264004,1873.7376220921687,63311.243728787966,4959.600491925312,172339.19724798133,0.0287781338843587,33.78874554383778,2.696266511348325,8.31892081597052,19.21691865579389,4592.030527235439,2.351367246787877,4.390291717172634,2.0399608403344085,5.816295271600794,89863.86446316988,105375.93551133576,113127.84958025324,185352.69698358516,0.6103382978574726,1.172617449080697,0.5039257777327028,1.0586236383487817,1.6380010646598424,68719.69306099553,0.0998410063619184,0.0196730245495913,5.580751681684443,40.541375580102574,75489.31698860081,22980.341143553625,104823.69738194214,188616.758504579,0.5557496492518578,0.3044184536339592,2.84836003674923,26.148449722294583,0.1525417681182222,72728.05891411875
2750.0,0.058976507952753,0.0007313070469906,0.6714388990183676,0.4569690026289437,126407.53538286316,17944.34163917751,146419.4516588198,197236.2931454204,0.742355523538795,0.1419562653826584,-0.0094088304469571,31.685300414280704,0.1043471010719476,73890.39736325463,0.6208850314619061,0.2813381957614275,4.4553580320215325,27.54032055981572,115872.59941951954,62200.97228451414,140206.36152310105,198909.3132406429,0.7048758011319345,0.5368048408003174,0.1484415545427937,2.8550526974754957,0.6132388605438976,78938.99236315388,58981.312337529234,1394170437.5446987,2.758857752815871,15.434484781374074,118572.21884175824,18616893.247493397,141193.54556700264,196901.64189041744,0.7170765272012395,157.00889659776678,0.0003463171175346,3.02341596017123e-05,3319.7791052464804,76656.67765252703,549.8124675070659,29405753.425136264,11.062640863180588,131.30504790984256,1763.00008310354,66230.41017778484,3329.60726576309,161879.54264995718,0.0205684252083842,37.56687864767115,2.620440075757595,8.017921878267417,56.6461756598414,2824.5557617436534,1.304342685901974,0.5478413857854827,1.7546621837689182,7.558035883401502,125823.1833068049,83940.10224457948,145716.78923532052,196997.0545556788,0.7396901926477051,0.6671274723665312,0.0256945438651433,1.4292980042718595,1.0658299670590416,73497.68164774316,0.0675123372195212,0.0222475627093712,8.08143315849234,71.00654070861961,85707.42678647563,21495.832158691304,119121.80906786454,197933.1915285835,0.601828365156544,0.2508047781231869,2.1954708834185226,28.32454597576528,0.1176125411647803,82729.93647550864
3250.0,0.034571048795162,0.0003758773449723,1.5605495980660025,6.034565994415216,126063.46801494186,14028.077246063784,146915.77532129208,197647.127361482,0.7433236054708449,0.1112778941191835,-0.2656716840318653,52.26930549933023,0.0700450984952443,75446.98185018472,0.362956834002257,0.1750977965521779,8.098469851655238,79.86654369800635,113053.44242826477,47818.861745071525,138134.43997297855,197659.83839486423,0.6988493013792106,0.4229757247366774,0.2223159033387768,4.770046539976003,0.4143426255976571,79372.80807535694,34628.919668983865,1689930949.7224145,8.528685941035395,96.2893373238037,109772.31583807566,15013326.904883211,136231.31554170238,197379.40245977716,0.6902002632694372,136.76787986352826,0.000840266121278,4.85136829585106e-05,2261.1692242064823,80678.43584111334,284.65615155378254,7142966.687650598,9.708119620449343,96.1478747783208,1930.6162333308357,51341.323544587845,3603.794338236727,161568.3404992794,0.0223050773876878,26.59323104105997,3.400865041386412,13.368852132260248,32.08586709031808,3043.0337809341763,0.8078209632752374,0.3056173155020352,5.004655952629333,46.768077747037246,122833.25216412972,69046.65844047986,144877.9273552308,198217.5332789156,0.7309036943334893,0.5621169937617524,0.0071347498251019,2.1804657510498338,0.7443817842979854,76821.91092084894,0.0521868273685081,0.0180275521211908,7.701756890433218,64.66136904831716,79921.25030326363,19304.225223046946,116310.60445458235,200364.01513485404,0.5804964747602013,0.2415405808817613,2.9135692929057764,37.66968770749717,0.0988767662921543,84502.96124132813
3750.0,0.0332338627492115,0.0004684073511183,2.359227105094449,10.272727781770431,114962.20255556876,14370.333518489188,139391.69667210407,198536.40018227967,0.7020964243540537,0.1250005062450248,0.7638900847257902,52.2882290611138,0.0691990463683665,78827.26105035139,0.4005957652524082,0.1181301275120901,4.453396543953013,30.191770807321056,107216.97500749382,50717.921256087815,133853.2208952744,198154.06762359865,0.6755007479812818,0.4730400316978066,0.4087344578329486,4.321312044658688,0.4480499572573764,80132.42174227336,22104.964009312986,533163231.2346234,4.088891757836532,21.86467998799972,99963.08641168696,11760936.887386229,127475.56712445884,195159.0051525221,0.6531882401472237,117.65279874362928,0.0025081210803768,8.098125776953832e-05,1616.378393431234,79103.73928425902,90.27113731839648,929085.5893349154,12.158797327415456,155.47735292377837,2412.413773426909,46423.15665426635,5449.172242692373,175961.18669079413,0.0309680353103543,19.243447026220885,3.918125518317165,17.037904576624257,11.86934009546894,4886.075922077877,0.7491156573796631,0.2147676169769088,1.841707875889512,8.882710183818958,122454.40865685228,64872.196601773154,143571.96395345766,197479.0021691229,0.7270239487563408,0.5297661171478211,0.0963230502920876,2.3845462383675056,0.7107944788505437,74952.162303389,0.066495192104404,0.0184679949457351,5.2823377441096175,28.247373459765303,76873.08389618719,21177.363443805283,112490.13142397183,196937.9483779502,0.5711958124398061,0.2754847648938363,2.80762899014649,30.88070657250175,0.1179234883821676,82125.26188738897
4250.0,0.0269310423833388,0.0002375787705413,0.97630134167604,0.7479061592511491,117934.3051572756,12617.582674762058,140783.5935656036,196157.2049923736,0.7177079912566923,0.1069882309302235,0.4685169056536308,63.08739788695715,0.0591733766205112,76886.40897008826,0.3674700149300053,0.0982111296389295,4.06684677409991,27.88210491823709,104344.50427892816,48902.177057635,131892.30384109973,197994.8526875556,0.6661400640007115,0.4686607828133651,0.4949697431412835,4.659660527615768,0.4212851147603084,80670.9628013557,20817.377887175837,211970022.75185108,3.2403102280798364,19.62129824668301,113375.20292007372,11179383.032113478,137322.64044754644,195470.28251549797,0.7025243872385498,98.6051865326726,0.0010102020980241,8.200651978545634e-05,1542.3111314421296,77482.7138290743,207.2124245843604,3634189.994063839,9.139958899764014,81.95927682682952,2068.107561300512,45500.329240218765,3777.322918422082,162623.1159804156,0.0232274661301962,22.00094912452536,3.9203255474757137,17.516718995658273,22.55860871041983,3160.8700613799947,0.7299981770675866,0.1950369677269221,1.545978701956972,4.869647605032049,118756.01005291576,66363.4701332115,141901.48912809696,199411.21176328984,0.7116023611377502,0.5588219922818307,0.1579422326264068,2.305945526754476,0.7055016980298412,77672.66374396588,0.0691041293971113,0.0063215890575402,5.260828725327804,34.448848240891785,95293.07660297344,21132.57908880334,124672.68002405256,193485.63770401475,0.6443510820930852,0.2217640550829265,1.4354722414648258,25.153842154805147,0.1214601171451532,80389.71760069583
4750.0,0.0272854064531647,0.0002275710596809,0.7464746027754809,0.556525468631357,121309.49776922926,12482.278980694611,142920.5143954261,197747.18470385516,0.7227436112906634,0.1028961392985076,0.5862164973899948,64.87299507315517,0.0597509205091743,75566.38926156632,0.3624391661147626,0.0891111283406159,4.200765891119324,28.34311514806518,110466.28719143358,48655.35847512885,136874.03196099974,199455.4015434956,0.6862387827142971,0.4404543658719251,0.3348561255524012,4.600952460115387,0.4211231639384642,80818.93354530541,18042.38209213307,159534789.6057703,2.384129855459633,10.350638034350816,116227.55035590928,10232534.726995084,138968.02082950046,194717.87755095496,0.7136890694237074,88.03880573634439,0.0007733382802305,9.546672230801089e-05,1384.9361497879877,76179.17925216211,122.06194483182692,1376698.1690782218,10.39815959417466,114.09986849033992,2088.7913006158046,47876.83952473802,4810.6102809734975,179487.11173581594,0.0268019816824182,22.920834413003952,3.8954008817153047,16.62823218261911,11.858121438501575,4333.465377487128,0.805047215672168,0.1741644929767384,0.5956044781746505,0.4440923411713786,127878.74660086268,66618.10957426827,147870.4157099628,198965.66088616577,0.7431956602529716,0.520947470514376,0.0239566105404269,2.157775240584665,0.7586167370510102,74247.46467071831,0.0737926354772815,0.0163992866633862,7.08344576489687,56.34106612395984,87879.67420067551,22618.176237562297,121060.03869306826,199818.6361520089,0.6058495895296458,0.2573766510093461,2.062707929204116,25.539575391023984,0.1268608986765949,83262.81181145826
