Time (cycle),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
71000.0,19.07621704828183,6.60256602218256,0.217535895080572,-0.2261682122577775,26.4925125630162,13.068177698318497,-0.1561075455093273,-0.8460789269022286,442605.2864990257,300580.5154186916,1.6302437049208507,3.2061489769763964,11.429132372826553,6.600335937192562,1.0026362807121347,0.3303240967924719,90.06734814731658,57.62042676182757,0.3944741099254296,-0.5831811850035336,19.619809775180823,7.54294987939188,-0.4150971679915503,-0.983332996782306
71500.0,19.265440659606767,6.659719653547525,0.1807494243780231,-0.1775083061900699,26.52269799260465,13.128716924609849,-0.14894299614503964,-0.8516027623019742,441016.15097405465,299161.3445696352,1.599429796454057,3.1261081910572686,11.394005499278702,6.579773086466939,0.9755174014221559,0.2992754472087294,90.04669035555212,57.39983871964523,0.3825157881730702,-0.5939270721565314,19.65287046633914,7.555584931376489,-0.41854833279263787,-0.9725379486113189
72000.0,19.45466427093171,6.716873284912491,0.14396295367547424,-0.12884840012236232,26.552883422193105,13.189256150901201,-0.14177844678075202,-0.8571265977017197,439427.0154490835,297742.17372057884,1.568615887987263,3.0460674051381402,11.358878625730853,6.559210235741316,0.9483985221321771,0.26822679762498686,90.02603256378765,57.179250677462896,0.3705574664207108,-0.6046729593095292,19.68593115749746,7.568219983361098,-0.4219994975937254,-0.961742900440332
72500.0,19.643887882256646,6.774026916277455,0.10717648297292535,-0.0801884940546547,26.583068851781558,13.249795377192553,-0.13461389741646437,-0.8626504331014653,437837.87992411247,296323.00287152245,1.5378019795204692,2.9660266192190123,11.323751752183002,6.538647385015692,0.9212796428421983,0.23717814804124437,90.00537477202319,56.95866263528057,0.3585991446683514,-0.6154188464625271,19.71899184865578,7.5808550353457065,-0.425450662394813,-0.9509478522693449
73000.0,19.833111493581587,6.83118054764242,0.07039001227037647,-0.031528587986947104,26.61325428137001,13.310334603483906,-0.12744934805217673,-0.8681742685012108,436248.74439914135,294903.832022466,1.5069880710536754,2.8859858332998845,11.288624878635153,6.518084534290069,0.8941607635522194,0.2061294984575019,89.98471698025871,56.73807459309823,0.346640822915992,-0.6261647336155249,19.7520525398141,7.5934900873303155,-0.42890182719590053,-0.9401528040983578
73500.0,20.022335104906524,6.888334179007385,0.033603541567827605,0.017131318080760488,26.643439710958464,13.370873829775256,-0.12028479868788908,-0.8736981039009564,434659.6088741703,293484.6611734096,1.4761741625868816,2.805945047380756,11.253498005087302,6.497521683564447,0.8670418842622406,0.17508084887375938,89.96405918849425,56.5174865509159,0.33468250116363263,-0.6369106207685227,19.785113230972414,7.6061251393149245,-0.4323529919969881,-0.9293577559273708
74000.0,20.211558716231465,6.9454878103723505,-0.0031829291347212907,0.06579122414846811,26.673625140546918,13.431413056066608,-0.11312024932360144,-0.8792219393007019,433070.4733491992,292065.4903243532,1.4453602541200876,2.7259042614616282,11.218371131539453,6.4769588328388235,0.8399230049722618,0.14403219929001687,89.94340139672978,56.29689850873356,0.32272417941127324,-0.6476565079215206,19.818173922130732,7.6187601912995335,-0.4358041567980757,-0.9185627077563837
74500.0,20.400782327556403,7.002641441737316,-0.039969399837270186,0.1144511302161757,26.70381057013537,13.49195228235796,-0.10595569995931381,-0.8847457747004474,431481.3378242281,290646.3194752968,1.4145463456532938,2.6458634755425,11.183244257991602,6.4563959821132,0.812804125682283,0.11298354970627439,89.92274360496532,56.076310466551234,0.31076585765891385,-0.6584023950745184,19.85123461328905,7.6313952432841425,-0.43925532159916325,-0.9077676595853967
75000.0,20.590005938881344,7.059795073102281,-0.07675587053981905,0.1631110362838833,26.733995999723824,13.552491508649313,-0.09879115059502616,-0.8902696101001929,429892.20229925704,289227.14862624044,1.3837324371865,2.565822689623372,11.148117384443752,6.435833131387577,0.7856852463923042,0.08193490012253188,89.90208581320086,55.8557224243689,0.29880753590655446,-0.6691482822275162,19.88429530444737,7.6440302952687516,-0.44270648640025084,-0.8969726114144096
75500.0,20.77922955020628,7.116948704467245,-0.11354234124236792,0.21177094235159089,26.76418142931228,13.613030734940665,-0.09162660123073851,-0.8957934454999384,428303.066774286,287807.977777184,1.352918528719706,2.485781903704244,11.112990510895902,6.415270280661954,0.7585663671023253,0.05088625053878937,89.88142802143639,55.635134382186564,0.28684921415419506,-0.6798941693805141,19.91735599560569,7.65666534725336,-0.44615765120133843,-0.8861775632434226
76000.0,20.968453161531222,7.1741023358322105,-0.1503288119449168,0.2604308484192985,26.794366858900734,13.673569961232017,-0.08446205186645088,-0.901317280899684,426713.93124931486,286388.8069281276,1.3221046202529123,2.405741117785116,11.077863637348052,6.3947074299363305,0.7314474878123465,0.019837600955046886,89.86077022967191,55.41454634000423,0.2748908924018357,-0.6906400565335119,19.950416686764008,7.669300399237969,-0.44960881600242597,-0.8753825150724356
76500.0,21.15767677285616,7.231255967197176,-0.1871152826474657,0.30909075448700607,26.824552288489187,13.73410918752337,-0.07729750250216325,-0.9068411162994295,425124.7957243438,284969.6360790712,1.2912907117861185,2.325700331865988,11.042736763800201,6.374144579210707,0.7043286085223677,-0.011211048628695597,89.84011243790745,55.1939582978219,0.2629325706494763,-0.7013859436865097,19.983477377922327,7.681935451222578,-0.45305998080351356,-0.8645874669014485
