Amplitude_P14,Amplitude_P14.1,Amplitude_P14.2,Amplitude_P14.3,Amplitude_P14.4,Amplitude_P14.5,Amplitude_P14.6,Amplitude_P14.7,Amplitude_P14.8,Amplitude_P14.9,Amplitude_P14.10,Amplitude_P14
60338.54172779383,63578.656267105325,55120.16466566341,60971.21398648012,28977.23352596696,73064.24530872577,52131.07747130207,60152.02877465867,40815.238855200674,25295.719096496643,37365.5324590556,64472.418511556585
59077.82061709481,21541.80878498488,11598.712573496308,44800.77029835735,9799.43810849579,51667.56756977159,44695.97080656433,52967.47357513128,42862.69317296946,11489.814451987077,58530.05939357339,65812.91926265688
71126.06577438046,9803.664718905611,6587.212539234597,62721.08360331235,16101.791899301334,1615.7266305553003,38364.82378361151,31476.86450488103,10733.699321741598,10527.694699792664,18604.60821015558,52110.97465290744
75940.93646518484,1615.7266305564494,9136.707640423718,36080.11831281564,15043.189724894291,13000.291589203209,15758.439924899025,77186.41126627305,11385.795767011696,1615.726630559357,16322.053649731166,80603.74347376643
78144.41895980248,10474.933049090698,9485.002251766273,16753.84802153837,2627.226538521129,10727.638237808702,10213.648583976988,81733.60911144028,11754.227806053952,12627.64715237106,16945.195786689357,69636.72023778278
81565.22073775734,1615.7266305584096,10478.427897645544,37512.424829181815,10498.125969753504,14586.8827627896,1615.7154878631873,37914.196877495706,12118.741210971046,25861.58610238149,1615.7266305569992,73890.39736325463
81822.02368500867,1615.7266305554851,1615.726630547612,33711.07481773655,1615.7266305491053,16730.53318783382,27896.56038969505,31010.172040656405,25719.43975299595,1615.726630562217,50648.81418912507,75446.98185018472
77341.71536550063,1615.720674280307,12161.680026482598,20352.21677870492,6978.726203709537,44663.19526834392,6450.667547357448,37165.1735246304,1615.7266305549967,1615.7266305460726,9921.389807787547,78827.26105035139
83815.60344363174,1615.7266305543983,15287.840265573785,30299.805026677222,1632.419080989391,10729.505064096418,6603.312960709702,19099.19360694964,4456.873562850475,10642.5608199767,79136.49301278731,76886.40897008826
80640.7123585777,1615.7266305552112,12181.779463221066,66357.50947180379,14198.385130295332,44092.08239760466,1615.7266305563096,41274.946111138735,12557.250143424922,1615.726630546434,75635.26690046192,75566.38926156632
70895.74939392685,1615.7266305538492,1615.7266305566309,63432.82218584874,10330.327137740209,74399.91065593046,10719.079408040952,75916.38898530963,37818.223550970906,10744.330487203768,74290.13776028763,76803.83788700409
75012.7321039221,1615.7266305567457,17813.91222633962,16387.644160159252,28411.95867835785,74895.13133891142,10369.121875754852,80274.23980620808,26555.35191414565,1615.72663054632,69134.25602414107,76164.10485531672
71881.65506847002,9500.661095891292,15534.405368820091,12679.321437599356,19503.920433219595,49898.53811034829,48146.40136413484,78279.9465760757,40215.138519353095,5047.5288788406415,62917.31015397413,78802.07229105732
71287.04184434438,1615.7266305521357,30294.63855622014,50846.09404004788,72414.26247845458,41979.35620769607,6584.911693118629,72267.79377600683,50714.04157181554,11342.622224732191,76619.24176442075,76974.14025518115
72367.79553030577,17177.911753101107,18905.86024807971,10333.205692700936,11138.838629101405,72178.18635787365,10675.454750502806,75796.65007487823,18545.236378623897,1615.7266305656383,77725.1805677928,72614.46129286605
73667.3856632882,1615.7266305747885,1723.4172928776536,13217.79490550482,1615.7045453416642,17234.95426000309,1615.7266305559776,77834.1047129774,10285.195180510254,1615.7266305488215,78877.07627436219,77684.54666512381
77506.69649610667,1615.726630534777,1615.7266305551484,25678.675413810422,8691.491813293487,19805.109276605755,1615.7266305559594,69256.45124302176,12708.077943679613,1615.7266305520925,76805.14319604347,79503.86955462323
