Amplitude_P10,Amplitude_P10.1,Amplitude_P10.2,Amplitude_P10.3,Amplitude_P10.4,Amplitude_P10.5,Amplitude_P10.6,Amplitude_P10.7,Amplitude_P10.8,Amplitude_P10.9,Amplitude_P10.10,Amplitude_P10
0.3467258954452296,0.3282030143228188,0.3747859955758331,0.3441622146341459,0.3882268726041806,0.2730369356929996,0.4099621875451507,0.3111498692045992,0.2963903912966564,0.3083809714404112,0.3934003094653402,0.3115142649043764
0.3578923752901918,0.5051697346126207,0.2588354698955882,0.316647740482316,0.3662900815851456,0.4581284400131454,0.3238106020106244,0.4129497748725247,0.2758979844722881,0.3194339425951659,0.3426039705980273,0.353832690239825
0.2730255226855924,0.2870506624637898,0.2650490157035586,0.3928362393209993,0.3926323326646649,0.0412031240665062,0.3159103754236271,0.404132320124119,0.3583570338236651,0.2428995712358627,0.2595282595087646,0.392423814328978
0.3754275106476513,0.0193511138063783,0.1525312643507966,0.3210754984428901,0.2886374146918443,0.5483851943373483,0.3665553457128172,0.1723637752809899,0.3913819087442522,0.0256168266771171,0.1134347352505594,0.241469771686949
0.3361665810551934,0.1271520083123148,0.3623235234562565,0.37278956048184,0.0835471195297647,0.2146134888261597,0.3043228650905416,0.104228559480259,0.3886307750584036,0.3301480112923911,0.1549561808406483,0.2406789125623337
0.1705696302517959,0.0208704613610416,0.1152572150095282,0.2513993359882605,0.2387109075893162,0.5483305363252811,0.0304231912547388,0.3500432482529894,0.5173345680820122,0.2532901754843872,0.0204424742313629,0.1419562653826584
0.2175500735547544,0.0208704613610046,0.0126598631614482,0.373462378368334,0.0272369414408163,0.2865166492942149,0.3163839177945183,0.5111369674862624,0.4441386594615866,0.0124484957663857,0.3022340098258705,0.1112778941191835
0.2957708728480663,0.0207464001822203,0.1804328925302074,0.5110624534118909,0.2704738275380656,0.3397960710944075,0.1185771149236809,0.4112747575213094,0.0431014982357683,0.0124484957662625,0.2544348511137803,0.1250005062450248
0.2909884656195389,0.0207453672698531,0.146918699118093,0.4926866238061141,0.033613389794632,0.2266315202100283,0.1243010524521249,0.2757506682634434,0.1470687051269279,0.0557750259649852,0.2931807798842405,0.1069882309302235
0.1968243062564663,0.0207453672698635,0.1234431167383083,0.2657168788196399,0.2811213497042839,0.2974879043634349,0.0311322907746682,0.1416306882009776,0.1981768479415824,0.0081161479818707,0.2489056438331795,0.1028961392985076
0.3482343796397999,0.0210238927259915,0.0382844676813859,0.3723858281036065,0.1890540271231711,0.3466128745877946,0.1489049573067527,0.1364751491320066,0.2878533516477288,0.0936220871603212,0.2249244196871858,0.1127904647504574
0.3539383857444278,0.0210238927260285,0.4508331277111195,0.3071558346120702,0.3769720696863156,0.2192969345538903,0.4530469517699666,0.0929511076449825,0.2406808063701758,0.0195978558397171,0.2198779849713481,0.1081509582392066
0.1799277523781721,0.1751831125401482,0.2278310920331013,0.2027491193515559,0.1975382958031548,0.1866044672583997,0.3562288511003117,0.1219952543044976,0.3256724443967688,0.0895598430863531,0.23857320924425,0.1193691938614717
0.1858638057959158,0.0156241273789968,0.1965429309337988,0.2704374699599363,0.1964072364120189,0.3109937142655287,0.1439531305085257,0.2222224857567014,0.2777543630594018,0.1107467787100859,0.2287339378958239,0.122601230351416
0.1645442797817263,0.2297911755549745,0.288633705604308,0.2736347657075962,0.1501824988966444,0.2212055531935266,0.2137391268763536,0.1667366828042675,0.4368620815754495,0.0104702960227303,0.2411319595167026,0.1040920980359451
0.1222648689516556,0.0125693994254714,0.0185729487353404,0.4131849201727228,0.0153812366768649,0.0838587084357713,0.0360703503359799,0.1114669004298996,0.1937739829992127,0.0104702960226238,0.2268842556386999,0.1213207775770035
0.2144467542888873,0.0125693994251632,0.0173727625019531,0.6074770194676311,0.0941831251834523,0.3981361781631841,0.0360703503359796,0.2168759610295708,0.1935583417444352,0.0104702960226443,0.3070776517549897,0.1182869274570841
0.2130029661246242,0.0125693994254805,0.017372762501945,0.3517408467886522,0.0029008373211997,0.1592571138065356,0.3443739553634711,0.0961585772164464,0.4625106544887126,0.010470296022734,0.3821038378209424,0.1075558503807228
0.1385642482880539,0.0125693994252811,0.0173727625019692,0.4246903327782456,0.0328780328911289,0.0108779293398746,0.0170991585917009,0.1319421609515799,0.366677074026329,0.0104702960226203,0.345114813743029,0.1103663327092772
0.2055454165638149,0.0386795803297356,0.0973894072271004,0.3006523912943001,0.0780059729819631,0.4281546159542989,0.5717633796577689,0.1309626728450568,0.452621286983185,0.0104702960226443,0.3223808894836915,0.1126311580611786
0.1839131153169811,0.0160043226388227,0.0813457314815367,0.3569694430213434,0.1259631186119014,0.3085929957326832,0.2189182276079466,0.1242948701667487,0.2472993158700157,0.0815813835608664,0.1082502811363002,0.101555634122264
0.1399999798222022,0.0160043226390092,0.2765019903290647,0.3521913110748913,0.07516971503332,0.2194976516908637,0.0291350084335245,0.1248222991978922,0.4387656283228346,0.1030994787092069,0.1483869862861249,0.1120314817479115
0.1712678644540136,0.0160043226391377,0.0117913343443982,0.4275704306872928,0.0124784765097839,0.2572553072175667,0.5365612045099367,0.1440431911934507,0.4874553656281059,0.3889802799445891,0.3167055120124515,0.1265360099085483
0.1899994634358355,0.016004322639179,0.068615572985698,0.2414920846604107,0.0124784765097763,0.2092365592989614,0.0119450396514818,0.1356668815699244,0.2385595081518275,0.0102415493726395,0.3071147336862983,0.1314486386605382
0.2663939069560593,0.0891323475192397,0.0249271939824976,0.4873008231017033,0.1347297066149075,0.1910639697138983,0.3315064524051638,0.1576862336568985,0.3689937670665673,0.0102415493727186,0.1477343074399403,0.1149903779051101
