RMS_Variance,RMS_Variance.1,RMS_Variance.2,RMS_Variance.3,RMS_Variance.4,RMS_Variance.5,RMS_Variance.6,RMS_Variance.7,RMS_Variance.8,RMS_Variance.9,RMS_Variance.10,RMS_Variance
0.1113007078607249,0.0171126163143821,0.0172047165155072,0.0171480203410737,0.0053689717237164,0.0255175801751839,0.0093266293188567,0.050102821463572,0.0084528910032674,0.0081378125056159,0.0221651432958502,0.0238231651119755
0.0560375186751271,0.0832866980805268,0.0002960065983609,0.0037506070527752,0.0095520594653421,0.0219287569638241,0.0073417515422819,0.0099366374808274,0.0142704001597507,0.002770237181604,0.0055147103495569,0.0094837079853124
0.1405608782923677,0.0010200701543067,0.0034336971055224,0.0081907651407972,0.0016803196937444,0.0004940455202884,0.0019302877729288,0.0203492492816318,0.0029310290698457,0.0009990279705811,0.0004611735583773,0.0222924720554305
0.017801149764081,2.815002041771141e-05,0.0001608112896907,0.0007897815951484,0.0009658818674826,0.0052455545817946,0.0002571762317351,0.0100175245262592,0.0011032259134174,0.0008679093529742,0.0003209739945394,0.0289711846468732
0.1104166846983888,0.0009606074610314,0.00496138662016,0.0005748015574344,0.0015311005962211,0.0008066665236787,0.0007912268563828,0.0179813416614662,0.0002368354678573,0.0154349061286356,0.0001450856219225,0.0196730245495913
0.0414669543473771,0.0011597324682617,6.002307187326367e-05,0.0014622429793671,0.0118659155915697,0.0002235578502822,0.0058892538537066,0.0022596493058859,0.0013056794267984,0.0065208594669938,4.579020365802356e-05,0.0222475627093712
0.1159803520004369,0.0011597324682617,3.081280489278263e-05,0.0032747964329377,0.0005125279473524,0.0119964515663369,0.0039293782950264,0.005666705684389,0.0121837534766132,6.296601984729355e-06,0.0012889027200406,0.0180275521211908
0.0185680546403093,0.0039245652705303,6.917560405533069e-05,0.0022278436032128,0.0016272548912744,0.0066057868114011,0.0018939284016989,0.0170086286528646,0.0008927285930145,6.296601984729355e-06,0.0011838562071784,0.0184679949457351
0.1246957728234963,0.0039245673127067,0.0038733217846867,0.0074191380075418,2.723217364488629e-05,0.0036371490649646,1.254552627980738e-05,0.0029488262201702,0.0181174781386139,1.3370931276825786e-06,0.0444833622138839,0.0063215890575402
0.0424679581228695,0.0039245673127067,0.0105110721519901,0.0419747050376614,0.0003375172923001,0.1032046466272603,1.1334515130447408e-05,0.0052034673720854,0.0129713918531872,7.198952313791007e-07,0.0201720054483459,0.0163992866633862
