Counts_P7,Counts_P7.1,Counts_P7.2,Counts_P7.3,Counts_P7.4,Counts_P7.5,Counts_P7.6,Counts_P7.7,Counts_P7.8,Counts_P7.9,Counts_P7.10,Counts_P7
3156.9766227214245,2548.7882009181835,2813.99681423998,9811.321317901196,8347.34733252325,7213.438743280657,4932.735644186715,4475.914650676286,13273.010569144606,7232.27106376343,9501.850136313784,4122.258998001273
6349.324452082338,3743.592463164041,11965.300166646177,4711.299689225499,11860.03538983091,2659.157176683099,15727.840763767614,13259.78966433899,26543.60119863921,8182.102350085475,4260.836924086043,3102.6971398081864
4001.148689578248,8711.181092651339,8325.00794145983,6135.606458337944,8659.579371010333,5721.206045251939,11979.475831606896,37269.0353393678,9666.053280896162,7680.4547288082595,4087.266685310853,8109.712925470432
2762.0329552923536,5721.28573831997,5739.009055190079,6684.345719409774,3927.471967598018,3909.8841282772114,3965.761098126908,3585.3056316193297,11759.593499103808,5721.072692355918,4847.015895116368,3219.616518776035
3765.827558190275,12193.626244366456,8640.13706335286,8198.693113959114,5895.973556103449,9433.153819062129,8664.87276573207,7468.84047316891,12297.116885982545,12130.436222727823,3426.538063070022,4959.600491925312
4236.473895274312,5721.284897432145,10118.46928333247,37156.62874580839,10590.002355128128,10000.65562850198,5721.036476570796,21435.53616098084,10727.732708201804,21915.202774311707,5721.256644316524,3329.60726576309
3682.877208029403,5721.284897432387,5721.219519767181,21427.83782255297,5721.255174793403,13801.515726962769,4290.92485995583,21732.78070540697,23546.78034563712,5721.148880186751,47504.22282127898,3603.794338236727
4099.109068290335,5721.133919915457,6802.707446878125,7124.536131920562,6661.246755131098,2950.202553619821,10727.707619904932,15597.6106831813,5721.246349221553,5721.148880157528,7745.08002977124,5449.172242692373
4212.368002691562,5721.2758976064215,8237.576728180396,10244.925904315896,5705.652992199244,8928.25291982217,8223.154856628424,14785.564785899109,7193.656767144603,8150.102661147647,10800.136513468486,3777.322918422082
3330.962329051281,5721.275897605925,10132.82273971119,3282.932234491786,9203.856132177974,14746.151900210636,5721.185827042998,36682.7889870826,17171.728027092973,5721.085937194589,14091.897645100677,4810.6102809734975
9555.843206256344,5721.283680198762,5721.205420279292,4114.65504887902,13462.355263285815,7682.916909767339,8844.397674114869,7556.406014226832,3326.466397656181,8393.40719708826,32285.333079807635,4080.5247577567
3447.516000526136,5721.2836801981775,11398.517838128317,19610.116828934853,11705.630256427576,26280.43824133456,10645.923503519763,28645.48689109169,15824.429282310415,5721.133324762026,29724.08656129748,4308.7273067317865
