Duration_P7,Duration_P7.1,Duration_P7.2,Duration_P7.3,Duration_P7.4,Duration_P7.5,Duration_P7.6,Duration_P7.7,Duration_P7.8,Duration_P7.9,Duration_P7.10,Duration_P7
88118.14879906147,66468.75373976369,74407.80159955108,76722.80484712105,33305.8565248506,103812.58681800564,62464.5265908542,75542.83179921747,54576.027895428,54126.513705344834,60505.05260080617,101970.70639472795
81688.47663951447,25922.272526111206,12824.950468812223,62271.62015757934,12467.87967396166,73252.3316456325,56992.26762358371,79076.7177068533,50585.83516994083,13503.961874890503,78040.25344860525,76758.4729713401
115365.55313468026,11884.108702984198,11487.399136637769,77396.53530520624,18440.078887284755,6686.544293206061,51113.00262860544,62863.60083903607,13021.33077699353,12932.374659824687,24310.062093990524,59869.15689026202
93857.20450233504,6686.544289187594,9371.220883409933,43599.74921799395,13428.840218285626,16003.684648056207,17109.843626888072,116806.62562020415,12764.273685293483,6686.544292661815,17018.423609865098,124551.38362286933
106892.23321533944,12439.95010440753,11925.943481711653,20607.072431540444,7024.132546240414,10951.46121698718,13196.926997795455,137815.26261382236,14779.444630001162,23398.268395426978,18561.28698521508,113127.84958025324
140254.55167470928,6686.544292358183,12780.631860939136,37375.10690912968,12731.497786342024,17100.034738953476,6686.513861370461,34878.765091924455,14242.039152041812,27953.34177838253,6686.544291937493,145716.78923532052
130002.85785532289,6686.5442923596,6686.544293029657,37896.128779358696,6686.544293219746,16493.441267893613,14252.325592304023,24720.352825086164,29555.252616133537,6686.54429193659,65452.20673521058,144877.9273552308
115239.24255949876,6686.462375832528,14369.463641085156,26065.647214027085,9939.471289323954,63604.62532367079,10542.10112095261,42877.32779670916,6686.544293361801,6686.544291936795,12628.043968200149,143571.96395345766
124144.9346058525,6686.544293571032,17126.782410307012,34038.586398809384,6690.584431849219,12717.5189660854,9539.68853757574,26611.21348847587,7959.189391727484,11785.77455765262,112813.26703281484,141901.48912809696
130286.56880937696,6686.544293570994,12074.30633864811,89075.3088540971,16448.58480859252,50659.41237021567,6686.54429334879,104607.58743830815,15911.252723130554,6686.544292534734,129014.08232999868,147870.4157099628
97241.59734486874,6686.544293434456,6686.5442923795545,75087.32229636065,14475.047026340148,97548.39674534048,12853.03901814168,132685.28574324687,52288.994697832735,13057.258008224291,125410.9458594027,145798.6097896624
103627.90493398624,6686.544293434288,20492.444655624444,17954.355999349573,39776.02572689905,120086.1190554829,12341.31114272283,134231.45189345718,26039.76608482249,6686.544293363704,110368.34694112388,143117.00372674136
97925.27349000638,11496.67077547836,14822.025496316724,15636.087536558014,21413.576953332344,68755.69400329591,38005.37737881583,110288.27934509258,50025.05132624148,7543.630958779252,83877.92436334664,140730.25527712182
118324.6071631386,6686.544290324634,28021.84528236409,93735.95550205612,111687.59911676514,44136.7312053047,9086.11719337902,139743.84278337218,87156.54219037852,13556.453153801183,135058.84218042085,146524.81551045255
104579.3471877529,19386.02558677464,22203.356502432875,12981.588372454082,12044.353023657872,96044.83181345588,13117.884018557725,119216.55205550713,20040.49247522862,6686.544292788169,129523.92108533098,145331.4863724241
