Energy_P14,Energy_P14.1,Energy_P14.2,Energy_P14.3,Energy_P14.4,Energy_P14.5,Energy_P14.6,Energy_P14.7,Energy_P14.8,Energy_P14.9,Energy_P14.10,Energy_P14
68408.84662453235,70360.40095665658,54654.517561193,44125.61664168045,44015.32675486156,72346.90622594359,31032.83599481429,76287.66926285678,41014.70975080934,19893.49341672548,28822.32646553917,53229.54870531442
51157.14660559846,21764.895064550663,11539.60793790578,65432.8133867472,10519.494484273751,64731.12068555211,39409.02188241657,27068.350178142216,39918.2054517496,12888.7493215842,58699.364097712525,75560.45628872265
77065.01615006337,12580.61881938517,8212.958659149817,73872.851887023,16509.65902190959,1615.696173282622,41302.45442527415,29268.110327021084,11141.309013682405,10568.054727761228,19570.13011411109,48511.16492603827
81408.69532778452,1615.696173282813,9782.875018849036,36105.22120330892,14369.804322490758,13451.848214826505,14956.292723324328,68455.45141293033,12788.63461083692,1615.6961732814498,8600.411384916928,78437.64779024362
64602.027756864125,10603.615009267252,8081.201904470562,16856.15684519801,2265.7739991309627,5985.011345179954,10208.14194220095,74715.56900995309,9728.00665899827,17092.83573722272,17355.911389087854,71654.80046276924
81685.6414373714,1615.6961732860573,10316.52447179672,36420.93077597133,10380.321122109068,14103.566230569428,1615.6861832556465,20616.99516847284,12584.229725153931,28018.87733068043,1615.6961732823215,76656.67765252703
83419.69316996429,1615.6961732860898,1615.6961732825373,23598.68000902192,1615.696173282258,19035.21656904348,30090.46537680296,18175.99756316121,20540.180589677228,1615.6961732875063,46598.29762071406,80678.43584111334
80555.77677604587,1615.6893854193934,12185.62882067798,26819.672167640536,7689.731934036869,63537.038015856,1844.584857761976,36781.336452445015,1615.6961732824625,1615.6961732821085,11791.476078543195,79103.73928425902
82825.86000727523,1615.696173288604,15927.416931728134,24818.970472461053,1635.5675621662765,10577.734130202509,5455.328890051651,21221.91764887446,4249.581757071717,9271.65241612048,74016.30356448608,77482.7138290743
82483.61733006703,1615.6961732865925,11675.150890446175,68937.44286190705,14078.020571946674,49990.16941558263,1615.6961732820332,40274.81478297217,18434.614618254083,1615.696173281763,75958.15618776207,76179.17925216211
77520.44741817318,1615.6961732827683,1615.6961732815448,42302.76144860334,10394.57499718737,70002.30768631193,9589.35740284248,73108.82644638947,62575.53635261748,10769.743552849772,73986.59388446045,76458.45823642751
74840.6007173012,1615.6961732829886,17043.610383721065,18720.08461485592,34581.940721444626,73958.92168485546,9586.079265905157,82809.1835830773,26467.92463013278,1615.6961732823454,68648.21747880045,76027.23552493851
78182.05437964386,9628.07405425312,9848.690002028514,8442.53913182674,20879.607879360094,49809.69486774106,26339.13654323861,74973.42812078822,49906.60455254691,6280.7684625383135,58508.64687071664,79548.5723324207
69414.17040341585,1615.6961732912275,28810.57239357923,70160.53992335401,69673.65823615552,35301.91561515706,7753.574734071191,79938.39662833208,47909.35509987371,11231.86379065139,76249.61043655314,77626.38311429805
71832.9032515574,16942.510809916163,18913.75449386312,10431.926519164954,8949.652936768087,74735.79558376638,10834.405855584271,74132.81634854857,18680.24574555999,1615.6961732875602,76351.38496006637,76289.93719013792
76531.4559633204,1615.6961732839443,1671.8343551505527,12332.369564921177,1615.6849916379067,12264.552276899394,1615.6961732819634,72550.7925140448,9976.358981786248,1615.696173284981,69748.78395690297,79363.52161091297
76138.0798984217,1615.696173283152,1615.696173283629,43686.321921213625,11687.955025649357,11409.995799018903,1615.6961732811037,54862.60947867481,12976.204751457768,1615.6961732835073,75889.54875973021,78608.34050193732
67320.37244112593,1615.6961732824104,1615.696173284277,22892.05294393935,1615.69617328564,54147.84811735987,10801.531292209016,79746.29577879608,16385.865917830954,1615.6961732812838,75692.90333627086,75306.06004674053
74169.95961822853,1615.6961732828197,1615.696173278699,17857.953098492315,9113.262950342632,1615.6961732834864,1615.696173282703,79572.67316871126,15382.27710766807,1615.69617328097,33847.249016032,77474.72490566628
70581.5687755684,5084.16389609967,10922.259352165494,10863.425146709717,28043.11825171592,18971.5040396064,15474.470719637697,79348.95624061186,11356.413266860018,1615.6961732781576,28679.27916338617,74763.10649705016
51926.809157571086,1615.696173282825,3730.638488626713,29235.769465962538,47628.68185205965,12642.08820642417,69112.63789125127,77091.22910853913,10628.09320952028,8277.867433230758,43158.30206164924,80129.4145988652
72497.34078661176,1615.6961732810182,11847.072551782509,12351.869583919664,13602.018552158424,19376.965808568013,1615.6961732841935,77141.43657741419,19098.59268211714,5956.206833161727,16932.300917317265,75308.29431251452
21108.99484950305,1615.696173283263,1615.6961732829398,13147.035142544448,1615.6961732832451,56261.254340879714,15271.020159396438,72178.02143582352,11476.520076509089,12723.95832926932,58745.85259963645,73792.38772666143
51806.12422698294,1615.696173282956,12129.228563660632,10397.411066010902,1615.6961732832472,54336.28452630377,1615.696173281788,75920.3914665757,34084.60426500533,1615.69617328272,45099.045705487,77738.49785600326
