Rise-Time_P8,Rise-Time_P8.1,Rise-Time_P8.2,Rise-Time_P8.3,Rise-Time_P8.4,Rise-Time_P8.5,Rise-Time_P8.6,Rise-Time_P8.7,Rise-Time_P8.8,Rise-Time_P8.9,Rise-Time_P8.10,Rise-Time_P8
196336.43753032628,180126.75269716713,183847.03037476432,178646.9867100309,180424.69202736,182119.6291042501,183710.6320389189,186986.74860239413,179033.89919991652,165187.96562318527,183294.388293656,186674.12051691677
182091.88412110988,161759.5411865465,159536.70314404555,181274.93296561623,159361.95461471175,187494.7949775753,170420.33741547033,169686.63900055533,160272.68551768592,158524.39182168912,173830.88845296524,168772.04174416905
187400.47210741663,157049.98105718507,155479.64987950612,179886.264629033,160208.7289317962,34281.31526334682,162007.37773505354,175580.80631484374,158910.15308490978,155748.03736223932,158490.94477252243,176664.41172272243
196051.5694809477,34281.31526688104,137760.38358421548,165818.70127619713,159129.06700277113,158159.87059486532,162979.451289081,199961.15761244943,160689.6976766756,34281.31526198707,162435.79337179806,192106.5635163972
187962.6198516192,157321.90329633435,158281.37262755798,160565.48954481614,86168.87667163688,149816.23220699173,158025.92619578214,189696.36026208947,160607.82974761067,160782.86013671666,160019.92203438896,190538.47365621044
193097.50785646355,34281.31526346727,157543.2894011627,160514.4857358049,118481.97773277524,160096.5361832198,34281.11340683492,201158.5901955311,158665.697976659,162330.00149339173,34281.31526362821,198909.3132406429
198919.1566992399,34281.31526351061,34281.31526698792,152370.95730782973,34281.315263418415,160628.96932900368,165777.35460772316,181025.45260739748,162885.3993040565,34281.31526304093,159131.97513504722,197659.83839486423
194416.38915202097,34281.30843478049,160329.47175744633,162952.7394743411,150701.0665677826,152474.31308272874,157172.0120382522,173998.85525970891,34281.31526336836,34281.31526324303,159876.79552947456,198154.06762359865
193369.9048260238,34281.31526346532,159660.48173355838,169803.5620932258,37751.359505946144,158948.10598993604,151940.3575968009,162405.2219613049,142001.6384006101,153687.70978771977,189522.49968380723,197994.8526875556
192887.9924469121,34281.31526349378,156737.4491914317,187495.207777194,162039.50753975744,164074.27235861754,34281.315263624776,162141.64811071346,163212.44408233097,34281.31526368634,191467.42810272245,199455.4015434956
178860.6487144152,34281.31526310741,34281.315262436576,155555.95818382007,159223.28219223695,184411.9445565855,159238.33622933508,197462.36165604828,152646.01030895932,138301.88465514217,192431.8549841132,199227.2302943535
192666.4592090731,34281.31526282798,160818.7268450665,162730.37532093877,165700.84434248024,195858.7372817748,149937.5878071237,197897.18699351075,151022.9812129951,34281.315263614895,183253.2543174815,197028.41352211343
189043.9459110865,154957.62794038616,160983.5766637386,160649.5637312661,161297.28506024618,187618.1292990904,172641.76678490455,198060.0209322218,152168.61966535758,150356.89461282748,182938.4527680648,198014.5232534177
