Amplitude_Variance,Amplitude_Variance.1,Amplitude_Variance.2,Amplitude_Variance.3,Amplitude_Variance.4,Amplitude_Variance.5,Amplitude_Variance.6,Amplitude_Variance.7,Amplitude_Variance.8,Amplitude_Variance.9,Amplitude_Variance.10,Amplitude_Variance
0.0210069410188518,0.0186384088663557,0.0446335370236592,0.021653611192358,0.0196792871224771,0.0197596883096586,0.0388409264163302,0.0163111052268949,0.0128476965633057,0.0092057458035533,0.0336533145902662,0.0168743662690398
0.026326191334005,0.0728961347419472,0.0032506466758204,0.0199145119169963,0.0160100995419966,0.0809077319578212,0.0217349202007374,0.037821624722328,0.0113604244486822,0.0108285733495361,0.0223097958235288,0.0251832833315254
0.0105052184906124,0.0061618344790401,0.0136947535794093,0.0400715605332805,0.0173582493099692,0.0023143840166012,0.0161846514815281,0.0336239315311333,0.0126419900431721,0.0027618555005389,0.0040319209488833,0.0351847287659083
0.0383647859316144,0.0001126000817478,0.0006469815395769,0.0159675315566364,0.008795619531672,0.1135737648659122,0.0149282509462671,0.0019748537184561,0.0178484282587192,0.0003457929677155,0.0001576772223059,0.013187166162817
0.0323209741631505,0.0002094565413702,0.0188914699257025,0.0233449490384355,0.0054751719462764,0.0018030619993381,0.0072475458315025,0.0003214239840061,0.01697556344265,0.0100525233922394,0.0004639881028727,0.0061139907572297
0.0014748359555038,0.000152350202603,0.0001414220981281,0.0065531440173445,0.0025925845985406,0.0728110614952448,0.0006876565626312,0.0073687517286882,0.0556195625103474,0.0051375018225521,0.000140232498994,0.0007313070469906
0.0048011868930998,0.000152350202603,2.0626753730039136e-05,0.0236113707875512,0.0004419246084944,0.0059092054552592,0.0159836311096214,0.0391651248132463,0.0405536601653585,1.928334366474868e-05,0.0146243014407748,0.0003758773449723
0.0151774751711609,0.0001487301633304,0.000752553674276,0.0742045462116337,0.0232860801496584,0.0244606078800755,0.0007477410968278,0.0361228662958173,0.0027713048677369,1.9283343664748685e-05,0.0033241179080365,0.0004684073511183
0.0204267718238638,0.0001487302640262,0.0003058974073026,0.0705461846157449,0.0009803674718219,0.002061854971168,0.0007847350369038,0.0079824289983869,0.0068223790729987,7.548285618656832e-06,0.0236797084472937,0.0002375787705413
0.0055187797761655,0.0001487302640262,0.0001747994769522,0.0140463251701917,0.0045914029551124,0.0107857672377199,0.0007543261262387,0.0009822649407045,0.0011804528421694,3.48429297436294e-06,0.0072362431643117,0.0002275710596809
0.0301642564651633,0.0001568799221364,0.0017250643061127,0.0456715770565302,0.0010546015183395,0.04185813617458,0.0003776118539593,0.0004235601362099,0.0113997438745159,5.874281022662068e-05,0.0039677252264629,0.0004742876049576
0.0378164084760747,0.0001568799221364,0.0331395084122354,0.00676445416051,0.0234207690603251,0.0042237694888593,0.0373639713488499,0.0001908903229496,0.0028418588150204,0.0001184538204195,0.0037172053469735,0.0002666355186184
0.0026674445176835,0.0009544678063551,0.0020403693509825,0.0013789510357484,0.0013261106809841,0.0028634855112829,0.0160988180827249,0.0004573399360085,0.0166734556032333,0.0005556134822674,0.0051880689552917,0.000287458768335
0.0015599107929069,4.7851760606389856e-05,0.00174443723308,0.0166136365129725,0.0061023498186848,0.0073979774360942,0.0014020800661215,0.0033881955362831,0.0131171681850769,0.0001078094511996,0.0042753343769845,0.0004681730678734
0.0014130106613739,0.002451114771877,0.005918690645789,0.0046876843823668,0.0003763157735073,0.0046375204217165,0.0016217250665411,0.0015979298068287,0.029788522886803,9.65051920775455e-06,0.0065233225411709,0.0002564038295286
0.0004804024715252,2.004347167330229e-05,7.314433622869334e-05,0.0195923513915179,4.491157680197349e-05,3.814908022738189e-05,0.001359303012251,0.0002714242532816,0.0016017205606064,9.650519207754545e-06,0.0081586858714195,0.0004950747859061
