Amplitude_P8,Amplitude_P8.1,Amplitude_P8.2,Amplitude_P8.3,Amplitude_P8.4,Amplitude_P8.5,Amplitude_P8.6,Amplitude_P8.7,Amplitude_P8.8,Amplitude_P8.9,Amplitude_P8.10,Amplitude_P8
182430.1305321467,184710.0915623617,167410.00573500438,181564.88123596183,176581.56242527306,180917.0908866712,182642.4247448064,181101.58124116567,168408.97446125405,165949.42293493278,169666.66959733036,182023.9115427037
178361.27073861656,163846.8884323034,163185.62153635337,159145.2044486916,162204.35479449862,187468.84215053573,171204.91661099409,186128.8997316564,151721.88366112427,162472.20330861444,187531.60733188465,187766.8219458009
181556.5216661409,162109.64270049118,157277.19478066167,190327.14051061287,163706.60795483424,43490.746954937065,162557.26306584515,165535.72830965935,162709.59081361312,162571.68485006856,163848.82839321968,178616.47858208755
202193.70324632915,43490.74695508206,161232.4983883969,167351.10398806463,163855.2069120795,162721.79173506625,163936.2409509159,191797.72211471573,162917.7935153663,43490.74695621552,164289.565556933,196998.38552502412
196747.1081334151,162553.82970149687,161698.78354934402,163549.74416372934,113054.90117416548,162720.767328553,162366.30630309397,200825.0720931996,162899.87426391934,163339.7033967128,163700.0869800477,186255.0164616274
202820.84407300668,43490.74695553161,162543.37642992663,160922.9566983415,162558.1727936708,163283.15371451486,43490.5221004479,197898.3889851045,163165.62264767342,163099.6234855967,43490.74695545215,197236.2931454204
199095.8367712493,43490.74695502511,43490.74695225955,158671.70679783,43490.746953603855,163673.2312957612,167123.0013720582,183566.6349168083,164043.42889785947,43490.74695652935,173979.14397162874,197647.127361482
193678.0156264857,43490.62673103768,163461.94838736934,164187.27445170775,157451.38193904562,162128.13248135432,155712.2447755943,170286.64256660256,43490.746954873786,43490.74695428325,162475.93429678548,198536.40018227967
201469.0918651692,43490.7469546815,165002.978323945,167535.5680172085,47000.12228666166,162653.6309081186,156710.01125829903,163976.76711187616,145035.70051165155,162619.4746538838,196854.0867926164,196157.2049923736
197108.98860593807,43490.74695486511,163124.36012282007,187506.5751571892,163738.35881214082,174244.53365569745,43490.74695500646,164631.8232003133,163762.10566211946,43490.74695431563,193754.12283259613,197747.18470385516
183771.554650701,43490.74695452238,43490.74695527357,176794.79416426492,162314.67605460362,196118.65803900984,162673.89496681085,194085.03105379225,155976.35658820966,162700.0420918792,190141.85562104508,197367.2382093584
191613.1045206037,43490.7469552845,163779.29874212216,163505.53916352984,166489.869623827,190857.8302550216,162351.22914946885,197148.75014330723,156723.19474355926,43490.74695381807,185345.79419153577,198838.2337940534
186407.85056721844,161814.34911714128,163478.12177294193,163486.9329328739,164307.56334004522,174298.8687908807,186046.3543644388,194788.05251605745,154244.09346582845,149954.50425676635,179875.54778226264,201150.3759377589
