Frequency (Hz),Amplitude_Mean,Amplitude_Standard_deviation,Amplitude_Skewness,Amplitude_Kurtosis,Rise-Time_Mean,Rise-Time_Standard_deviation,Rise-Time_Skewness,Rise-Time_Kurtosis,Energy_Mean,Energy_Standard_deviation,Energy_Skewness,Energy_Kurtosis,Counts_Mean,Counts_Standard_deviation,Counts_Skewness,Counts_Kurtosis,Duration_Mean,Duration_Standard_deviation,Duration_Skewness,Duration_Kurtosis,RMS_Mean,RMS_Standard_deviation,RMS_Skewness,RMS_Kurtosis
0.128,0.696539231855469,5.6079003473026585,12.62146826813242,165.57324456782607,2.6841842083435337,5.224939586556535,10.703237518464151,148.89420711457316,15296.20671835218,21383.783929301502,9.544796770050691,120.62192170456804,0.9480331537256934,3.1443770976733187,12.296304134984666,161.10640550119723,8.57196450045523,26.18119981575508,12.26546712359604,161.3505156819829,0.6229099531352398,2.55693944973318,12.573661335494062,167.0545221270841
0.132,0.6416215103974293,5.71582526887447,12.62261858108454,165.5129899839574,1.4625439365215345,4.399523962498075,12.157455291409944,158.17844013192004,9596.897294037872,21128.145979646502,10.993701150224622,139.3674482115095,0.8032865126735644,3.2844849577185395,12.349839052859544,161.05124905625317,7.487365076652159,27.496654981018384,12.216626232138122,158.7529669281589,0.6059578527249551,2.425710593793481,12.574664883429334,166.95257580354746
0.136,0.6698008697735282,5.722785307810399,12.621592894989028,165.5032663241626,1.4637280596966074,4.274807620951616,12.146654858114514,157.85826400044084,10722.275260255974,23477.1784732687,9.368575782792997,109.00164442851838,0.7911053787600866,3.209403179293964,12.447403005363675,162.82310397267676,7.18642112490372,26.840172823623732,12.348279546565356,161.20617245734775,0.5598982690926323,2.427096893344595,12.508891716479898,163.92792860985318
0.14,0.7244234262769423,5.690962578059838,12.62207895354301,165.5723849428376,1.6669700447071,4.234037758857975,12.00602468238411,155.851651537485,30192.02506202864,44728.31317872608,5.202174507854434,51.95798251353549,0.9197286177678208,3.210934794557636,12.440773799400873,163.63667248445964,8.306972374130215,27.273157185673732,12.404180263875013,163.31050520208822,0.5799562458910813,2.367886323742809,12.5149885211665,164.56307731272233
0.14400000000000002,0.7209376158373799,5.714659557047629,12.622308038046421,165.56601425748454,1.8420047890289806,4.39415846670836,11.914429811899666,154.2838794084156,24722.526686843757,37565.45748132969,7.4632473769214,84.9485861372348,0.9026047569966658,3.2368535545351023,12.45594488304633,163.51507781094597,8.343665423449828,27.70917793251644,12.396620304828936,162.61841690052603,0.5866550111927902,2.3483523007186236,12.51252014251158,164.4174558590302
0.148,0.7174518053978176,5.73835653603542,12.622537122549833,165.55964357213148,2.017039533350861,4.554279174558744,11.82283494141522,152.71610727934618,19253.028311658876,30402.601783933307,9.724320245988364,117.93918976093408,0.8854808962255106,3.262772314512568,12.471115966691787,163.39348313743233,8.380358472769439,28.145198679359144,12.38906034578286,161.92632859896386,0.593353776494499,2.3288182776944386,12.510051763856657,164.27183440533813
0.152,0.708018320701955,5.693396307992269,12.762872589260118,169.34819959506945,1.7698969923997008,4.391439177806078,12.186659343640558,160.37921153751702,17714.940158103367,31100.831520445758,11.058654592704425,141.83098966885376,0.8243204411825159,3.2107345351640344,12.642107826985358,168.26275169208134,8.260572218482087,27.517986341001237,12.507272205792988,165.82631128787176,0.655596569482904,2.496785645788522,12.639674418413176,168.51399318256657
0.156,0.6506711428957331,5.836516043500924,12.624468906128696,165.56810038102412,1.340656765231813,4.539738385800959,12.153276801627529,157.85414240216392,20145.714179014496,35060.36502564693,10.683616158743035,133.52651875189392,0.7562572922001607,3.420315280671235,12.53219166480762,164.42000136166703,7.527134512160861,28.998549698630384,12.36972005320299,161.57109849549795,0.5811219361847184,2.464834629118498,12.533765898156826,164.74185423796183
0.16,0.6477884219213778,5.825780887583984,12.621296980704818,165.48606667964657,1.154896797318246,4.379959126124351,12.401809916448665,162.60983972337758,17943.662714985327,33860.415088663336,10.901533406408957,137.01721573787475,0.7619023929345885,3.456111238029939,12.52838173424588,164.24307091619863,7.41837216252235,28.97515005856033,12.38800587622286,161.760586250572,0.6059151719999553,2.517762608084745,12.523814396199109,164.5538862802127
0.164,0.6953958520434927,5.695932243267492,12.622882741275234,165.57833320064805,1.6275935705785798,3.7759667997859263,11.911897127420769,157.10039161438254,37805.60572971058,65229.26084658941,5.1325937383968965,28.14800186017752,0.9714372692841952,3.2092463627680727,12.337800858877772,161.71867502571644,8.122169661860328,26.794370783309745,12.3495244692909,162.05315275135425,0.7229322485267878,2.290288832392296,12.318944398256422,161.91075432650683
0.168,0.6525291721379705,5.683409073780062,12.623247155020048,165.55650883028588,1.5015329035666412,3.212833950017572,11.536207090646,148.74699487505146,21888.02596283729,25146.25890284976,8.678960982992743,103.3057179097238,0.8335222863914091,3.090202605352192,12.433004874294705,162.88822061727578,6.356687999746452,25.54992316430109,12.477209329271902,163.46377077026796,0.6556386783547998,2.077064076067053,12.385506255067432,163.93127118186936
0.17200000000000001,0.6532572785509378,5.725246301999967,12.62419132101915,165.57317664304048,2.4630949577901644,3.9284226726132725,10.857795529423171,138.04211821775473,19300.600224525995,27899.05898555449,9.807043991252822,120.76234968929457,0.8934045469656914,3.253062196365144,12.44459636017395,163.27653489502794,6.739084548811858,25.966357050017592,12.486252690743843,163.87840438061755,0.6016338746320096,2.1297710390194378,12.430385330563997,163.68766216838117
0.176,0.6539853849639053,5.76708353021987,12.625135487018255,165.58984445579506,3.424657012013688,4.644011395208973,10.179383968200344,127.337241560458,16713.174486214695,30651.85906825922,10.9351269995129,138.21898146886534,0.9532868075399736,3.415921787378096,12.456187846053194,163.6648491727801,7.121481097877265,26.38279093573409,12.495296052215783,164.29303799096715,0.5476290709092192,2.1824780019718224,12.47526440606056,163.44405315489297
0.18,0.6861513721941568,5.71590912649653,12.619540565320396,165.5067132511104,3.652385149602535,4.801827911162921,10.168865337490445,125.37782773253602,23185.696774997097,32078.57269436628,9.0678176983158,107.77686977303236,1.089539912162743,3.2716176859903108,12.145347490667923,158.30062939383748,8.10082764125522,25.73003214866156,12.314887039792614,161.01770873209313,0.7585990543929128,2.633673304163544,12.306727072488608,163.8463253747916
0.184,0.717842841816547,5.682452805896196,12.616697037489736,165.4469759467888,3.5748882162993225,4.558800813061216,9.986089112699748,123.9729566400864,29649.71402660976,34103.19338773598,8.880014774265524,106.52125846996846,1.116995729896061,3.307756855892086,12.235945680533396,159.70139720433207,8.577294011829041,25.97716808945577,12.33394350691667,161.52913381543632,0.897008165435516,2.821971020743291,12.195175591204798,159.28075515464923
0.188,0.7094654774123038,5.706224489595763,12.61945243015361,165.50416438000315,3.397159240503504,4.75190189193149,9.91155712267548,123.02829583413464,22538.261458690893,32799.20774750844,9.926629624381842,121.70039142614388,1.0696423106222592,3.367870506254224,12.274142558245046,160.18481635984628,8.158506410090679,26.11213393150766,12.343700688777018,161.4785071109928,0.8477250485461806,2.717339692392862,12.264626056679754,160.82752711481754
0.192,0.6624972188850817,5.717619284281772,12.76150442248565,169.23197099202483,2.876256930429904,4.392805991972514,10.894848240231212,140.1742768655781,23800.253918842485,39105.34852044956,10.351526565574035,128.81725536571184,0.936687625497279,3.4694021222551408,12.589944871194852,166.77733040486967,7.409120916103998,27.32927157818319,12.614061073619837,167.66488273286083,0.8049061369771043,2.604560435078861,12.4254854047053,164.56148290807317
0.196,0.7291650770092888,5.781132124402251,12.620545289582704,165.52867817956033,3.098648263591458,3.602238488135107,9.200868833066496,110.7179185278246,39331.32232235967,46683.70680055492,8.960577605659283,109.04139080079166,1.1870921963279777,3.630608999691838,12.30654726809968,160.7559051226034,9.718330004030143,29.71353157363769,12.325973074589845,161.14210763025056,0.783144623458678,2.3913506891654404,12.326967444266158,161.66344092227894
0.2,0.7290696464038868,5.773299992406325,12.622498249104428,165.58192959115314,3.423617151786644,4.127785370216223,9.67121820517515,118.9014720281438,44935.062573072224,49318.07698233498,8.222051953868988,96.47143885617496,1.233440231474847,3.666632871347996,12.284017625015773,160.5343952483213,10.227920410018244,30.09562448743494,12.300132372810465,160.74722511712318,0.7948554781388614,2.477230678745904,12.38801092955162,164.92569778332975
0.20400000000000001,0.7420890325070587,5.758411750772041,12.621667104340707,165.56779177341022,3.4641260960059337,4.157132171103387,9.668796484699651,118.24660468303591,44921.719577190044,47074.45304412254,8.002978764432834,94.05768494080704,1.2932710129201963,3.6734957153563097,12.25502612953875,160.10507473686337,10.890886381931876,30.462981387686337,12.255661430547997,160.08675623117676,0.8061944751038439,2.4381649809629287,12.356494392646622,163.83704011427076
0.20800000000000002,0.7551084186102307,5.7435235091377566,12.620835959576985,165.55365395566733,3.5046350402252235,4.186478971990551,9.666374764224154,117.59173733792802,44908.376581307864,44830.82910591011,7.78390557499668,91.64393102543913,1.3531017943655455,3.680358559364623,12.22603463406173,159.67575422540546,11.553852353845508,30.83033828793773,12.21119048828553,159.42628734523032,0.8175334720688265,2.399099283179953,12.324977855741626,162.7483824452118
0.212,0.7681278047134026,5.728635267503472,12.620004814813264,165.5395161379244,3.5451439844445134,4.215825772877715,9.663953043748656,116.93686999282014,44895.033585425685,42587.20516769768,7.564832385560527,89.23017711007121,1.4129325758108948,3.687221403372937,12.197043138584707,159.24643371394754,12.21681832575914,31.19769518818913,12.166719546023062,158.7658184592839,0.8288724690338091,2.3600335853969776,12.293461318836629,161.6597247761528
0.216,0.7531392158991163,5.72961167450072,12.618760306810747,165.52241018196494,2.717216795266116,3.772993146824816,10.221108392791455,126.61504713969887,41799.56727001482,44443.370046695534,6.73983768912401,78.57211743461417,1.2670153704521143,3.640310899931279,12.273810218545272,160.57291506919134,11.007819921858024,30.06547616098129,12.218457113979948,159.74838941323415,0.8146303478870234,2.47643854776577,12.220273377376488,159.8741760702187
0.22,0.7646207226751291,5.748012306599318,12.62158764062608,165.5896908496725,2.856220842346512,4.180023604859782,10.723639652326966,135.1594474217475,47617.37493478463,49123.350971437634,7.165542877256819,86.4178145832207,1.2951317328564769,3.680419936098581,12.31323169264634,161.4409640036407,11.426525644760558,31.01607971431635,12.233554379656804,159.8989234091621,0.9163304549364246,2.4897168331777544,12.16125212014183,159.46630732773673
0.224,0.7936324686898415,5.709200394433603,12.6112431658074,165.3930974629227,2.803034780318081,4.194919341186304,10.79992145929613,136.24253191696516,62795.23484148906,57900.77127631212,5.865598151022169,59.43406100057712,1.3544679745515429,3.592903733488752,12.10460875075758,157.45534418232805,11.8342445840564,30.655896178806863,12.054832498490455,156.5361664061417,0.9809232209010664,2.750830196996981,12.095863621308688,158.59381152176775
0.228,0.786006491118325,5.694310812164465,12.747153460634683,169.0422735636394,3.118015426217337,4.387257546386468,10.510008776808236,131.65459053189826,74393.80296180952,69744.20652641063,6.61403984856183,69.06549256979594,1.4723749931585062,3.746869613726553,12.111813510146854,158.686097878278,12.41567260903755,31.875196895703414,12.147575005716638,159.4712075020965,1.030357412563491,2.9832308511542656,11.960535827055295,155.4621497966239
0.232,0.766848606942106,5.68662247993557,12.615099614555684,165.4632489743654,3.3033733223365984,4.720388059791103,10.400724437397852,133.97065942955672,55615.60865665472,54243.01665573452,7.27262398105346,79.84098991933108,1.3394972985956417,3.4346374190295235,12.04367062281741,156.30214526057847,11.414681596545757,29.0160512414035,12.085179012734809,157.0458902794342,1.059728555536098,3.0349568240739586,11.873884644035156,153.23257346715394
0.23600000000000002,0.7602528063848046,5.68564940933263,12.615228776802272,165.46383669190206,3.412997963137788,4.8037889305930594,10.37147243857757,131.49103757894426,44277.94114307634,48569.31485510584,8.233698218773483,94.82016040743714,1.2862486854418465,3.442870124623976,12.094527297390538,157.32974879710534,11.26487906175176,29.23188986670828,12.105205919266634,157.51375306326793,1.0597512390809012,2.9168869899660423,11.88730366903553,153.681975443253
0.24,0.7536570058275032,5.684676338729689,12.61535793904886,165.46442440943872,3.522622603938978,4.887189801395016,10.342220439757286,129.01141572833183,32940.27362949798,42895.613054477166,9.194772456493508,109.7993308955432,1.2330000722880514,3.451102830218429,12.145383971963664,158.3573523336322,11.115076526957765,29.447728492013056,12.12523282579846,157.9816158471017,1.0597739226257046,2.798817155858126,11.900722694035904,154.13137741935205
0.244,0.7732626904611548,5.65987314218754,12.613574521953382,165.43252115808266,3.784392417882542,5.08949633461318,10.29531780526205,127.58581000812192,38848.89592243303,44011.91066255267,7.646059242494655,83.5038738292601,1.303235727750086,3.46701426925808,12.11745420202742,157.53674328382394,11.213111202364702,29.249522377210987,12.133150864791316,157.7113708311445,1.0350422162778357,2.753611842132955,11.972146139296802,155.12000454803234
0.248,0.7949909882660585,5.662999981460949,12.613302869181105,165.4296241564495,3.3398900751792087,4.633977434563437,10.218611740261922,127.31544430401776,32455.75374513062,37015.51826992625,8.046706976844892,94.40683324758804,1.3152325300197834,3.5048136608365006,12.17041042586199,159.05639320268392,11.41269473942574,29.79905649054432,12.154071933907154,158.7067212475636,0.9674186124452304,2.6710822202461717,12.050865886659532,157.15932237913148
